,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
131,03-Jun-17,10:08:54,1,1,0,RedAmber,H
132,03-Jun-17,10:08:55,1,1,0,RedAmber,H
133,03-Jun-17,10:08:55,1,1,0,RedAmber,H
134,03-Jun-17,10:08:55,1,1,0,RedAmber,H
135,03-Jun-17,10:08:55,1,1,0,RedAmber,H
136,03-Jun-17,10:08:55,1,1,0,RedAmber,H
137,03-Jun-17,10:08:55,1,1,0,RedAmber,H
138,03-Jun-17,10:08:55,1,1,0,RedAmber,H
139,03-Jun-17,10:08:56,1,1,0,RedAmber,H
140,03-Jun-17,10:08:56,1,1,0,RedAmber,H
141,03-Jun-17,10:08:56,1,1,0,RedAmber,H
142,03-Jun-17,10:08:56,1,1,0,RedAmber,H
143,03-Jun-17,10:08:57,1,1,0,RedAmber,H
144,03-Jun-17,10:08:57,1,1,0,RedAmber,H
145,03-Jun-17,10:08:57,1,1,0,RedAmber,H
146,03-Jun-17,10:08:57,1,1,0,RedAmber,H
147,03-Jun-17,10:08:57,1,1,0,RedAmber,H
148,03-Jun-17,10:08:58,1,1,0,RedAmber,H
149,03-Jun-17,10:08:58,1,1,0,RedAmber,H
150,03-Jun-17,10:08:58,1,1,0,RedAmber,H
151,03-Jun-17,10:08:58,1,1,0,RedAmber,H
152,03-Jun-17,10:08:59,1,1,0,RedAmber,H
153,03-Jun-17,10:08:59,1,1,0,RedAmber,H
154,03-Jun-17,10:08:59,1,1,0,RedAmber,H
155,03-Jun-17,10:08:59,1,1,0,RedAmber,H
156,03-Jun-17,10:08:59,1,1,0,RedAmber,H
157,03-Jun-17,10:08:59,1,1,0,RedAmber,H
158,03-Jun-17,10:08:59,1,1,0,RedAmber,H
159,03-Jun-17,10:09:00,1,1,0,RedAmber,H
160,03-Jun-17,10:09:00,1,1,0,RedAmber,H
161,03-Jun-17,10:09:00,1,1,0,RedAmber,H
162,03-Jun-17,10:09:00,1,1,0,RedAmber,H
163,03-Jun-17,10:09:01,1,1,0,RedAmber,H
164,03-Jun-17,10:09:01,1,1,0,RedAmber,H
165,03-Jun-17,10:09:01,1,1,0,RedAmber,H
166,03-Jun-17,10:09:01,1,1,0,RedAmber,H
167,03-Jun-17,10:09:01,1,1,0,RedAmber,H
168,03-Jun-17,10:09:02,1,1,0,RedAmber,H
169,03-Jun-17,10:09:02,1,1,0,RedAmber,H
170,03-Jun-17,10:09:02,1,1,0,RedAmber,H
171,03-Jun-17,10:09:02,1,1,0,RedAmber,H
172,03-Jun-17,10:09:03,1,1,0,RedAmber,H
173,03-Jun-17,10:09:03,1,1,0,RedAmber,H
174,03-Jun-17,10:09:03,1,1,0,RedAmber,H
175,03-Jun-17,10:09:03,1,1,0,RedAmber,H
176,03-Jun-17,10:09:03,1,1,0,RedAmber,H
177,03-Jun-17,10:09:03,1,1,0,RedAmber,H
178,03-Jun-17,10:09:03,1,1,0,RedAmber,H
179,03-Jun-17,10:09:04,1,1,0,RedAmber,H
180,03-Jun-17,10:09:04,1,1,0,RedAmber,H
181,03-Jun-17,10:09:04,1,1,0,RedAmber,H
182,03-Jun-17,10:09:04,1,1,0,RedAmber,H
183,03-Jun-17,10:09:04,1,1,0,RedAmber,H
184,03-Jun-17,10:09:05,1,1,0,RedAmber,H
185,03-Jun-17,10:09:05,1,1,0,RedAmber,H
186,03-Jun-17,10:09:05,1,1,0,RedAmber,H
187,03-Jun-17,10:09:05,1,1,0,RedAmber,H
188,03-Jun-17,10:09:06,1,1,0,RedAmber,H
189,03-Jun-17,10:09:06,1,1,0,RedAmber,H
190,03-Jun-17,10:09:06,1,1,0,RedAmber,H
191,03-Jun-17,10:09:06,1,1,0,RedAmber,H
192,03-Jun-17,10:09:06,1,1,0,RedAmber,H
193,03-Jun-17,10:09:06,1,1,0,RedAmber,H
194,03-Jun-17,10:09:07,1,1,0,RedAmber,H
195,03-Jun-17,10:09:07,1,1,0,RedAmber,H
196,03-Jun-17,10:09:07,1,1,0,RedAmber,H
197,03-Jun-17,10:09:07,1,1,0,RedAmber,H
198,03-Jun-17,10:09:08,1,1,0,RedAmber,H
199,03-Jun-17,10:09:08,1,1,0,RedAmber,H
200,03-Jun-17,10:09:08,1,1,0,RedAmber,H
201,03-Jun-17,10:09:08,1,1,0,RedAmber,H
202,03-Jun-17,10:09:08,1,1,0,RedAmber,H
203,03-Jun-17,10:09:09,1,1,0,RedAmber,H
204,03-Jun-17,10:09:09,1,1,0,RedAmber,H
205,03-Jun-17,10:09:09,1,1,0,RedAmber,H
206,03-Jun-17,10:09:09,1,1,0,RedAmber,H
207,03-Jun-17,10:09:09,1,1,0,RedAmber,H
208,03-Jun-17,10:09:09,1,1,0,RedAmber,H
209,03-Jun-17,10:09:10,1,1,0,RedAmber,H
210,03-Jun-17,10:09:10,1,1,0,RedAmber,H
211,03-Jun-17,10:09:10,1,1,0,RedAmber,H
212,03-Jun-17,10:09:10,1,1,0,RedAmber,H
213,03-Jun-17,10:09:10,1,1,0,RedAmber,H
214,03-Jun-17,10:09:11,1,1,0,RedAmber,H
215,03-Jun-17,10:09:11,1,1,0,RedAmber,H
216,03-Jun-17,10:09:11,1,1,0,RedAmber,H
217,03-Jun-17,10:09:11,1,1,0,RedAmber,H
218,03-Jun-17,10:09:12,1,1,0,RedAmber,H
219,03-Jun-17,10:09:12,1,1,0,RedAmber,H
220,03-Jun-17,10:09:12,1,1,0,RedAmber,H
221,03-Jun-17,10:09:12,1,1,0,RedAmber,H
222,03-Jun-17,10:09:12,1,1,0,RedAmber,H
223,03-Jun-17,10:09:13,1,1,0,RedAmber,H
224,03-Jun-17,10:09:13,1,1,0,RedAmber,H
225,03-Jun-17,10:09:13,1,1,0,RedAmber,H
226,03-Jun-17,10:09:13,1,1,0,RedAmber,H
227,03-Jun-17,10:09:13,1,1,0,RedAmber,H
228,03-Jun-17,10:09:13,1,1,0,RedAmber,H
229,03-Jun-17,10:09:14,1,1,0,RedAmber,H
230,03-Jun-17,10:09:14,1,1,0,RedAmber,H
231,03-Jun-17,10:09:14,1,1,0,RedAmber,H
232,03-Jun-17,10:09:14,1,1,0,RedAmber,H
233,03-Jun-17,10:09:15,1,1,0,RedAmber,H
234,03-Jun-17,10:09:15,1,1,0,RedAmber,H
235,03-Jun-17,10:09:15,1,1,0,RedAmber,H
236,03-Jun-17,10:09:15,1,1,0,RedAmber,H
237,03-Jun-17,10:09:15,1,1,0,RedAmber,H
238,03-Jun-17,10:09:16,1,1,0,RedAmber,H
239,03-Jun-17,10:09:16,1,1,0,RedAmber,H
240,03-Jun-17,10:09:16,1,1,0,RedAmber,H
241,03-Jun-17,10:09:16,1,1,0,RedAmber,H
242,03-Jun-17,10:09:17,1,1,0,RedAmber,H
243,03-Jun-17,10:09:17,1,1,0,RedAmber,H
244,03-Jun-17,10:09:17,1,1,0,RedAmber,H
245,03-Jun-17,10:09:17,1,1,0,RedAmber,H
246,03-Jun-17,10:09:17,1,1,0,RedAmber,H
247,03-Jun-17,10:09:17,1,1,0,RedAmber,H
248,03-Jun-17,10:09:17,1,1,0,RedAmber,H
249,03-Jun-17,10:09:18,1,1,0,RedAmber,H
250,03-Jun-17,10:09:18,1,1,0,RedAmber,H
251,03-Jun-17,10:09:18,1,1,0,RedAmber,H
252,03-Jun-17,10:09:18,1,1,0,RedAmber,H
253,03-Jun-17,10:09:19,1,1,0,RedAmber,H
254,03-Jun-17,10:09:19,1,1,0,RedAmber,H
255,03-Jun-17,10:09:19,1,1,0,RedAmber,H
256,03-Jun-17,10:09:19,1,1,0,RedAmber,H
257,03-Jun-17,10:09:19,1,1,0,RedAmber,H
258,03-Jun-17,10:09:20,1,1,0,RedAmber,H
259,03-Jun-17,10:09:20,1,1,0,RedAmber,H
260,03-Jun-17,10:09:20,1,1,0,RedAmber,H
261,03-Jun-17,10:09:20,1,1,0,RedAmber,H
262,03-Jun-17,10:09:21,1,1,0,RedAmber,H
263,03-Jun-17,10:09:21,1,1,0,RedAmber,H
264,03-Jun-17,10:09:21,1,1,0,RedAmber,H
265,03-Jun-17,10:09:21,1,1,0,RedAmber,H
266,03-Jun-17,10:09:21,1,1,0,RedAmber,H
267,03-Jun-17,10:09:21,1,1,0,RedAmber,H
268,03-Jun-17,10:09:21,1,1,0,RedAmber,H
269,03-Jun-17,10:09:22,1,1,0,RedAmber,H
270,03-Jun-17,10:09:22,1,1,0,RedAmber,H
271,03-Jun-17,10:09:22,1,1,0,RedAmber,H
272,03-Jun-17,10:09:22,1,1,0,RedAmber,H
273,03-Jun-17,10:09:22,1,1,0,RedAmber,H
274,03-Jun-17,10:09:23,1,1,0,RedAmber,H
275,03-Jun-17,10:09:23,1,1,0,RedAmber,H
276,03-Jun-17,10:09:23,1,1,0,RedAmber,H
277,03-Jun-17,10:09:23,1,1,0,RedAmber,H
278,03-Jun-17,10:09:24,1,1,0,RedAmber,H
279,03-Jun-17,10:09:24,1,1,0,RedAmber,H
280,03-Jun-17,10:09:24,1,1,0,RedAmber,H
281,03-Jun-17,10:09:24,1,1,0,RedAmber,H
282,03-Jun-17,10:09:25,1,1,0,RedAmber,H
283,03-Jun-17,10:09:25,1,1,0,RedAmber,H
284,03-Jun-17,10:09:25,1,1,0,RedAmber,H
285,03-Jun-17,10:09:25,1,1,0,RedAmber,H
286,03-Jun-17,10:09:25,1,1,0,RedAmber,H
287,03-Jun-17,10:09:25,1,1,0,RedAmber,H
288,03-Jun-17,10:09:25,1,1,0,RedAmber,H
289,03-Jun-17,10:09:26,1,1,0,RedAmber,H
290,03-Jun-17,10:09:26,1,1,0,RedAmber,H
291,03-Jun-17,10:09:26,1,1,0,RedAmber,H
292,03-Jun-17,10:09:26,1,1,0,RedAmber,H
293,03-Jun-17,10:09:27,1,1,0,RedAmber,H
294,03-Jun-17,10:09:27,1,1,0,RedAmber,H
295,03-Jun-17,10:09:27,1,1,0,RedAmber,H
296,03-Jun-17,10:09:27,1,1,0,RedAmber,H
297,03-Jun-17,10:09:28,1,1,0,RedAmber,H
298,03-Jun-17,10:09:28,1,1,0,RedAmber,H
299,03-Jun-17,10:09:28,1,1,0,RedAmber,H
300,03-Jun-17,10:09:28,1,1,0,RedAmber,H
301,03-Jun-17,10:09:28,1,1,0,RedAmber,H
302,03-Jun-17,10:09:28,1,1,0,RedAmber,H
303,03-Jun-17,10:09:28,1,1,0,RedAmber,H
304,03-Jun-17,10:09:29,1,1,0,RedAmber,H
305,03-Jun-17,10:09:29,1,1,0,RedAmber,H
306,03-Jun-17,10:09:29,1,1,0,RedAmber,H
307,03-Jun-17,10:09:29,1,1,0,RedAmber,H
308,03-Jun-17,10:09:30,1,1,0,RedAmber,H
309,03-Jun-17,10:09:30,1,1,0,RedAmber,H
310,03-Jun-17,10:09:30,1,1,0,RedAmber,H
311,03-Jun-17,10:09:30,1,1,0,RedAmber,H
312,03-Jun-17,10:09:30,1,1,0,RedAmber,H
313,03-Jun-17,10:09:31,1,1,0,RedAmber,H
314,03-Jun-17,10:09:31,1,1,0,RedAmber,H
