,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
3433,03-Jun-17,10:19:55,1,1,0,RedAmber,D
3434,03-Jun-17,10:19:55,1,1,0,RedAmber,D
3435,03-Jun-17,10:19:55,1,1,0,RedAmber,D
3436,03-Jun-17,10:19:55,1,1,0,RedAmber,D
3437,03-Jun-17,10:19:56,1,1,0,RedAmber,D
3438,03-Jun-17,10:19:56,1,1,0,RedAmber,D
3439,03-Jun-17,10:19:56,1,1,0,RedAmber,D
3440,03-Jun-17,10:19:56,1,1,0,RedAmber,D
3441,03-Jun-17,10:19:56,1,1,0,RedAmber,D
3732,03-Jun-17,10:20:54,1,1,0,RedAmber,D
3733,03-Jun-17,10:20:55,1,1,0,RedAmber,D
3734,03-Jun-17,10:20:55,1,1,0,RedAmber,D
3735,03-Jun-17,10:20:55,1,1,0,RedAmber,D
3736,03-Jun-17,10:20:55,1,1,0,RedAmber,D
3737,03-Jun-17,10:20:56,1,1,0,RedAmber,D
3738,03-Jun-17,10:20:56,1,1,0,RedAmber,D
3739,03-Jun-17,10:20:56,1,1,0,RedAmber,D
3740,03-Jun-17,10:20:56,1,1,0,RedAmber,D
3741,03-Jun-17,10:20:56,1,1,0,RedAmber,D
4032,03-Jun-17,10:21:55,1,1,0,RedAmber,D
4033,03-Jun-17,10:21:55,1,1,0,RedAmber,D
4034,03-Jun-17,10:21:55,1,1,0,RedAmber,D
4035,03-Jun-17,10:21:55,1,1,0,RedAmber,D
4036,03-Jun-17,10:21:55,1,1,0,RedAmber,D
4037,03-Jun-17,10:21:55,1,1,0,RedAmber,D
4038,03-Jun-17,10:21:55,1,1,0,RedAmber,D
4039,03-Jun-17,10:21:56,1,1,0,RedAmber,D
4040,03-Jun-17,10:21:56,1,1,0,RedAmber,D
4041,03-Jun-17,10:21:56,1,1,0,RedAmber,D
4332,03-Jun-17,10:22:55,1,1,0,RedAmber,D
4333,03-Jun-17,10:22:55,1,1,0,RedAmber,D
4334,03-Jun-17,10:22:55,1,1,0,RedAmber,D
4335,03-Jun-17,10:22:55,1,1,0,RedAmber,D
4336,03-Jun-17,10:22:55,1,1,0,RedAmber,D
4337,03-Jun-17,10:22:55,1,1,0,RedAmber,D
4338,03-Jun-17,10:22:55,1,1,0,RedAmber,D
4339,03-Jun-17,10:22:56,1,1,0,RedAmber,D
4340,03-Jun-17,10:22:56,1,1,0,RedAmber,D
4341,03-Jun-17,10:22:56,1,1,0,RedAmber,D
4632,03-Jun-17,10:23:54,1,1,0,RedAmber,D
4633,03-Jun-17,10:23:55,1,1,0,RedAmber,D
4634,03-Jun-17,10:23:55,1,1,0,RedAmber,D
4635,03-Jun-17,10:23:55,1,1,0,RedAmber,D
4636,03-Jun-17,10:23:55,1,1,0,RedAmber,D
4637,03-Jun-17,10:23:56,1,1,0,RedAmber,D
4638,03-Jun-17,10:23:56,1,1,0,RedAmber,D
4639,03-Jun-17,10:23:56,1,1,0,RedAmber,D
4640,03-Jun-17,10:23:56,1,1,0,RedAmber,D
4641,03-Jun-17,10:23:56,1,1,0,RedAmber,D
4932,03-Jun-17,10:24:55,1,1,0,RedAmber,D
4933,03-Jun-17,10:24:55,1,1,0,RedAmber,D
4934,03-Jun-17,10:24:55,1,1,0,RedAmber,D
4935,03-Jun-17,10:24:55,1,1,0,RedAmber,D
4936,03-Jun-17,10:24:55,1,1,0,RedAmber,D
4937,03-Jun-17,10:24:56,1,1,0,RedAmber,D
4938,03-Jun-17,10:24:56,1,1,0,RedAmber,D
4939,03-Jun-17,10:24:56,1,1,0,RedAmber,D
4940,03-Jun-17,10:24:56,1,1,0,RedAmber,D
4941,03-Jun-17,10:24:57,1,1,0,RedAmber,D
5232,03-Jun-17,10:25:54,1,1,0,RedAmber,D
5233,03-Jun-17,10:25:54,1,1,0,RedAmber,D
5234,03-Jun-17,10:25:55,1,1,0,RedAmber,D
5235,03-Jun-17,10:25:55,1,1,0,RedAmber,D
5236,03-Jun-17,10:25:55,1,1,0,RedAmber,D
5237,03-Jun-17,10:25:55,1,1,0,RedAmber,D
5238,03-Jun-17,10:25:56,1,1,0,RedAmber,D
5239,03-Jun-17,10:25:56,1,1,0,RedAmber,D
5240,03-Jun-17,10:25:56,1,1,0,RedAmber,D
5241,03-Jun-17,10:25:56,1,1,0,RedAmber,D
5532,03-Jun-17,10:26:54,1,1,0,RedAmber,D
5533,03-Jun-17,10:26:55,1,1,0,RedAmber,D
5534,03-Jun-17,10:26:55,1,1,0,RedAmber,D
5535,03-Jun-17,10:26:55,1,1,0,RedAmber,D
5536,03-Jun-17,10:26:55,1,1,0,RedAmber,D
5537,03-Jun-17,10:26:56,1,1,0,RedAmber,D
5538,03-Jun-17,10:26:56,1,1,0,RedAmber,D
5539,03-Jun-17,10:26:56,1,1,0,RedAmber,D
5540,03-Jun-17,10:26:56,1,1,0,RedAmber,D
5541,03-Jun-17,10:26:56,1,1,0,RedAmber,D
5832,03-Jun-17,10:27:54,1,1,0,RedAmber,D
5833,03-Jun-17,10:27:55,1,1,0,RedAmber,D
5834,03-Jun-17,10:27:55,1,1,0,RedAmber,D
5835,03-Jun-17,10:27:55,1,1,0,RedAmber,D
5836,03-Jun-17,10:27:55,1,1,0,RedAmber,D
5837,03-Jun-17,10:27:55,1,1,0,RedAmber,D
5838,03-Jun-17,10:27:56,1,1,0,RedAmber,D
5839,03-Jun-17,10:27:56,1,1,0,RedAmber,D
5840,03-Jun-17,10:27:56,1,1,0,RedAmber,D
5841,03-Jun-17,10:27:56,1,1,0,RedAmber,D
6132,03-Jun-17,10:28:54,1,1,0,RedAmber,D
6133,03-Jun-17,10:28:55,1,1,0,RedAmber,D
6134,03-Jun-17,10:28:55,1,1,0,RedAmber,D
6135,03-Jun-17,10:28:55,1,1,0,RedAmber,D
6136,03-Jun-17,10:28:55,1,1,0,RedAmber,D
6137,03-Jun-17,10:28:55,1,1,0,RedAmber,D
6138,03-Jun-17,10:28:56,1,1,0,RedAmber,D
6139,03-Jun-17,10:28:56,1,1,0,RedAmber,D
6140,03-Jun-17,10:28:56,1,1,0,RedAmber,D
6141,03-Jun-17,10:28:56,1,1,0,RedAmber,D
6432,03-Jun-17,10:29:54,1,1,0,RedAmber,D
6433,03-Jun-17,10:29:54,1,1,0,RedAmber,D
6434,03-Jun-17,10:29:55,1,1,0,RedAmber,D
6435,03-Jun-17,10:29:55,1,1,0,RedAmber,D
6436,03-Jun-17,10:29:55,1,1,0,RedAmber,D
6437,03-Jun-17,10:29:55,1,1,0,RedAmber,D
6438,03-Jun-17,10:29:56,1,1,0,RedAmber,D
6439,03-Jun-17,10:29:56,1,1,0,RedAmber,D
6440,03-Jun-17,10:29:56,1,1,0,RedAmber,D
6441,03-Jun-17,10:29:56,1,1,0,RedAmber,D
6732,03-Jun-17,10:30:54,1,1,0,RedAmber,D
6733,03-Jun-17,10:30:55,1,1,0,RedAmber,D
6734,03-Jun-17,10:30:55,1,1,0,RedAmber,D
6735,03-Jun-17,10:30:55,1,1,0,RedAmber,D
6736,03-Jun-17,10:30:55,1,1,0,RedAmber,D
6737,03-Jun-17,10:30:55,1,1,0,RedAmber,D
6738,03-Jun-17,10:30:56,1,1,0,RedAmber,D
6739,03-Jun-17,10:30:56,1,1,0,RedAmber,D
6740,03-Jun-17,10:30:56,1,1,0,RedAmber,D
6741,03-Jun-17,10:30:56,1,1,0,RedAmber,D
7032,03-Jun-17,10:31:55,1,1,0,RedAmber,D
7033,03-Jun-17,10:31:55,1,1,0,RedAmber,D
7034,03-Jun-17,10:31:55,1,1,0,RedAmber,D
7035,03-Jun-17,10:31:55,1,1,0,RedAmber,D
7036,03-Jun-17,10:31:55,1,1,0,RedAmber,D
7037,03-Jun-17,10:31:56,1,1,0,RedAmber,D
7038,03-Jun-17,10:31:56,1,1,0,RedAmber,D
7039,03-Jun-17,10:31:56,1,1,0,RedAmber,D
7040,03-Jun-17,10:31:56,1,1,0,RedAmber,D
7041,03-Jun-17,10:31:56,1,1,0,RedAmber,D
