,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
1062,03-Jun-17,10:12:00,0,0,1,Green,C
1063,03-Jun-17,10:12:01,0,0,1,Green,C
1064,03-Jun-17,10:12:01,0,0,1,Green,C
1065,03-Jun-17,10:12:01,0,0,1,Green,C
1066,03-Jun-17,10:12:01,0,0,1,Green,C
1067,03-Jun-17,10:12:01,0,0,1,Green,C
1068,03-Jun-17,10:12:01,0,0,1,Green,C
1069,03-Jun-17,10:12:02,0,0,1,Green,C
1070,03-Jun-17,10:12:02,0,0,1,Green,C
1071,03-Jun-17,10:12:02,0,0,1,Green,C
1072,03-Jun-17,10:12:02,0,0,1,Green,C
1073,03-Jun-17,10:12:03,0,0,1,Green,C
1074,03-Jun-17,10:12:03,0,0,1,Green,C
1075,03-Jun-17,10:12:03,0,0,1,Green,C
1076,03-Jun-17,10:12:03,0,0,1,Green,C
1077,03-Jun-17,10:12:03,0,0,1,Green,C
1078,03-Jun-17,10:12:03,0,0,1,Green,C
1079,03-Jun-17,10:12:04,0,0,1,Green,C
1080,03-Jun-17,10:12:04,0,0,1,Green,C
1081,03-Jun-17,10:12:04,0,0,1,Green,C
1337,03-Jun-17,10:12:55,0,0,1,Green,C
1338,03-Jun-17,10:12:56,0,0,1,Green,C
1339,03-Jun-17,10:12:56,0,0,1,Green,C
1340,03-Jun-17,10:12:56,0,0,1,Green,C
1341,03-Jun-17,10:12:56,0,0,1,Green,C
1342,03-Jun-17,10:12:56,0,0,1,Green,C
1343,03-Jun-17,10:12:57,0,0,1,Green,C
1344,03-Jun-17,10:12:57,0,0,1,Green,C
1345,03-Jun-17,10:12:57,0,0,1,Green,C
1346,03-Jun-17,10:12:57,0,0,1,Green,C
1347,03-Jun-17,10:12:58,0,0,1,Green,C
1348,03-Jun-17,10:12:58,0,0,1,Green,C
1349,03-Jun-17,10:12:58,0,0,1,Green,C
1350,03-Jun-17,10:12:58,0,0,1,Green,C
1351,03-Jun-17,10:12:58,0,0,1,Green,C
1352,03-Jun-17,10:12:58,0,0,1,Green,C
1353,03-Jun-17,10:12:59,0,0,1,Green,C
1354,03-Jun-17,10:12:59,0,0,1,Green,C
1355,03-Jun-17,10:12:59,0,0,1,Green,C
1356,03-Jun-17,10:12:59,0,0,1,Green,C
1357,03-Jun-17,10:13:00,0,0,1,Green,C
1358,03-Jun-17,10:13:00,0,0,1,Green,C
1359,03-Jun-17,10:13:00,0,0,1,Green,C
1360,03-Jun-17,10:13:00,0,0,1,Green,C
1361,03-Jun-17,10:13:00,0,0,1,Green,C
1362,03-Jun-17,10:13:01,0,0,1,Green,C
1363,03-Jun-17,10:13:01,0,0,1,Green,C
1364,03-Jun-17,10:13:01,0,0,1,Green,C
1365,03-Jun-17,10:13:01,0,0,1,Green,C
1366,03-Jun-17,10:13:01,0,0,1,Green,C
1367,03-Jun-17,10:13:01,0,0,1,Green,C
1368,03-Jun-17,10:13:02,0,0,1,Green,C
1369,03-Jun-17,10:13:02,0,0,1,Green,C
1370,03-Jun-17,10:13:02,0,0,1,Green,C
1371,03-Jun-17,10:13:02,0,0,1,Green,C
1372,03-Jun-17,10:13:02,0,0,1,Green,C
1373,03-Jun-17,10:13:03,0,0,1,Green,C
1374,03-Jun-17,10:13:03,0,0,1,Green,C
1375,03-Jun-17,10:13:03,0,0,1,Green,C
1376,03-Jun-17,10:13:03,0,0,1,Green,C
1377,03-Jun-17,10:13:04,0,0,1,Green,C
1378,03-Jun-17,10:13:04,0,0,1,Green,C
1379,03-Jun-17,10:13:04,0,0,1,Green,C
1380,03-Jun-17,10:13:04,0,0,1,Green,C
1381,03-Jun-17,10:13:04,0,0,1,Green,C
1637,03-Jun-17,10:13:55,0,0,1,Green,C
1638,03-Jun-17,10:13:56,0,0,1,Green,C
