,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
2516,03-Jun-17,10:16:51,0,1,0,Amber,B
2517,03-Jun-17,10:16:51,0,1,0,Amber,B
2518,03-Jun-17,10:16:52,0,1,0,Amber,B
2519,03-Jun-17,10:16:52,0,1,0,Amber,B
2520,03-Jun-17,10:16:52,0,1,0,Amber,B
2521,03-Jun-17,10:16:52,0,1,0,Amber,B
2522,03-Jun-17,10:16:52,0,1,0,Amber,B
2523,03-Jun-17,10:16:53,0,1,0,Amber,B
2524,03-Jun-17,10:16:53,0,1,0,Amber,B
2525,03-Jun-17,10:16:53,0,1,0,Amber,B
2526,03-Jun-17,10:16:53,0,1,0,Amber,B
2812,03-Jun-17,10:17:50,0,1,0,Amber,B
2813,03-Jun-17,10:17:50,0,1,0,Amber,B
2814,03-Jun-17,10:17:51,0,1,0,Amber,B
2815,03-Jun-17,10:17:51,0,1,0,Amber,B
2816,03-Jun-17,10:17:51,0,1,0,Amber,B
2817,03-Jun-17,10:17:51,0,1,0,Amber,B
2818,03-Jun-17,10:17:52,0,1,0,Amber,B
2819,03-Jun-17,10:17:52,0,1,0,Amber,B
2820,03-Jun-17,10:17:52,0,1,0,Amber,B
2821,03-Jun-17,10:17:52,0,1,0,Amber,B
2822,03-Jun-17,10:17:52,0,1,0,Amber,B
2823,03-Jun-17,10:17:53,0,1,0,Amber,B
2824,03-Jun-17,10:17:53,0,1,0,Amber,B
2825,03-Jun-17,10:17:53,0,1,0,Amber,B
2826,03-Jun-17,10:17:53,0,1,0,Amber,B
3112,03-Jun-17,10:18:51,0,1,0,Amber,B
3113,03-Jun-17,10:18:51,0,1,0,Amber,B
3114,03-Jun-17,10:18:51,0,1,0,Amber,B
3115,03-Jun-17,10:18:51,0,1,0,Amber,B
3116,03-Jun-17,10:18:51,0,1,0,Amber,B
3117,03-Jun-17,10:18:52,0,1,0,Amber,B
3118,03-Jun-17,10:18:52,0,1,0,Amber,B
3119,03-Jun-17,10:18:52,0,1,0,Amber,B
3120,03-Jun-17,10:18:52,0,1,0,Amber,B
3121,03-Jun-17,10:18:52,0,1,0,Amber,B
3122,03-Jun-17,10:18:52,0,1,0,Amber,B
3123,03-Jun-17,10:18:53,0,1,0,Amber,B
3124,03-Jun-17,10:18:53,0,1,0,Amber,B
3125,03-Jun-17,10:18:53,0,1,0,Amber,B
3126,03-Jun-17,10:18:53,0,1,0,Amber,B
3412,03-Jun-17,10:19:50,0,1,0,Amber,B
3413,03-Jun-17,10:19:51,0,1,0,Amber,B
3414,03-Jun-17,10:19:51,0,1,0,Amber,B
3415,03-Jun-17,10:19:51,0,1,0,Amber,B
3416,03-Jun-17,10:19:51,0,1,0,Amber,B
3417,03-Jun-17,10:19:52,0,1,0,Amber,B
3418,03-Jun-17,10:19:52,0,1,0,Amber,B
3419,03-Jun-17,10:19:52,0,1,0,Amber,B
3420,03-Jun-17,10:19:52,0,1,0,Amber,B
3421,03-Jun-17,10:19:52,0,1,0,Amber,B
