,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
1077,03-Jun-17,10:12:03,0,0,1,Green,D
1078,03-Jun-17,10:12:03,0,0,1,Green,D
1079,03-Jun-17,10:12:04,0,0,1,Green,D
1080,03-Jun-17,10:12:04,0,0,1,Green,D
1081,03-Jun-17,10:12:04,0,0,1,Green,D
1342,03-Jun-17,10:12:56,0,0,1,Green,D
1343,03-Jun-17,10:12:57,0,0,1,Green,D
1344,03-Jun-17,10:12:57,0,0,1,Green,D
1345,03-Jun-17,10:12:57,0,0,1,Green,D
1346,03-Jun-17,10:12:57,0,0,1,Green,D
1347,03-Jun-17,10:12:58,0,0,1,Green,D
1348,03-Jun-17,10:12:58,0,0,1,Green,D
1349,03-Jun-17,10:12:58,0,0,1,Green,D
1350,03-Jun-17,10:12:58,0,0,1,Green,D
1351,03-Jun-17,10:12:58,0,0,1,Green,D
1352,03-Jun-17,10:12:58,0,0,1,Green,D
1353,03-Jun-17,10:12:59,0,0,1,Green,D
1354,03-Jun-17,10:12:59,0,0,1,Green,D
1355,03-Jun-17,10:12:59,0,0,1,Green,D
1356,03-Jun-17,10:12:59,0,0,1,Green,D
1357,03-Jun-17,10:13:00,0,0,1,Green,D
1358,03-Jun-17,10:13:00,0,0,1,Green,D
1359,03-Jun-17,10:13:00,0,0,1,Green,D
1360,03-Jun-17,10:13:00,0,0,1,Green,D
1361,03-Jun-17,10:13:00,0,0,1,Green,D
1362,03-Jun-17,10:13:01,0,0,1,Green,D
1363,03-Jun-17,10:13:01,0,0,1,Green,D
1364,03-Jun-17,10:13:01,0,0,1,Green,D
1365,03-Jun-17,10:13:01,0,0,1,Green,D
1366,03-Jun-17,10:13:01,0,0,1,Green,D
1367,03-Jun-17,10:13:01,0,0,1,Green,D
1368,03-Jun-17,10:13:02,0,0,1,Green,D
1369,03-Jun-17,10:13:02,0,0,1,Green,D
1370,03-Jun-17,10:13:02,0,0,1,Green,D
1371,03-Jun-17,10:13:02,0,0,1,Green,D
1372,03-Jun-17,10:13:02,0,0,1,Green,D
1373,03-Jun-17,10:13:03,0,0,1,Green,D
1374,03-Jun-17,10:13:03,0,0,1,Green,D
1375,03-Jun-17,10:13:03,0,0,1,Green,D
1376,03-Jun-17,10:13:03,0,0,1,Green,D
1377,03-Jun-17,10:13:04,0,0,1,Green,D
1378,03-Jun-17,10:13:04,0,0,1,Green,D
1379,03-Jun-17,10:13:04,0,0,1,Green,D
1380,03-Jun-17,10:13:04,0,0,1,Green,D
1381,03-Jun-17,10:13:04,0,0,1,Green,D
1642,03-Jun-17,10:13:57,0,0,1,Green,D
1643,03-Jun-17,10:13:57,0,0,1,Green,D
1644,03-Jun-17,10:13:57,0,0,1,Green,D
1645,03-Jun-17,10:13:57,0,0,1,Green,D
1646,03-Jun-17,10:13:58,0,0,1,Green,D
1647,03-Jun-17,10:13:58,0,0,1,Green,D
1648,03-Jun-17,10:13:58,0,0,1,Green,D
1649,03-Jun-17,10:13:58,0,0,1,Green,D
1650,03-Jun-17,10:13:58,0,0,1,Green,D
1651,03-Jun-17,10:13:58,0,0,1,Green,D
1652,03-Jun-17,10:13:59,0,0,1,Green,D
1653,03-Jun-17,10:13:59,0,0,1,Green,D
1654,03-Jun-17,10:13:59,0,0,1,Green,D
1655,03-Jun-17,10:13:59,0,0,1,Green,D
1656,03-Jun-17,10:14:00,0,0,1,Green,D
1657,03-Jun-17,10:14:00,0,0,1,Green,D
1658,03-Jun-17,10:14:00,0,0,1,Green,D
1659,03-Jun-17,10:14:00,0,0,1,Green,D
