,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
2516,03-Jun-17,10:16:51,0,1,0,Amber,A
2517,03-Jun-17,10:16:51,0,1,0,Amber,A
2518,03-Jun-17,10:16:52,0,1,0,Amber,A
2519,03-Jun-17,10:16:52,0,1,0,Amber,A
2520,03-Jun-17,10:16:52,0,1,0,Amber,A
2521,03-Jun-17,10:16:52,0,1,0,Amber,A
2522,03-Jun-17,10:16:52,0,1,0,Amber,A
2523,03-Jun-17,10:16:53,0,1,0,Amber,A
2524,03-Jun-17,10:16:53,0,1,0,Amber,A
2525,03-Jun-17,10:16:53,0,1,0,Amber,A
2526,03-Jun-17,10:16:53,0,1,0,Amber,A
2812,03-Jun-17,10:17:50,0,1,0,Amber,A
2813,03-Jun-17,10:17:50,0,1,0,Amber,A
2814,03-Jun-17,10:17:51,0,1,0,Amber,A
2815,03-Jun-17,10:17:51,0,1,0,Amber,A
2816,03-Jun-17,10:17:51,0,1,0,Amber,A
2817,03-Jun-17,10:17:51,0,1,0,Amber,A
2818,03-Jun-17,10:17:52,0,1,0,Amber,A
2819,03-Jun-17,10:17:52,0,1,0,Amber,A
2820,03-Jun-17,10:17:52,0,1,0,Amber,A
2821,03-Jun-17,10:17:52,0,1,0,Amber,A
2822,03-Jun-17,10:17:52,0,1,0,Amber,A
2823,03-Jun-17,10:17:53,0,1,0,Amber,A
2824,03-Jun-17,10:17:53,0,1,0,Amber,A
2825,03-Jun-17,10:17:53,0,1,0,Amber,A
2826,03-Jun-17,10:17:53,0,1,0,Amber,A
3112,03-Jun-17,10:18:51,0,1,0,Amber,A
3113,03-Jun-17,10:18:51,0,1,0,Amber,A
3114,03-Jun-17,10:18:51,0,1,0,Amber,A
3115,03-Jun-17,10:18:51,0,1,0,Amber,A
3116,03-Jun-17,10:18:51,0,1,0,Amber,A
3117,03-Jun-17,10:18:52,0,1,0,Amber,A
3118,03-Jun-17,10:18:52,0,1,0,Amber,A
3119,03-Jun-17,10:18:52,0,1,0,Amber,A
3120,03-Jun-17,10:18:52,0,1,0,Amber,A
3121,03-Jun-17,10:18:52,0,1,0,Amber,A
3122,03-Jun-17,10:18:52,0,1,0,Amber,A
3123,03-Jun-17,10:18:53,0,1,0,Amber,A
3124,03-Jun-17,10:18:53,0,1,0,Amber,A
3125,03-Jun-17,10:18:53,0,1,0,Amber,A
3126,03-Jun-17,10:18:53,0,1,0,Amber,A
3412,03-Jun-17,10:19:50,0,1,0,Amber,A
3413,03-Jun-17,10:19:51,0,1,0,Amber,A
3414,03-Jun-17,10:19:51,0,1,0,Amber,A
3415,03-Jun-17,10:19:51,0,1,0,Amber,A
3416,03-Jun-17,10:19:51,0,1,0,Amber,A
3417,03-Jun-17,10:19:52,0,1,0,Amber,A
3418,03-Jun-17,10:19:52,0,1,0,Amber,A
3419,03-Jun-17,10:19:52,0,1,0,Amber,A
3420,03-Jun-17,10:19:52,0,1,0,Amber,A
3421,03-Jun-17,10:19:52,0,1,0,Amber,A
3422,03-Jun-17,10:19:52,0,1,0,Amber,A
3423,03-Jun-17,10:19:52,0,1,0,Amber,A
3424,03-Jun-17,10:19:53,0,1,0,Amber,A
3425,03-Jun-17,10:19:53,0,1,0,Amber,A
3426,03-Jun-17,10:19:53,0,1,0,Amber,A
3712,03-Jun-17,10:20:50,0,1,0,Amber,A
3713,03-Jun-17,10:20:51,0,1,0,Amber,A
3714,03-Jun-17,10:20:51,0,1,0,Amber,A
3715,03-Jun-17,10:20:51,0,1,0,Amber,A
3716,03-Jun-17,10:20:51,0,1,0,Amber,A
3717,03-Jun-17,10:20:52,0,1,0,Amber,A
3718,03-Jun-17,10:20:52,0,1,0,Amber,A
3719,03-Jun-17,10:20:52,0,1,0,Amber,A
3720,03-Jun-17,10:20:52,0,1,0,Amber,A
3721,03-Jun-17,10:20:52,0,1,0,Amber,A
3722,03-Jun-17,10:20:53,0,1,0,Amber,A
3723,03-Jun-17,10:20:53,0,1,0,Amber,A
3724,03-Jun-17,10:20:53,0,1,0,Amber,A
3725,03-Jun-17,10:20:53,0,1,0,Amber,A
3726,03-Jun-17,10:20:53,0,1,0,Amber,A
4012,03-Jun-17,10:21:51,0,1,0,Amber,A
4013,03-Jun-17,10:21:51,0,1,0,Amber,A
4014,03-Jun-17,10:21:51,0,1,0,Amber,A
4015,03-Jun-17,10:21:51,0,1,0,Amber,A
4016,03-Jun-17,10:21:51,0,1,0,Amber,A
4017,03-Jun-17,10:21:51,0,1,0,Amber,A
4018,03-Jun-17,10:21:52,0,1,0,Amber,A
4019,03-Jun-17,10:21:52,0,1,0,Amber,A
4020,03-Jun-17,10:21:52,0,1,0,Amber,A
4021,03-Jun-17,10:21:52,0,1,0,Amber,A
4022,03-Jun-17,10:21:52,0,1,0,Amber,A
4023,03-Jun-17,10:21:53,0,1,0,Amber,A
4024,03-Jun-17,10:21:53,0,1,0,Amber,A
4025,03-Jun-17,10:21:53,0,1,0,Amber,A
4026,03-Jun-17,10:21:53,0,1,0,Amber,A
4312,03-Jun-17,10:22:51,0,1,0,Amber,A
4313,03-Jun-17,10:22:51,0,1,0,Amber,A
4314,03-Jun-17,10:22:51,0,1,0,Amber,A
4315,03-Jun-17,10:22:51,0,1,0,Amber,A
4316,03-Jun-17,10:22:51,0,1,0,Amber,A
4317,03-Jun-17,10:22:51,0,1,0,Amber,A
4318,03-Jun-17,10:22:51,0,1,0,Amber,A
4319,03-Jun-17,10:22:52,0,1,0,Amber,A
4320,03-Jun-17,10:22:52,0,1,0,Amber,A
4321,03-Jun-17,10:22:52,0,1,0,Amber,A
4322,03-Jun-17,10:22:52,0,1,0,Amber,A
4323,03-Jun-17,10:22:53,0,1,0,Amber,A
4324,03-Jun-17,10:22:53,0,1,0,Amber,A
4325,03-Jun-17,10:22:53,0,1,0,Amber,A
4326,03-Jun-17,10:22:53,0,1,0,Amber,A
4612,03-Jun-17,10:23:50,0,1,0,Amber,A
4613,03-Jun-17,10:23:51,0,1,0,Amber,A
4614,03-Jun-17,10:23:51,0,1,0,Amber,A
4615,03-Jun-17,10:23:51,0,1,0,Amber,A
4616,03-Jun-17,10:23:51,0,1,0,Amber,A
4617,03-Jun-17,10:23:52,0,1,0,Amber,A
4618,03-Jun-17,10:23:52,0,1,0,Amber,A
4619,03-Jun-17,10:23:52,0,1,0,Amber,A
4620,03-Jun-17,10:23:52,0,1,0,Amber,A
4621,03-Jun-17,10:23:52,0,1,0,Amber,A
4622,03-Jun-17,10:23:53,0,1,0,Amber,A
4623,03-Jun-17,10:23:53,0,1,0,Amber,A
4624,03-Jun-17,10:23:53,0,1,0,Amber,A
4625,03-Jun-17,10:23:53,0,1,0,Amber,A
4626,03-Jun-17,10:23:53,0,1,0,Amber,A
4912,03-Jun-17,10:24:50,0,1,0,Amber,A
4913,03-Jun-17,10:24:51,0,1,0,Amber,A
4914,03-Jun-17,10:24:51,0,1,0,Amber,A
4915,03-Jun-17,10:24:51,0,1,0,Amber,A
4916,03-Jun-17,10:24:51,0,1,0,Amber,A
4917,03-Jun-17,10:24:52,0,1,0,Amber,A
4918,03-Jun-17,10:24:52,0,1,0,Amber,A
4919,03-Jun-17,10:24:52,0,1,0,Amber,A
4920,03-Jun-17,10:24:52,0,1,0,Amber,A
4921,03-Jun-17,10:24:52,0,1,0,Amber,A
4922,03-Jun-17,10:24:53,0,1,0,Amber,A
4923,03-Jun-17,10:24:53,0,1,0,Amber,A
4924,03-Jun-17,10:24:53,0,1,0,Amber,A
4925,03-Jun-17,10:24:53,0,1,0,Amber,A
4926,03-Jun-17,10:24:53,0,1,0,Amber,A
5212,03-Jun-17,10:25:50,0,1,0,Amber,A
5213,03-Jun-17,10:25:50,0,1,0,Amber,A
5214,03-Jun-17,10:25:51,0,1,0,Amber,A
5215,03-Jun-17,10:25:51,0,1,0,Amber,A
5216,03-Jun-17,10:25:51,0,1,0,Amber,A
5217,03-Jun-17,10:25:51,0,1,0,Amber,A
5218,03-Jun-17,10:25:52,0,1,0,Amber,A
5219,03-Jun-17,10:25:52,0,1,0,Amber,A
5220,03-Jun-17,10:25:52,0,1,0,Amber,A
5221,03-Jun-17,10:25:52,0,1,0,Amber,A
5222,03-Jun-17,10:25:52,0,1,0,Amber,A
5223,03-Jun-17,10:25:53,0,1,0,Amber,A
5224,03-Jun-17,10:25:53,0,1,0,Amber,A
5225,03-Jun-17,10:25:53,0,1,0,Amber,A
5226,03-Jun-17,10:25:53,0,1,0,Amber,A
5512,03-Jun-17,10:26:50,0,1,0,Amber,A
5513,03-Jun-17,10:26:51,0,1,0,Amber,A
5514,03-Jun-17,10:26:51,0,1,0,Amber,A
5515,03-Jun-17,10:26:51,0,1,0,Amber,A
5516,03-Jun-17,10:26:51,0,1,0,Amber,A
5517,03-Jun-17,10:26:52,0,1,0,Amber,A
5518,03-Jun-17,10:26:52,0,1,0,Amber,A
5519,03-Jun-17,10:26:52,0,1,0,Amber,A
5520,03-Jun-17,10:26:52,0,1,0,Amber,A
5521,03-Jun-17,10:26:52,0,1,0,Amber,A
5522,03-Jun-17,10:26:52,0,1,0,Amber,A
5523,03-Jun-17,10:26:52,0,1,0,Amber,A
5524,03-Jun-17,10:26:53,0,1,0,Amber,A
5525,03-Jun-17,10:26:53,0,1,0,Amber,A
5526,03-Jun-17,10:26:53,0,1,0,Amber,A
5812,03-Jun-17,10:27:50,0,1,0,Amber,A
5813,03-Jun-17,10:27:51,0,1,0,Amber,A
5814,03-Jun-17,10:27:51,0,1,0,Amber,A
5815,03-Jun-17,10:27:51,0,1,0,Amber,A
5816,03-Jun-17,10:27:51,0,1,0,Amber,A
5817,03-Jun-17,10:27:52,0,1,0,Amber,A
5818,03-Jun-17,10:27:52,0,1,0,Amber,A
5819,03-Jun-17,10:27:52,0,1,0,Amber,A
5820,03-Jun-17,10:27:52,0,1,0,Amber,A
5821,03-Jun-17,10:27:52,0,1,0,Amber,A
5822,03-Jun-17,10:27:52,0,1,0,Amber,A
5823,03-Jun-17,10:27:52,0,1,0,Amber,A
5824,03-Jun-17,10:27:53,0,1,0,Amber,A
5825,03-Jun-17,10:27:53,0,1,0,Amber,A
5826,03-Jun-17,10:27:53,0,1,0,Amber,A
6112,03-Jun-17,10:28:50,0,1,0,Amber,A
6113,03-Jun-17,10:28:50,0,1,0,Amber,A
6114,03-Jun-17,10:28:52,0,1,0,Amber,A
6115,03-Jun-17,10:28:52,0,1,0,Amber,A
6116,03-Jun-17,10:28:52,0,1,0,Amber,A
6117,03-Jun-17,10:28:52,0,1,0,Amber,A
6118,03-Jun-17,10:28:52,0,1,0,Amber,A
6119,03-Jun-17,10:28:52,0,1,0,Amber,A
6120,03-Jun-17,10:28:52,0,1,0,Amber,A
6121,03-Jun-17,10:28:52,0,1,0,Amber,A
6122,03-Jun-17,10:28:52,0,1,0,Amber,A
6123,03-Jun-17,10:28:52,0,1,0,Amber,A
6124,03-Jun-17,10:28:53,0,1,0,Amber,A
6125,03-Jun-17,10:28:53,0,1,0,Amber,A
6126,03-Jun-17,10:28:53,0,1,0,Amber,A
6412,03-Jun-17,10:29:51,0,1,0,Amber,A
6413,03-Jun-17,10:29:51,0,1,0,Amber,A
6414,03-Jun-17,10:29:51,0,1,0,Amber,A
6415,03-Jun-17,10:29:51,0,1,0,Amber,A
6416,03-Jun-17,10:29:51,0,1,0,Amber,A
6417,03-Jun-17,10:29:51,0,1,0,Amber,A
6418,03-Jun-17,10:29:52,0,1,0,Amber,A
6419,03-Jun-17,10:29:52,0,1,0,Amber,A
6420,03-Jun-17,10:29:52,0,1,0,Amber,A
6421,03-Jun-17,10:29:52,0,1,0,Amber,A
6422,03-Jun-17,10:29:53,0,1,0,Amber,A
6423,03-Jun-17,10:29:53,0,1,0,Amber,A
6424,03-Jun-17,10:29:53,0,1,0,Amber,A
6425,03-Jun-17,10:29:53,0,1,0,Amber,A
6426,03-Jun-17,10:29:53,0,1,0,Amber,A
6712,03-Jun-17,10:30:50,0,1,0,Amber,A
6713,03-Jun-17,10:30:51,0,1,0,Amber,A
6714,03-Jun-17,10:30:51,0,1,0,Amber,A
6715,03-Jun-17,10:30:51,0,1,0,Amber,A
6716,03-Jun-17,10:30:51,0,1,0,Amber,A
6717,03-Jun-17,10:30:51,0,1,0,Amber,A
6718,03-Jun-17,10:30:52,0,1,0,Amber,A
6719,03-Jun-17,10:30:52,0,1,0,Amber,A
6720,03-Jun-17,10:30:52,0,1,0,Amber,A
6721,03-Jun-17,10:30:52,0,1,0,Amber,A
6722,03-Jun-17,10:30:53,0,1,0,Amber,A
6723,03-Jun-17,10:30:53,0,1,0,Amber,A
6724,03-Jun-17,10:30:53,0,1,0,Amber,A
6725,03-Jun-17,10:30:53,0,1,0,Amber,A
6726,03-Jun-17,10:30:53,0,1,0,Amber,A
7012,03-Jun-17,10:31:50,0,1,0,Amber,A
7013,03-Jun-17,10:31:50,0,1,0,Amber,A
7014,03-Jun-17,10:31:51,0,1,0,Amber,A
7015,03-Jun-17,10:31:51,0,1,0,Amber,A
7016,03-Jun-17,10:31:51,0,1,0,Amber,A
7017,03-Jun-17,10:31:51,0,1,0,Amber,A
7018,03-Jun-17,10:31:52,0,1,0,Amber,A
7019,03-Jun-17,10:31:52,0,1,0,Amber,A
7020,03-Jun-17,10:31:52,0,1,0,Amber,A
7021,03-Jun-17,10:31:52,0,1,0,Amber,A
7022,03-Jun-17,10:31:52,0,1,0,Amber,A
7023,03-Jun-17,10:31:53,0,1,0,Amber,A
7024,03-Jun-17,10:31:53,0,1,0,Amber,A
7025,03-Jun-17,10:31:53,0,1,0,Amber,A
7026,03-Jun-17,10:31:53,0,1,0,Amber,A
7312,03-Jun-17,10:32:51,0,1,0,Amber,A
7313,03-Jun-17,10:32:51,0,1,0,Amber,A
7314,03-Jun-17,10:32:51,0,1,0,Amber,A
7315,03-Jun-17,10:32:51,0,1,0,Amber,A
7316,03-Jun-17,10:32:51,0,1,0,Amber,A
7317,03-Jun-17,10:32:51,0,1,0,Amber,A
7318,03-Jun-17,10:32:51,0,1,0,Amber,A
7319,03-Jun-17,10:32:52,0,1,0,Amber,A
7320,03-Jun-17,10:32:52,0,1,0,Amber,A
7321,03-Jun-17,10:32:52,0,1,0,Amber,A
7322,03-Jun-17,10:32:52,0,1,0,Amber,A
7323,03-Jun-17,10:32:53,0,1,0,Amber,A
7324,03-Jun-17,10:32:53,0,1,0,Amber,A
7325,03-Jun-17,10:32:53,0,1,0,Amber,A
7326,03-Jun-17,10:32:53,0,1,0,Amber,A
7612,03-Jun-17,10:33:50,0,1,0,Amber,A
7613,03-Jun-17,10:33:50,0,1,0,Amber,A
7614,03-Jun-17,10:33:51,0,1,0,Amber,A
7615,03-Jun-17,10:33:51,0,1,0,Amber,A
7616,03-Jun-17,10:33:51,0,1,0,Amber,A
7617,03-Jun-17,10:33:51,0,1,0,Amber,A
7618,03-Jun-17,10:33:52,0,1,0,Amber,A
7619,03-Jun-17,10:33:52,0,1,0,Amber,A
7620,03-Jun-17,10:33:52,0,1,0,Amber,A
7621,03-Jun-17,10:33:52,0,1,0,Amber,A
7622,03-Jun-17,10:33:52,0,1,0,Amber,A
7623,03-Jun-17,10:33:53,0,1,0,Amber,A
7624,03-Jun-17,10:33:53,0,1,0,Amber,A
7625,03-Jun-17,10:33:53,0,1,0,Amber,A
7626,03-Jun-17,10:33:53,0,1,0,Amber,A
7912,03-Jun-17,10:34:50,0,1,0,Amber,A
7913,03-Jun-17,10:34:51,0,1,0,Amber,A
7914,03-Jun-17,10:34:51,0,1,0,Amber,A
7915,03-Jun-17,10:34:51,0,1,0,Amber,A
7916,03-Jun-17,10:34:51,0,1,0,Amber,A
7917,03-Jun-17,10:34:51,0,1,0,Amber,A
7918,03-Jun-17,10:34:52,0,1,0,Amber,A
7919,03-Jun-17,10:34:52,0,1,0,Amber,A
7920,03-Jun-17,10:34:52,0,1,0,Amber,A
7921,03-Jun-17,10:34:52,0,1,0,Amber,A
7922,03-Jun-17,10:34:53,0,1,0,Amber,A
7923,03-Jun-17,10:34:53,0,1,0,Amber,A
7924,03-Jun-17,10:34:53,0,1,0,Amber,A
7925,03-Jun-17,10:34:53,0,1,0,Amber,A
7926,03-Jun-17,10:34:53,0,1,0,Amber,A
8212,03-Jun-17,10:35:51,0,1,0,Amber,A
8213,03-Jun-17,10:35:51,0,1,0,Amber,A
8214,03-Jun-17,10:35:51,0,1,0,Amber,A
8215,03-Jun-17,10:35:51,0,1,0,Amber,A
8216,03-Jun-17,10:35:51,0,1,0,Amber,A
8217,03-Jun-17,10:35:51,0,1,0,Amber,A
8218,03-Jun-17,10:35:51,0,1,0,Amber,A
8219,03-Jun-17,10:35:52,0,1,0,Amber,A
