,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
2286,03-Jun-17,10:16:05,0,1,0,Amber,C
2287,03-Jun-17,10:16:05,0,1,0,Amber,C
2288,03-Jun-17,10:16:05,0,1,0,Amber,C
2289,03-Jun-17,10:16:06,0,1,0,Amber,C
2290,03-Jun-17,10:16:06,0,1,0,Amber,C
2291,03-Jun-17,10:16:06,0,1,0,Amber,C
2292,03-Jun-17,10:16:06,0,1,0,Amber,C
2293,03-Jun-17,10:16:07,0,1,0,Amber,C
2294,03-Jun-17,10:16:07,0,1,0,Amber,C
2295,03-Jun-17,10:16:07,0,1,0,Amber,C
2296,03-Jun-17,10:16:07,0,1,0,Amber,C
2582,03-Jun-17,10:17:04,0,1,0,Amber,C
2583,03-Jun-17,10:17:05,0,1,0,Amber,C
2584,03-Jun-17,10:17:05,0,1,0,Amber,C
2585,03-Jun-17,10:17:05,0,1,0,Amber,C
2586,03-Jun-17,10:17:05,0,1,0,Amber,C
2587,03-Jun-17,10:17:06,0,1,0,Amber,C
2588,03-Jun-17,10:17:06,0,1,0,Amber,C
2589,03-Jun-17,10:17:06,0,1,0,Amber,C
2590,03-Jun-17,10:17:06,0,1,0,Amber,C
2591,03-Jun-17,10:17:06,0,1,0,Amber,C
2592,03-Jun-17,10:17:06,0,1,0,Amber,C
2593,03-Jun-17,10:17:07,0,1,0,Amber,C
2594,03-Jun-17,10:17:07,0,1,0,Amber,C
2595,03-Jun-17,10:17:07,0,1,0,Amber,C
2596,03-Jun-17,10:17:07,0,1,0,Amber,C
2882,03-Jun-17,10:18:05,0,1,0,Amber,C
2883,03-Jun-17,10:18:05,0,1,0,Amber,C
2884,03-Jun-17,10:18:05,0,1,0,Amber,C
2885,03-Jun-17,10:18:05,0,1,0,Amber,C
2886,03-Jun-17,10:18:05,0,1,0,Amber,C
2887,03-Jun-17,10:18:06,0,1,0,Amber,C
2888,03-Jun-17,10:18:06,0,1,0,Amber,C
2889,03-Jun-17,10:18:06,0,1,0,Amber,C
2890,03-Jun-17,10:18:06,0,1,0,Amber,C
2891,03-Jun-17,10:18:06,0,1,0,Amber,C
2892,03-Jun-17,10:18:06,0,1,0,Amber,C
2893,03-Jun-17,10:18:07,0,1,0,Amber,C
2894,03-Jun-17,10:18:07,0,1,0,Amber,C
2895,03-Jun-17,10:18:07,0,1,0,Amber,C
2896,03-Jun-17,10:18:07,0,1,0,Amber,C
3182,03-Jun-17,10:19:04,0,1,0,Amber,C
3183,03-Jun-17,10:19:05,0,1,0,Amber,C
3184,03-Jun-17,10:19:05,0,1,0,Amber,C
3185,03-Jun-17,10:19:05,0,1,0,Amber,C
3186,03-Jun-17,10:19:05,0,1,0,Amber,C
3187,03-Jun-17,10:19:05,0,1,0,Amber,C
3188,03-Jun-17,10:19:05,0,1,0,Amber,C
3189,03-Jun-17,10:19:06,0,1,0,Amber,C
3190,03-Jun-17,10:19:06,0,1,0,Amber,C
3191,03-Jun-17,10:19:06,0,1,0,Amber,C
3192,03-Jun-17,10:19:06,0,1,0,Amber,C
3193,03-Jun-17,10:19:07,0,1,0,Amber,C
3194,03-Jun-17,10:19:07,0,1,0,Amber,C
3195,03-Jun-17,10:19:07,0,1,0,Amber,C
3196,03-Jun-17,10:19:07,0,1,0,Amber,C
3482,03-Jun-17,10:20:04,0,1,0,Amber,C
3483,03-Jun-17,10:20:04,0,1,0,Amber,C
3484,03-Jun-17,10:20:05,0,1,0,Amber,C
3485,03-Jun-17,10:20:05,0,1,0,Amber,C
3486,03-Jun-17,10:20:05,0,1,0,Amber,C
3487,03-Jun-17,10:20:05,0,1,0,Amber,C
3488,03-Jun-17,10:20:06,0,1,0,Amber,C
3489,03-Jun-17,10:20:06,0,1,0,Amber,C
3490,03-Jun-17,10:20:06,0,1,0,Amber,C
3491,03-Jun-17,10:20:06,0,1,0,Amber,C
3492,03-Jun-17,10:20:06,0,1,0,Amber,C
3493,03-Jun-17,10:20:07,0,1,0,Amber,C
3494,03-Jun-17,10:20:07,0,1,0,Amber,C
3495,03-Jun-17,10:20:07,0,1,0,Amber,C
3496,03-Jun-17,10:20:07,0,1,0,Amber,C
3782,03-Jun-17,10:21:05,0,1,0,Amber,C
3783,03-Jun-17,10:21:05,0,1,0,Amber,C
3784,03-Jun-17,10:21:05,0,1,0,Amber,C
3785,03-Jun-17,10:21:05,0,1,0,Amber,C
3786,03-Jun-17,10:21:05,0,1,0,Amber,C
3787,03-Jun-17,10:21:06,0,1,0,Amber,C
3788,03-Jun-17,10:21:06,0,1,0,Amber,C
3789,03-Jun-17,10:21:06,0,1,0,Amber,C
3790,03-Jun-17,10:21:06,0,1,0,Amber,C
3791,03-Jun-17,10:21:06,0,1,0,Amber,C
3792,03-Jun-17,10:21:06,0,1,0,Amber,C
3793,03-Jun-17,10:21:07,0,1,0,Amber,C
3794,03-Jun-17,10:21:07,0,1,0,Amber,C
3795,03-Jun-17,10:21:07,0,1,0,Amber,C
