,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
158,03-Jun-17,10:08:59,1,0,0,Red,C
159,03-Jun-17,10:09:00,1,0,0,Red,C
160,03-Jun-17,10:09:00,1,0,0,Red,C
161,03-Jun-17,10:09:00,1,0,0,Red,C
162,03-Jun-17,10:09:00,1,0,0,Red,C
163,03-Jun-17,10:09:01,1,0,0,Red,C
164,03-Jun-17,10:09:01,1,0,0,Red,C
165,03-Jun-17,10:09:01,1,0,0,Red,C
166,03-Jun-17,10:09:01,1,0,0,Red,C
167,03-Jun-17,10:09:01,1,0,0,Red,C
168,03-Jun-17,10:09:02,1,0,0,Red,C
169,03-Jun-17,10:09:02,1,0,0,Red,C
170,03-Jun-17,10:09:02,1,0,0,Red,C
171,03-Jun-17,10:09:02,1,0,0,Red,C
172,03-Jun-17,10:09:03,1,0,0,Red,C
173,03-Jun-17,10:09:03,1,0,0,Red,C
174,03-Jun-17,10:09:03,1,0,0,Red,C
175,03-Jun-17,10:09:03,1,0,0,Red,C
176,03-Jun-17,10:09:03,1,0,0,Red,C
177,03-Jun-17,10:09:03,1,0,0,Red,C
178,03-Jun-17,10:09:03,1,0,0,Red,C
179,03-Jun-17,10:09:04,1,0,0,Red,C
180,03-Jun-17,10:09:04,1,0,0,Red,C
181,03-Jun-17,10:09:04,1,0,0,Red,C
182,03-Jun-17,10:09:04,1,0,0,Red,C
183,03-Jun-17,10:09:04,1,0,0,Red,C
184,03-Jun-17,10:09:05,1,0,0,Red,C
185,03-Jun-17,10:09:05,1,0,0,Red,C
186,03-Jun-17,10:09:05,1,0,0,Red,C
187,03-Jun-17,10:09:05,1,0,0,Red,C
188,03-Jun-17,10:09:06,1,0,0,Red,C
189,03-Jun-17,10:09:06,1,0,0,Red,C
190,03-Jun-17,10:09:06,1,0,0,Red,C
191,03-Jun-17,10:09:06,1,0,0,Red,C
192,03-Jun-17,10:09:06,1,0,0,Red,C
193,03-Jun-17,10:09:06,1,0,0,Red,C
194,03-Jun-17,10:09:07,1,0,0,Red,C
195,03-Jun-17,10:09:07,1,0,0,Red,C
196,03-Jun-17,10:09:07,1,0,0,Red,C
197,03-Jun-17,10:09:07,1,0,0,Red,C
198,03-Jun-17,10:09:08,1,0,0,Red,C
199,03-Jun-17,10:09:08,1,0,0,Red,C
200,03-Jun-17,10:09:08,1,0,0,Red,C
201,03-Jun-17,10:09:08,1,0,0,Red,C
202,03-Jun-17,10:09:08,1,0,0,Red,C
203,03-Jun-17,10:09:09,1,0,0,Red,C
204,03-Jun-17,10:09:09,1,0,0,Red,C
205,03-Jun-17,10:09:09,1,0,0,Red,C
206,03-Jun-17,10:09:09,1,0,0,Red,C
207,03-Jun-17,10:09:09,1,0,0,Red,C
208,03-Jun-17,10:09:09,1,0,0,Red,C
209,03-Jun-17,10:09:10,1,0,0,Red,C
210,03-Jun-17,10:09:10,1,0,0,Red,C
211,03-Jun-17,10:09:10,1,0,0,Red,C
212,03-Jun-17,10:09:10,1,0,0,Red,C
213,03-Jun-17,10:09:10,1,0,0,Red,C
214,03-Jun-17,10:09:11,1,0,0,Red,C
215,03-Jun-17,10:09:11,1,0,0,Red,C
216,03-Jun-17,10:09:11,1,0,0,Red,C
217,03-Jun-17,10:09:11,1,0,0,Red,C
