,Date,Time,Aspect 0 of Phase E  State,Aspect 1 of Phase E  State,Aspect 2 of Phase E  State,Result,Phase
548,03-Jun-17,10:10:18,1,0,0,Red,E
549,03-Jun-17,10:10:18,1,0,0,Red,E
550,03-Jun-17,10:10:18,1,0,0,Red,E
551,03-Jun-17,10:10:18,1,0,0,Red,E
552,03-Jun-17,10:10:19,1,0,0,Red,E
553,03-Jun-17,10:10:19,1,0,0,Red,E
554,03-Jun-17,10:10:19,1,0,0,Red,E
555,03-Jun-17,10:10:19,1,0,0,Red,E
556,03-Jun-17,10:10:19,1,0,0,Red,E
557,03-Jun-17,10:10:19,1,0,0,Red,E
558,03-Jun-17,10:10:19,1,0,0,Red,E
559,03-Jun-17,10:10:20,1,0,0,Red,E
560,03-Jun-17,10:10:20,1,0,0,Red,E
561,03-Jun-17,10:10:20,1,0,0,Red,E
562,03-Jun-17,10:10:20,1,0,0,Red,E
563,03-Jun-17,10:10:21,1,0,0,Red,E
564,03-Jun-17,10:10:21,1,0,0,Red,E
565,03-Jun-17,10:10:21,1,0,0,Red,E
566,03-Jun-17,10:10:21,1,0,0,Red,E
567,03-Jun-17,10:10:21,1,0,0,Red,E
568,03-Jun-17,10:10:22,1,0,0,Red,E
569,03-Jun-17,10:10:22,1,0,0,Red,E
570,03-Jun-17,10:10:22,1,0,0,Red,E
571,03-Jun-17,10:10:22,1,0,0,Red,E
572,03-Jun-17,10:10:23,1,0,0,Red,E
573,03-Jun-17,10:10:23,1,0,0,Red,E
574,03-Jun-17,10:10:23,1,0,0,Red,E
575,03-Jun-17,10:10:23,1,0,0,Red,E
576,03-Jun-17,10:10:23,1,0,0,Red,E
577,03-Jun-17,10:10:23,1,0,0,Red,E
578,03-Jun-17,10:10:24,1,0,0,Red,E
579,03-Jun-17,10:10:24,1,0,0,Red,E
580,03-Jun-17,10:10:24,1,0,0,Red,E
581,03-Jun-17,10:10:24,1,0,0,Red,E
582,03-Jun-17,10:10:24,1,0,0,Red,E
583,03-Jun-17,10:10:25,1,0,0,Red,E
584,03-Jun-17,10:10:25,1,0,0,Red,E
585,03-Jun-17,10:10:25,1,0,0,Red,E
586,03-Jun-17,10:10:25,1,0,0,Red,E
587,03-Jun-17,10:10:25,1,0,0,Red,E
588,03-Jun-17,10:10:26,1,0,0,Red,E
589,03-Jun-17,10:10:26,1,0,0,Red,E
590,03-Jun-17,10:10:26,1,0,0,Red,E
591,03-Jun-17,10:10:26,1,0,0,Red,E
592,03-Jun-17,10:10:27,1,0,0,Red,E
593,03-Jun-17,10:10:27,1,0,0,Red,E
594,03-Jun-17,10:10:27,1,0,0,Red,E
595,03-Jun-17,10:10:27,1,0,0,Red,E
596,03-Jun-17,10:10:27,1,0,0,Red,E
597,03-Jun-17,10:10:27,1,0,0,Red,E
598,03-Jun-17,10:10:27,1,0,0,Red,E
599,03-Jun-17,10:10:28,1,0,0,Red,E
600,03-Jun-17,10:10:28,1,0,0,Red,E
601,03-Jun-17,10:10:28,1,0,0,Red,E
602,03-Jun-17,10:10:28,1,0,0,Red,E
603,03-Jun-17,10:10:28,1,0,0,Red,E
604,03-Jun-17,10:10:29,1,0,0,Red,E
605,03-Jun-17,10:10:29,1,0,0,Red,E
606,03-Jun-17,10:10:29,1,0,0,Red,E
607,03-Jun-17,10:10:29,1,0,0,Red,E
608,03-Jun-17,10:10:30,1,0,0,Red,E
609,03-Jun-17,10:10:30,1,0,0,Red,E
610,03-Jun-17,10:10:30,1,0,0,Red,E
611,03-Jun-17,10:10:30,1,0,0,Red,E
612,03-Jun-17,10:10:30,1,0,0,Red,E
613,03-Jun-17,10:10:31,1,0,0,Red,E
614,03-Jun-17,10:10:31,1,0,0,Red,E
615,03-Jun-17,10:10:31,1,0,0,Red,E
616,03-Jun-17,10:10:31,1,0,0,Red,E
617,03-Jun-17,10:10:31,1,0,0,Red,E
618,03-Jun-17,10:10:32,1,0,0,Red,E
619,03-Jun-17,10:10:32,1,0,0,Red,E
620,03-Jun-17,10:10:32,1,0,0,Red,E
621,03-Jun-17,10:10:32,1,0,0,Red,E
622,03-Jun-17,10:10:32,1,0,0,Red,E
623,03-Jun-17,10:10:32,1,0,0,Red,E
624,03-Jun-17,10:10:33,1,0,0,Red,E
625,03-Jun-17,10:10:33,1,0,0,Red,E
626,03-Jun-17,10:10:33,1,0,0,Red,E
627,03-Jun-17,10:10:33,1,0,0,Red,E
628,03-Jun-17,10:10:34,1,0,0,Red,E
629,03-Jun-17,10:10:34,1,0,0,Red,E
630,03-Jun-17,10:10:34,1,0,0,Red,E
631,03-Jun-17,10:10:34,1,0,0,Red,E
632,03-Jun-17,10:10:34,1,0,0,Red,E
633,03-Jun-17,10:10:35,1,0,0,Red,E
634,03-Jun-17,10:10:35,1,0,0,Red,E
635,03-Jun-17,10:10:35,1,0,0,Red,E
636,03-Jun-17,10:10:35,1,0,0,Red,E
637,03-Jun-17,10:10:36,1,0,0,Red,E
638,03-Jun-17,10:10:36,1,0,0,Red,E
639,03-Jun-17,10:10:36,1,0,0,Red,E
640,03-Jun-17,10:10:36,1,0,0,Red,E
641,03-Jun-17,10:10:36,1,0,0,Red,E
642,03-Jun-17,10:10:36,1,0,0,Red,E
643,03-Jun-17,10:10:36,1,0,0,Red,E
644,03-Jun-17,10:10:37,1,0,0,Red,E
645,03-Jun-17,10:10:37,1,0,0,Red,E
646,03-Jun-17,10:10:37,1,0,0,Red,E
647,03-Jun-17,10:10:37,1,0,0,Red,E
648,03-Jun-17,10:10:38,1,0,0,Red,E
649,03-Jun-17,10:10:38,1,0,0,Red,E
650,03-Jun-17,10:10:38,1,0,0,Red,E
651,03-Jun-17,10:10:38,1,0,0,Red,E
652,03-Jun-17,10:10:38,1,0,0,Red,E
653,03-Jun-17,10:10:39,1,0,0,Red,E
654,03-Jun-17,10:10:39,1,0,0,Red,E
655,03-Jun-17,10:10:39,1,0,0,Red,E
656,03-Jun-17,10:10:39,1,0,0,Red,E
657,03-Jun-17,10:10:39,1,0,0,Red,E
658,03-Jun-17,10:10:39,1,0,0,Red,E
659,03-Jun-17,10:10:40,1,0,0,Red,E
660,03-Jun-17,10:10:40,1,0,0,Red,E
661,03-Jun-17,10:10:40,1,0,0,Red,E
662,03-Jun-17,10:10:40,1,0,0,Red,E
663,03-Jun-17,10:10:40,1,0,0,Red,E
664,03-Jun-17,10:10:41,1,0,0,Red,E
665,03-Jun-17,10:10:41,1,0,0,Red,E
666,03-Jun-17,10:10:41,1,0,0,Red,E
667,03-Jun-17,10:10:41,1,0,0,Red,E
668,03-Jun-17,10:10:42,1,0,0,Red,E
669,03-Jun-17,10:10:42,1,0,0,Red,E
670,03-Jun-17,10:10:42,1,0,0,Red,E
671,03-Jun-17,10:10:42,1,0,0,Red,E
672,03-Jun-17,10:10:43,1,0,0,Red,E
673,03-Jun-17,10:10:43,1,0,0,Red,E
674,03-Jun-17,10:10:43,1,0,0,Red,E
675,03-Jun-17,10:10:43,1,0,0,Red,E
676,03-Jun-17,10:10:43,1,0,0,Red,E
677,03-Jun-17,10:10:43,1,0,0,Red,E
678,03-Jun-17,10:10:43,1,0,0,Red,E
679,03-Jun-17,10:10:44,1,0,0,Red,E
680,03-Jun-17,10:10:44,1,0,0,Red,E
681,03-Jun-17,10:10:44,1,0,0,Red,E
682,03-Jun-17,10:10:44,1,0,0,Red,E
683,03-Jun-17,10:10:45,1,0,0,Red,E
684,03-Jun-17,10:10:45,1,0,0,Red,E
685,03-Jun-17,10:10:45,1,0,0,Red,E
686,03-Jun-17,10:10:45,1,0,0,Red,E
687,03-Jun-17,10:10:45,1,0,0,Red,E
688,03-Jun-17,10:10:46,1,0,0,Red,E
689,03-Jun-17,10:10:46,1,0,0,Red,E
690,03-Jun-17,10:10:46,1,0,0,Red,E
691,03-Jun-17,10:10:46,1,0,0,Red,E
692,03-Jun-17,10:10:46,1,0,0,Red,E
693,03-Jun-17,10:10:47,1,0,0,Red,E
694,03-Jun-17,10:10:47,1,0,0,Red,E
695,03-Jun-17,10:10:47,1,0,0,Red,E
696,03-Jun-17,10:10:47,1,0,0,Red,E
697,03-Jun-17,10:10:48,1,0,0,Red,E
698,03-Jun-17,10:10:48,1,0,0,Red,E
699,03-Jun-17,10:10:48,1,0,0,Red,E
700,03-Jun-17,10:10:48,1,0,0,Red,E
701,03-Jun-17,10:10:48,1,0,0,Red,E
702,03-Jun-17,10:10:48,1,0,0,Red,E
703,03-Jun-17,10:10:48,1,0,0,Red,E
704,03-Jun-17,10:10:49,1,0,0,Red,E
705,03-Jun-17,10:10:49,1,0,0,Red,E
706,03-Jun-17,10:10:49,1,0,0,Red,E
707,03-Jun-17,10:10:49,1,0,0,Red,E
708,03-Jun-17,10:10:50,1,0,0,Red,E
709,03-Jun-17,10:10:50,1,0,0,Red,E
710,03-Jun-17,10:10:50,1,0,0,Red,E
711,03-Jun-17,10:10:50,1,0,0,Red,E
712,03-Jun-17,10:10:50,1,0,0,Red,E
713,03-Jun-17,10:10:51,1,0,0,Red,E
714,03-Jun-17,10:10:51,1,0,0,Red,E
715,03-Jun-17,10:10:51,1,0,0,Red,E
716,03-Jun-17,10:10:51,1,0,0,Red,E
717,03-Jun-17,10:10:52,1,0,0,Red,E
718,03-Jun-17,10:10:52,1,0,0,Red,E
719,03-Jun-17,10:10:52,1,0,0,Red,E
720,03-Jun-17,10:10:52,1,0,0,Red,E
721,03-Jun-17,10:10:52,1,0,0,Red,E
722,03-Jun-17,10:10:52,1,0,0,Red,E
723,03-Jun-17,10:10:52,1,0,0,Red,E
724,03-Jun-17,10:10:53,1,0,0,Red,E
725,03-Jun-17,10:10:53,1,0,0,Red,E
726,03-Jun-17,10:10:53,1,0,0,Red,E
727,03-Jun-17,10:10:53,1,0,0,Red,E
728,03-Jun-17,10:10:54,1,0,0,Red,E
729,03-Jun-17,10:10:54,1,0,0,Red,E
730,03-Jun-17,10:10:54,1,0,0,Red,E
731,03-Jun-17,10:10:54,1,0,0,Red,E
732,03-Jun-17,10:10:54,1,0,0,Red,E
733,03-Jun-17,10:10:55,1,0,0,Red,E
734,03-Jun-17,10:10:55,1,0,0,Red,E
735,03-Jun-17,10:10:55,1,0,0,Red,E
736,03-Jun-17,10:10:55,1,0,0,Red,E
737,03-Jun-17,10:10:56,1,0,0,Red,E
738,03-Jun-17,10:10:56,1,0,0,Red,E
739,03-Jun-17,10:10:56,1,0,0,Red,E
740,03-Jun-17,10:10:56,1,0,0,Red,E
741,03-Jun-17,10:10:56,1,0,0,Red,E
742,03-Jun-17,10:10:57,1,0,0,Red,E
743,03-Jun-17,10:10:57,1,0,0,Red,E
744,03-Jun-17,10:10:57,1,0,0,Red,E
745,03-Jun-17,10:10:57,1,0,0,Red,E
746,03-Jun-17,10:10:57,1,0,0,Red,E
747,03-Jun-17,10:10:57,1,0,0,Red,E
748,03-Jun-17,10:10:57,1,0,0,Red,E
749,03-Jun-17,10:10:58,1,0,0,Red,E
750,03-Jun-17,10:10:58,1,0,0,Red,E
751,03-Jun-17,10:10:58,1,0,0,Red,E
752,03-Jun-17,10:10:58,1,0,0,Red,E
753,03-Jun-17,10:10:59,1,0,0,Red,E
754,03-Jun-17,10:10:59,1,0,0,Red,E
755,03-Jun-17,10:10:59,1,0,0,Red,E
756,03-Jun-17,10:10:59,1,0,0,Red,E
757,03-Jun-17,10:11:00,1,0,0,Red,E
758,03-Jun-17,10:11:00,1,0,0,Red,E
759,03-Jun-17,10:11:00,1,0,0,Red,E
760,03-Jun-17,10:11:00,1,0,0,Red,E
761,03-Jun-17,10:11:00,1,0,0,Red,E
762,03-Jun-17,10:11:00,1,0,0,Red,E
763,03-Jun-17,10:11:00,1,0,0,Red,E
764,03-Jun-17,10:11:01,1,0,0,Red,E
765,03-Jun-17,10:11:01,1,0,0,Red,E
766,03-Jun-17,10:11:01,1,0,0,Red,E
767,03-Jun-17,10:11:01,1,0,0,Red,E
768,03-Jun-17,10:11:02,1,0,0,Red,E
769,03-Jun-17,10:11:02,1,0,0,Red,E
770,03-Jun-17,10:11:02,1,0,0,Red,E
771,03-Jun-17,10:11:02,1,0,0,Red,E
772,03-Jun-17,10:11:03,1,0,0,Red,E
773,03-Jun-17,10:11:03,1,0,0,Red,E
774,03-Jun-17,10:11:03,1,0,0,Red,E
775,03-Jun-17,10:11:03,1,0,0,Red,E
776,03-Jun-17,10:11:03,1,0,0,Red,E
777,03-Jun-17,10:11:03,1,0,0,Red,E
778,03-Jun-17,10:11:03,1,0,0,Red,E
779,03-Jun-17,10:11:04,1,0,0,Red,E
780,03-Jun-17,10:11:04,1,0,0,Red,E
781,03-Jun-17,10:11:04,1,0,0,Red,E
782,03-Jun-17,10:11:04,1,0,0,Red,E
783,03-Jun-17,10:11:05,1,0,0,Red,E
784,03-Jun-17,10:11:05,1,0,0,Red,E
785,03-Jun-17,10:11:05,1,0,0,Red,E
786,03-Jun-17,10:11:05,1,0,0,Red,E
787,03-Jun-17,10:11:05,1,0,0,Red,E
788,03-Jun-17,10:11:06,1,0,0,Red,E
789,03-Jun-17,10:11:06,1,0,0,Red,E
790,03-Jun-17,10:11:06,1,0,0,Red,E
791,03-Jun-17,10:11:06,1,0,0,Red,E
792,03-Jun-17,10:11:06,1,0,0,Red,E
793,03-Jun-17,10:11:06,1,0,0,Red,E
794,03-Jun-17,10:11:07,1,0,0,Red,E
795,03-Jun-17,10:11:07,1,0,0,Red,E
796,03-Jun-17,10:11:07,1,0,0,Red,E
797,03-Jun-17,10:11:07,1,0,0,Red,E
798,03-Jun-17,10:11:07,1,0,0,Red,E
799,03-Jun-17,10:11:08,1,0,0,Red,E
800,03-Jun-17,10:11:08,1,0,0,Red,E
801,03-Jun-17,10:11:08,1,0,0,Red,E
802,03-Jun-17,10:11:08,1,0,0,Red,E
803,03-Jun-17,10:11:09,1,0,0,Red,E
804,03-Jun-17,10:11:09,1,0,0,Red,E
805,03-Jun-17,10:11:09,1,0,0,Red,E
806,03-Jun-17,10:11:09,1,0,0,Red,E
807,03-Jun-17,10:11:09,1,0,0,Red,E
808,03-Jun-17,10:11:10,1,0,0,Red,E
809,03-Jun-17,10:11:10,1,0,0,Red,E
810,03-Jun-17,10:11:10,1,0,0,Red,E
811,03-Jun-17,10:11:10,1,0,0,Red,E
812,03-Jun-17,10:11:11,1,0,0,Red,E
813,03-Jun-17,10:11:11,1,0,0,Red,E
814,03-Jun-17,10:11:11,1,0,0,Red,E
815,03-Jun-17,10:11:11,1,0,0,Red,E
816,03-Jun-17,10:11:11,1,0,0,Red,E
817,03-Jun-17,10:11:11,1,0,0,Red,E
818,03-Jun-17,10:11:12,1,0,0,Red,E
819,03-Jun-17,10:11:12,1,0,0,Red,E
820,03-Jun-17,10:11:12,1,0,0,Red,E
821,03-Jun-17,10:11:12,1,0,0,Red,E
822,03-Jun-17,10:11:12,1,0,0,Red,E
823,03-Jun-17,10:11:13,1,0,0,Red,E
824,03-Jun-17,10:11:13,1,0,0,Red,E
825,03-Jun-17,10:11:13,1,0,0,Red,E
826,03-Jun-17,10:11:13,1,0,0,Red,E
827,03-Jun-17,10:11:13,1,0,0,Red,E
828,03-Jun-17,10:11:14,1,0,0,Red,E
829,03-Jun-17,10:11:14,1,0,0,Red,E
830,03-Jun-17,10:11:14,1,0,0,Red,E
831,03-Jun-17,10:11:14,1,0,0,Red,E
832,03-Jun-17,10:11:15,1,0,0,Red,E
833,03-Jun-17,10:11:15,1,0,0,Red,E
834,03-Jun-17,10:11:15,1,0,0,Red,E
835,03-Jun-17,10:11:15,1,0,0,Red,E
836,03-Jun-17,10:11:15,1,0,0,Red,E
837,03-Jun-17,10:11:15,1,0,0,Red,E
838,03-Jun-17,10:11:15,1,0,0,Red,E
839,03-Jun-17,10:11:16,1,0,0,Red,E
840,03-Jun-17,10:11:16,1,0,0,Red,E
841,03-Jun-17,10:11:16,1,0,0,Red,E
842,03-Jun-17,10:11:16,1,0,0,Red,E
843,03-Jun-17,10:11:17,1,0,0,Red,E
844,03-Jun-17,10:11:17,1,0,0,Red,E
845,03-Jun-17,10:11:17,1,0,0,Red,E
846,03-Jun-17,10:11:17,1,0,0,Red,E
847,03-Jun-17,10:11:17,1,0,0,Red,E
