,Date,Time,Aspect 0 of Phase F  State,Aspect 1 of Phase F  State,Aspect 2 of Phase F  State,Result,Phase
131,03-Jun-17,10:08:54,1,1,0,RedAmber,F
132,03-Jun-17,10:08:55,1,1,0,RedAmber,F
133,03-Jun-17,10:08:55,1,1,0,RedAmber,F
134,03-Jun-17,10:08:55,1,1,0,RedAmber,F
135,03-Jun-17,10:08:55,1,1,0,RedAmber,F
136,03-Jun-17,10:08:55,1,1,0,RedAmber,F
137,03-Jun-17,10:08:55,1,1,0,RedAmber,F
138,03-Jun-17,10:08:55,1,1,0,RedAmber,F
139,03-Jun-17,10:08:56,1,1,0,RedAmber,F
140,03-Jun-17,10:08:56,1,1,0,RedAmber,F
141,03-Jun-17,10:08:56,1,1,0,RedAmber,F
142,03-Jun-17,10:08:56,1,1,0,RedAmber,F
143,03-Jun-17,10:08:57,1,1,0,RedAmber,F
144,03-Jun-17,10:08:57,1,1,0,RedAmber,F
145,03-Jun-17,10:08:57,1,1,0,RedAmber,F
146,03-Jun-17,10:08:57,1,1,0,RedAmber,F
147,03-Jun-17,10:08:57,1,1,0,RedAmber,F
148,03-Jun-17,10:08:58,1,1,0,RedAmber,F
149,03-Jun-17,10:08:58,1,1,0,RedAmber,F
150,03-Jun-17,10:08:58,1,1,0,RedAmber,F
151,03-Jun-17,10:08:58,1,1,0,RedAmber,F
152,03-Jun-17,10:08:59,1,1,0,RedAmber,F
153,03-Jun-17,10:08:59,1,1,0,RedAmber,F
154,03-Jun-17,10:08:59,1,1,0,RedAmber,F
155,03-Jun-17,10:08:59,1,1,0,RedAmber,F
156,03-Jun-17,10:08:59,1,1,0,RedAmber,F
157,03-Jun-17,10:08:59,1,1,0,RedAmber,F
158,03-Jun-17,10:08:59,1,1,0,RedAmber,F
159,03-Jun-17,10:09:00,1,1,0,RedAmber,F
160,03-Jun-17,10:09:00,1,1,0,RedAmber,F
161,03-Jun-17,10:09:00,1,1,0,RedAmber,F
162,03-Jun-17,10:09:00,1,1,0,RedAmber,F
163,03-Jun-17,10:09:01,1,1,0,RedAmber,F
164,03-Jun-17,10:09:01,1,1,0,RedAmber,F
165,03-Jun-17,10:09:01,1,1,0,RedAmber,F
166,03-Jun-17,10:09:01,1,1,0,RedAmber,F
167,03-Jun-17,10:09:01,1,1,0,RedAmber,F
168,03-Jun-17,10:09:02,1,1,0,RedAmber,F
169,03-Jun-17,10:09:02,1,1,0,RedAmber,F
170,03-Jun-17,10:09:02,1,1,0,RedAmber,F
171,03-Jun-17,10:09:02,1,1,0,RedAmber,F
172,03-Jun-17,10:09:03,1,1,0,RedAmber,F
173,03-Jun-17,10:09:03,1,1,0,RedAmber,F
174,03-Jun-17,10:09:03,1,1,0,RedAmber,F
175,03-Jun-17,10:09:03,1,1,0,RedAmber,F
176,03-Jun-17,10:09:03,1,1,0,RedAmber,F
177,03-Jun-17,10:09:03,1,1,0,RedAmber,F
178,03-Jun-17,10:09:03,1,1,0,RedAmber,F
179,03-Jun-17,10:09:04,1,1,0,RedAmber,F
180,03-Jun-17,10:09:04,1,1,0,RedAmber,F
181,03-Jun-17,10:09:04,1,1,0,RedAmber,F
182,03-Jun-17,10:09:04,1,1,0,RedAmber,F
183,03-Jun-17,10:09:04,1,1,0,RedAmber,F
184,03-Jun-17,10:09:05,1,1,0,RedAmber,F
185,03-Jun-17,10:09:05,1,1,0,RedAmber,F
186,03-Jun-17,10:09:05,1,1,0,RedAmber,F
187,03-Jun-17,10:09:05,1,1,0,RedAmber,F
188,03-Jun-17,10:09:06,1,1,0,RedAmber,F
189,03-Jun-17,10:09:06,1,1,0,RedAmber,F
190,03-Jun-17,10:09:06,1,1,0,RedAmber,F
191,03-Jun-17,10:09:06,1,1,0,RedAmber,F
192,03-Jun-17,10:09:06,1,1,0,RedAmber,F
193,03-Jun-17,10:09:06,1,1,0,RedAmber,F
194,03-Jun-17,10:09:07,1,1,0,RedAmber,F
195,03-Jun-17,10:09:07,1,1,0,RedAmber,F
196,03-Jun-17,10:09:07,1,1,0,RedAmber,F
197,03-Jun-17,10:09:07,1,1,0,RedAmber,F
198,03-Jun-17,10:09:08,1,1,0,RedAmber,F
199,03-Jun-17,10:09:08,1,1,0,RedAmber,F
200,03-Jun-17,10:09:08,1,1,0,RedAmber,F
201,03-Jun-17,10:09:08,1,1,0,RedAmber,F
202,03-Jun-17,10:09:08,1,1,0,RedAmber,F
203,03-Jun-17,10:09:09,1,1,0,RedAmber,F
204,03-Jun-17,10:09:09,1,1,0,RedAmber,F
205,03-Jun-17,10:09:09,1,1,0,RedAmber,F
206,03-Jun-17,10:09:09,1,1,0,RedAmber,F
207,03-Jun-17,10:09:09,1,1,0,RedAmber,F
208,03-Jun-17,10:09:09,1,1,0,RedAmber,F
209,03-Jun-17,10:09:10,1,1,0,RedAmber,F
210,03-Jun-17,10:09:10,1,1,0,RedAmber,F
211,03-Jun-17,10:09:10,1,1,0,RedAmber,F
212,03-Jun-17,10:09:10,1,1,0,RedAmber,F
213,03-Jun-17,10:09:10,1,1,0,RedAmber,F
214,03-Jun-17,10:09:11,1,1,0,RedAmber,F
215,03-Jun-17,10:09:11,1,1,0,RedAmber,F
216,03-Jun-17,10:09:11,1,1,0,RedAmber,F
217,03-Jun-17,10:09:11,1,1,0,RedAmber,F
218,03-Jun-17,10:09:12,1,1,0,RedAmber,F
219,03-Jun-17,10:09:12,1,1,0,RedAmber,F
220,03-Jun-17,10:09:12,1,1,0,RedAmber,F
221,03-Jun-17,10:09:12,1,1,0,RedAmber,F
222,03-Jun-17,10:09:12,1,1,0,RedAmber,F
223,03-Jun-17,10:09:13,1,1,0,RedAmber,F
224,03-Jun-17,10:09:13,1,1,0,RedAmber,F
