,Date,Time,Aspect 0 of Phase I  State,Aspect 1 of Phase I  State,Aspect 2 of Phase I  State,Result,Phase
563,03-Jun-17,10:10:21,1,0,0,Red,I
564,03-Jun-17,10:10:21,1,0,0,Red,I
565,03-Jun-17,10:10:21,1,0,0,Red,I
566,03-Jun-17,10:10:21,1,0,0,Red,I
567,03-Jun-17,10:10:21,1,0,0,Red,I
568,03-Jun-17,10:10:22,1,0,0,Red,I
569,03-Jun-17,10:10:22,1,0,0,Red,I
570,03-Jun-17,10:10:22,1,0,0,Red,I
571,03-Jun-17,10:10:22,1,0,0,Red,I
572,03-Jun-17,10:10:23,1,0,0,Red,I
573,03-Jun-17,10:10:23,1,0,0,Red,I
574,03-Jun-17,10:10:23,1,0,0,Red,I
575,03-Jun-17,10:10:23,1,0,0,Red,I
576,03-Jun-17,10:10:23,1,0,0,Red,I
577,03-Jun-17,10:10:23,1,0,0,Red,I
578,03-Jun-17,10:10:24,1,0,0,Red,I
579,03-Jun-17,10:10:24,1,0,0,Red,I
580,03-Jun-17,10:10:24,1,0,0,Red,I
581,03-Jun-17,10:10:24,1,0,0,Red,I
582,03-Jun-17,10:10:24,1,0,0,Red,I
583,03-Jun-17,10:10:25,1,0,0,Red,I
584,03-Jun-17,10:10:25,1,0,0,Red,I
585,03-Jun-17,10:10:25,1,0,0,Red,I
586,03-Jun-17,10:10:25,1,0,0,Red,I
587,03-Jun-17,10:10:25,1,0,0,Red,I
588,03-Jun-17,10:10:26,1,0,0,Red,I
589,03-Jun-17,10:10:26,1,0,0,Red,I
590,03-Jun-17,10:10:26,1,0,0,Red,I
591,03-Jun-17,10:10:26,1,0,0,Red,I
592,03-Jun-17,10:10:27,1,0,0,Red,I
593,03-Jun-17,10:10:27,1,0,0,Red,I
594,03-Jun-17,10:10:27,1,0,0,Red,I
595,03-Jun-17,10:10:27,1,0,0,Red,I
596,03-Jun-17,10:10:27,1,0,0,Red,I
597,03-Jun-17,10:10:27,1,0,0,Red,I
598,03-Jun-17,10:10:27,1,0,0,Red,I
599,03-Jun-17,10:10:28,1,0,0,Red,I
600,03-Jun-17,10:10:28,1,0,0,Red,I
601,03-Jun-17,10:10:28,1,0,0,Red,I
602,03-Jun-17,10:10:28,1,0,0,Red,I
603,03-Jun-17,10:10:28,1,0,0,Red,I
604,03-Jun-17,10:10:29,1,0,0,Red,I
605,03-Jun-17,10:10:29,1,0,0,Red,I
606,03-Jun-17,10:10:29,1,0,0,Red,I
607,03-Jun-17,10:10:29,1,0,0,Red,I
608,03-Jun-17,10:10:30,1,0,0,Red,I
609,03-Jun-17,10:10:30,1,0,0,Red,I
610,03-Jun-17,10:10:30,1,0,0,Red,I
611,03-Jun-17,10:10:30,1,0,0,Red,I
612,03-Jun-17,10:10:30,1,0,0,Red,I
613,03-Jun-17,10:10:31,1,0,0,Red,I
614,03-Jun-17,10:10:31,1,0,0,Red,I
615,03-Jun-17,10:10:31,1,0,0,Red,I
