,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
2286,03-Jun-17,10:16:05,0,1,0,Amber,D
2287,03-Jun-17,10:16:05,0,1,0,Amber,D
2288,03-Jun-17,10:16:05,0,1,0,Amber,D
2289,03-Jun-17,10:16:06,0,1,0,Amber,D
2290,03-Jun-17,10:16:06,0,1,0,Amber,D
2291,03-Jun-17,10:16:06,0,1,0,Amber,D
2292,03-Jun-17,10:16:06,0,1,0,Amber,D
2293,03-Jun-17,10:16:07,0,1,0,Amber,D
2294,03-Jun-17,10:16:07,0,1,0,Amber,D
2295,03-Jun-17,10:16:07,0,1,0,Amber,D
2296,03-Jun-17,10:16:07,0,1,0,Amber,D
2582,03-Jun-17,10:17:04,0,1,0,Amber,D
2583,03-Jun-17,10:17:05,0,1,0,Amber,D
2584,03-Jun-17,10:17:05,0,1,0,Amber,D
2585,03-Jun-17,10:17:05,0,1,0,Amber,D
2586,03-Jun-17,10:17:05,0,1,0,Amber,D
2587,03-Jun-17,10:17:06,0,1,0,Amber,D
2588,03-Jun-17,10:17:06,0,1,0,Amber,D
2589,03-Jun-17,10:17:06,0,1,0,Amber,D
2590,03-Jun-17,10:17:06,0,1,0,Amber,D
2591,03-Jun-17,10:17:06,0,1,0,Amber,D
2592,03-Jun-17,10:17:06,0,1,0,Amber,D
2593,03-Jun-17,10:17:07,0,1,0,Amber,D
2594,03-Jun-17,10:17:07,0,1,0,Amber,D
2595,03-Jun-17,10:17:07,0,1,0,Amber,D
2596,03-Jun-17,10:17:07,0,1,0,Amber,D
2882,03-Jun-17,10:18:05,0,1,0,Amber,D
2883,03-Jun-17,10:18:05,0,1,0,Amber,D
2884,03-Jun-17,10:18:05,0,1,0,Amber,D
2885,03-Jun-17,10:18:05,0,1,0,Amber,D
2886,03-Jun-17,10:18:05,0,1,0,Amber,D
2887,03-Jun-17,10:18:06,0,1,0,Amber,D
2888,03-Jun-17,10:18:06,0,1,0,Amber,D
2889,03-Jun-17,10:18:06,0,1,0,Amber,D
2890,03-Jun-17,10:18:06,0,1,0,Amber,D
2891,03-Jun-17,10:18:06,0,1,0,Amber,D
2892,03-Jun-17,10:18:06,0,1,0,Amber,D
2893,03-Jun-17,10:18:07,0,1,0,Amber,D
2894,03-Jun-17,10:18:07,0,1,0,Amber,D
2895,03-Jun-17,10:18:07,0,1,0,Amber,D
2896,03-Jun-17,10:18:07,0,1,0,Amber,D
3182,03-Jun-17,10:19:04,0,1,0,Amber,D
3183,03-Jun-17,10:19:05,0,1,0,Amber,D
3184,03-Jun-17,10:19:05,0,1,0,Amber,D
3185,03-Jun-17,10:19:05,0,1,0,Amber,D
3186,03-Jun-17,10:19:05,0,1,0,Amber,D
3187,03-Jun-17,10:19:05,0,1,0,Amber,D
3188,03-Jun-17,10:19:05,0,1,0,Amber,D
3189,03-Jun-17,10:19:06,0,1,0,Amber,D
3190,03-Jun-17,10:19:06,0,1,0,Amber,D
3191,03-Jun-17,10:19:06,0,1,0,Amber,D
3192,03-Jun-17,10:19:06,0,1,0,Amber,D
3193,03-Jun-17,10:19:07,0,1,0,Amber,D
3194,03-Jun-17,10:19:07,0,1,0,Amber,D
3195,03-Jun-17,10:19:07,0,1,0,Amber,D
3196,03-Jun-17,10:19:07,0,1,0,Amber,D
3482,03-Jun-17,10:20:04,0,1,0,Amber,D
3483,03-Jun-17,10:20:04,0,1,0,Amber,D
3484,03-Jun-17,10:20:05,0,1,0,Amber,D
3485,03-Jun-17,10:20:05,0,1,0,Amber,D
3486,03-Jun-17,10:20:05,0,1,0,Amber,D
3487,03-Jun-17,10:20:05,0,1,0,Amber,D
3488,03-Jun-17,10:20:06,0,1,0,Amber,D
3489,03-Jun-17,10:20:06,0,1,0,Amber,D
3490,03-Jun-17,10:20:06,0,1,0,Amber,D
3491,03-Jun-17,10:20:06,0,1,0,Amber,D
3492,03-Jun-17,10:20:06,0,1,0,Amber,D
3493,03-Jun-17,10:20:07,0,1,0,Amber,D
3494,03-Jun-17,10:20:07,0,1,0,Amber,D
3495,03-Jun-17,10:20:07,0,1,0,Amber,D
3496,03-Jun-17,10:20:07,0,1,0,Amber,D
3782,03-Jun-17,10:21:05,0,1,0,Amber,D
3783,03-Jun-17,10:21:05,0,1,0,Amber,D
3784,03-Jun-17,10:21:05,0,1,0,Amber,D
3785,03-Jun-17,10:21:05,0,1,0,Amber,D
3786,03-Jun-17,10:21:05,0,1,0,Amber,D
3787,03-Jun-17,10:21:06,0,1,0,Amber,D
3788,03-Jun-17,10:21:06,0,1,0,Amber,D
3789,03-Jun-17,10:21:06,0,1,0,Amber,D
3790,03-Jun-17,10:21:06,0,1,0,Amber,D
3791,03-Jun-17,10:21:06,0,1,0,Amber,D
3792,03-Jun-17,10:21:06,0,1,0,Amber,D
3793,03-Jun-17,10:21:07,0,1,0,Amber,D
3794,03-Jun-17,10:21:07,0,1,0,Amber,D
3795,03-Jun-17,10:21:07,0,1,0,Amber,D
3796,03-Jun-17,10:21:07,0,1,0,Amber,D
4082,03-Jun-17,10:22:04,0,1,0,Amber,D
4083,03-Jun-17,10:22:05,0,1,0,Amber,D
4084,03-Jun-17,10:22:05,0,1,0,Amber,D
4085,03-Jun-17,10:22:05,0,1,0,Amber,D
4086,03-Jun-17,10:22:05,0,1,0,Amber,D
4087,03-Jun-17,10:22:05,0,1,0,Amber,D
4088,03-Jun-17,10:22:06,0,1,0,Amber,D
4089,03-Jun-17,10:22:06,0,1,0,Amber,D
4090,03-Jun-17,10:22:06,0,1,0,Amber,D
4091,03-Jun-17,10:22:06,0,1,0,Amber,D
4092,03-Jun-17,10:22:07,0,1,0,Amber,D
