,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
548,03-Jun-17,10:10:18,1,0,0,Red,H
549,03-Jun-17,10:10:18,1,0,0,Red,H
550,03-Jun-17,10:10:18,1,0,0,Red,H
551,03-Jun-17,10:10:18,1,0,0,Red,H
552,03-Jun-17,10:10:19,1,0,0,Red,H
553,03-Jun-17,10:10:19,1,0,0,Red,H
554,03-Jun-17,10:10:19,1,0,0,Red,H
555,03-Jun-17,10:10:19,1,0,0,Red,H
556,03-Jun-17,10:10:19,1,0,0,Red,H
557,03-Jun-17,10:10:19,1,0,0,Red,H
558,03-Jun-17,10:10:19,1,0,0,Red,H
559,03-Jun-17,10:10:20,1,0,0,Red,H
560,03-Jun-17,10:10:20,1,0,0,Red,H
561,03-Jun-17,10:10:20,1,0,0,Red,H
562,03-Jun-17,10:10:20,1,0,0,Red,H
563,03-Jun-17,10:10:21,1,0,0,Red,H
564,03-Jun-17,10:10:21,1,0,0,Red,H
565,03-Jun-17,10:10:21,1,0,0,Red,H
566,03-Jun-17,10:10:21,1,0,0,Red,H
567,03-Jun-17,10:10:21,1,0,0,Red,H
568,03-Jun-17,10:10:22,1,0,0,Red,H
569,03-Jun-17,10:10:22,1,0,0,Red,H
570,03-Jun-17,10:10:22,1,0,0,Red,H
571,03-Jun-17,10:10:22,1,0,0,Red,H
572,03-Jun-17,10:10:23,1,0,0,Red,H
573,03-Jun-17,10:10:23,1,0,0,Red,H
574,03-Jun-17,10:10:23,1,0,0,Red,H
575,03-Jun-17,10:10:23,1,0,0,Red,H
576,03-Jun-17,10:10:23,1,0,0,Red,H
577,03-Jun-17,10:10:23,1,0,0,Red,H
578,03-Jun-17,10:10:24,1,0,0,Red,H
579,03-Jun-17,10:10:24,1,0,0,Red,H
580,03-Jun-17,10:10:24,1,0,0,Red,H
581,03-Jun-17,10:10:24,1,0,0,Red,H
582,03-Jun-17,10:10:24,1,0,0,Red,H
583,03-Jun-17,10:10:25,1,0,0,Red,H
584,03-Jun-17,10:10:25,1,0,0,Red,H
585,03-Jun-17,10:10:25,1,0,0,Red,H
586,03-Jun-17,10:10:25,1,0,0,Red,H
