,Date,Time,Aspect 0 of Phase E  State,Aspect 1 of Phase E  State,Aspect 2 of Phase E  State,Result,Phase
548,24-Jun-17,16:51:23,1,0,0,Red,E
549,24-Jun-17,16:51:23,1,0,0,Red,E
550,24-Jun-17,16:51:23,1,0,0,Red,E
551,24-Jun-17,16:51:23,1,0,0,Red,E
552,24-Jun-17,16:51:24,1,0,0,Red,E
553,24-Jun-17,16:51:24,1,0,0,Red,E
554,24-Jun-17,16:51:24,1,0,0,Red,E
555,24-Jun-17,16:51:24,1,0,0,Red,E
556,24-Jun-17,16:51:24,1,0,0,Red,E
557,24-Jun-17,16:51:24,1,0,0,Red,E
558,24-Jun-17,16:51:25,1,0,0,Red,E
559,24-Jun-17,16:51:25,1,0,0,Red,E
560,24-Jun-17,16:51:25,1,0,0,Red,E
561,24-Jun-17,16:51:25,1,0,0,Red,E
562,24-Jun-17,16:51:25,1,0,0,Red,E
563,24-Jun-17,16:51:26,1,0,0,Red,E
564,24-Jun-17,16:51:26,1,0,0,Red,E
565,24-Jun-17,16:51:26,1,0,0,Red,E
566,24-Jun-17,16:51:26,1,0,0,Red,E
567,24-Jun-17,16:51:27,1,0,0,Red,E
568,24-Jun-17,16:51:27,1,0,0,Red,E
569,24-Jun-17,16:51:27,1,0,0,Red,E
570,24-Jun-17,16:51:27,1,0,0,Red,E
571,24-Jun-17,16:51:28,1,0,0,Red,E
572,24-Jun-17,16:51:28,1,0,0,Red,E
573,24-Jun-17,16:51:28,1,0,0,Red,E
574,24-Jun-17,16:51:28,1,0,0,Red,E
575,24-Jun-17,16:51:28,1,0,0,Red,E
576,24-Jun-17,16:51:28,1,0,0,Red,E
577,24-Jun-17,16:51:28,1,0,0,Red,E
578,24-Jun-17,16:51:29,1,0,0,Red,E
579,24-Jun-17,16:51:29,1,0,0,Red,E
580,24-Jun-17,16:51:29,1,0,0,Red,E
581,24-Jun-17,16:51:29,1,0,0,Red,E
582,24-Jun-17,16:51:30,1,0,0,Red,E
583,24-Jun-17,16:51:30,1,0,0,Red,E
584,24-Jun-17,16:51:30,1,0,0,Red,E
585,24-Jun-17,16:51:30,1,0,0,Red,E
586,24-Jun-17,16:51:30,1,0,0,Red,E
587,24-Jun-17,16:51:31,1,0,0,Red,E
588,24-Jun-17,16:51:31,1,0,0,Red,E
589,24-Jun-17,16:51:31,1,0,0,Red,E
590,24-Jun-17,16:51:31,1,0,0,Red,E
591,24-Jun-17,16:51:31,1,0,0,Red,E
592,24-Jun-17,16:51:31,1,0,0,Red,E
593,24-Jun-17,16:51:32,1,0,0,Red,E
594,24-Jun-17,16:51:32,1,0,0,Red,E
595,24-Jun-17,16:51:32,1,0,0,Red,E
596,24-Jun-17,16:51:32,1,0,0,Red,E
597,24-Jun-17,16:51:32,1,0,0,Red,E
598,24-Jun-17,16:51:33,1,0,0,Red,E
599,24-Jun-17,16:51:33,1,0,0,Red,E
600,24-Jun-17,16:51:33,1,0,0,Red,E
601,24-Jun-17,16:51:33,1,0,0,Red,E
602,24-Jun-17,16:51:34,1,0,0,Red,E
603,24-Jun-17,16:51:34,1,0,0,Red,E
604,24-Jun-17,16:51:34,1,0,0,Red,E
605,24-Jun-17,16:51:34,1,0,0,Red,E
606,24-Jun-17,16:51:34,1,0,0,Red,E
607,24-Jun-17,16:51:35,1,0,0,Red,E
608,24-Jun-17,16:51:35,1,0,0,Red,E
609,24-Jun-17,16:51:35,1,0,0,Red,E
610,24-Jun-17,16:51:35,1,0,0,Red,E
611,24-Jun-17,16:51:36,1,0,0,Red,E
612,24-Jun-17,16:51:36,1,0,0,Red,E
613,24-Jun-17,16:51:36,1,0,0,Red,E
614,24-Jun-17,16:51:36,1,0,0,Red,E
615,24-Jun-17,16:51:36,1,0,0,Red,E
616,24-Jun-17,16:51:36,1,0,0,Red,E
617,24-Jun-17,16:51:36,1,0,0,Red,E
618,24-Jun-17,16:51:37,1,0,0,Red,E
619,24-Jun-17,16:51:37,1,0,0,Red,E
620,24-Jun-17,16:51:37,1,0,0,Red,E
621,24-Jun-17,16:51:37,1,0,0,Red,E
622,24-Jun-17,16:51:37,1,0,0,Red,E
623,24-Jun-17,16:51:38,1,0,0,Red,E
624,24-Jun-17,16:51:38,1,0,0,Red,E
625,24-Jun-17,16:51:38,1,0,0,Red,E
626,24-Jun-17,16:51:38,1,0,0,Red,E
627,24-Jun-17,16:51:39,1,0,0,Red,E
628,24-Jun-17,16:51:39,1,0,0,Red,E
629,24-Jun-17,16:51:39,1,0,0,Red,E
630,24-Jun-17,16:51:39,1,0,0,Red,E
631,24-Jun-17,16:51:40,1,0,0,Red,E
632,24-Jun-17,16:51:40,1,0,0,Red,E
633,24-Jun-17,16:51:40,1,0,0,Red,E
634,24-Jun-17,16:51:40,1,0,0,Red,E
635,24-Jun-17,16:51:40,1,0,0,Red,E
636,24-Jun-17,16:51:40,1,0,0,Red,E
637,24-Jun-17,16:51:40,1,0,0,Red,E
638,24-Jun-17,16:51:41,1,0,0,Red,E
639,24-Jun-17,16:51:41,1,0,0,Red,E
640,24-Jun-17,16:51:41,1,0,0,Red,E
641,24-Jun-17,16:51:41,1,0,0,Red,E
642,24-Jun-17,16:51:42,1,0,0,Red,E
643,24-Jun-17,16:51:42,1,0,0,Red,E
