,Date,Time,Aspect 0 of Phase H  State,Aspect 1 of Phase H  State,Aspect 2 of Phase H  State,Result,Phase
552,03-Jun-17,10:10:19,1,0,0,0,H
553,03-Jun-17,10:10:19,1,0,0,0,H
554,03-Jun-17,10:10:19,1,0,0,0,H
555,03-Jun-17,10:10:19,1,0,0,0,H
556,03-Jun-17,10:10:19,1,0,0,0,H
557,03-Jun-17,10:10:19,1,0,0,0,H
558,03-Jun-17,10:10:19,1,0,0,0,H
559,03-Jun-17,10:10:20,1,0,0,0,H
560,03-Jun-17,10:10:20,1,0,0,0,H
561,03-Jun-17,10:10:20,1,0,0,0,H
562,03-Jun-17,10:10:20,1,0,0,0,H
563,03-Jun-17,10:10:21,1,0,0,0,H
564,03-Jun-17,10:10:21,1,0,0,0,H
565,03-Jun-17,10:10:21,1,0,0,0,H
566,03-Jun-17,10:10:21,1,0,0,0,H
567,03-Jun-17,10:10:21,1,0,0,0,H
568,03-Jun-17,10:10:22,1,0,0,0,H
569,03-Jun-17,10:10:22,1,0,0,0,H
570,03-Jun-17,10:10:22,1,0,0,0,H
571,03-Jun-17,10:10:22,1,0,0,0,H
572,03-Jun-17,10:10:23,1,0,0,0,H
573,03-Jun-17,10:10:23,1,0,0,0,H
574,03-Jun-17,10:10:23,1,0,0,0,H
575,03-Jun-17,10:10:23,1,0,0,0,H
576,03-Jun-17,10:10:23,1,0,0,0,H
577,03-Jun-17,10:10:23,1,0,0,0,H
578,03-Jun-17,10:10:24,1,0,0,0,H
579,03-Jun-17,10:10:24,1,0,0,0,H
580,03-Jun-17,10:10:24,1,0,0,0,H
581,03-Jun-17,10:10:24,1,0,0,0,H
582,03-Jun-17,10:10:24,1,0,0,0,H
583,03-Jun-17,10:10:25,1,0,0,0,H
584,03-Jun-17,10:10:25,1,0,0,0,H
585,03-Jun-17,10:10:25,1,0,0,0,H
586,03-Jun-17,10:10:25,1,0,0,0,H
587,03-Jun-17,10:10:25,1,0,0,0,H
588,03-Jun-17,10:10:26,1,0,0,0,H
589,03-Jun-17,10:10:26,1,0,0,0,H
