,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
3809,03-Jun-17,10:21:10,1,1,0,1,A
3810,03-Jun-17,10:21:10,1,1,0,1,A
3811,03-Jun-17,10:21:10,1,1,0,1,A
4102,03-Jun-17,10:22:08,1,1,0,1,A
4103,03-Jun-17,10:22:09,1,1,0,1,A
4104,03-Jun-17,10:22:09,1,1,0,1,A
4105,03-Jun-17,10:22:09,1,1,0,1,A
4106,03-Jun-17,10:22:09,1,1,0,1,A
4107,03-Jun-17,10:22:09,1,1,0,1,A
4108,03-Jun-17,10:22:10,1,1,0,1,A
4109,03-Jun-17,10:22:10,1,1,0,1,A
4110,03-Jun-17,10:22:10,1,1,0,1,A
4111,03-Jun-17,10:22:10,1,1,0,1,A
4402,03-Jun-17,10:23:08,1,1,0,1,A
4403,03-Jun-17,10:23:09,1,1,0,1,A
4404,03-Jun-17,10:23:09,1,1,0,1,A
4405,03-Jun-17,10:23:09,1,1,0,1,A
4406,03-Jun-17,10:23:09,1,1,0,1,A
4407,03-Jun-17,10:23:10,1,1,0,1,A
4408,03-Jun-17,10:23:10,1,1,0,1,A
4409,03-Jun-17,10:23:10,1,1,0,1,A
4410,03-Jun-17,10:23:10,1,1,0,1,A
4411,03-Jun-17,10:23:10,1,1,0,1,A
4702,03-Jun-17,10:24:09,1,1,0,1,A
4703,03-Jun-17,10:24:09,1,1,0,1,A
4704,03-Jun-17,10:24:09,1,1,0,1,A
4705,03-Jun-17,10:24:09,1,1,0,1,A
4706,03-Jun-17,10:24:10,1,1,0,1,A
4707,03-Jun-17,10:24:10,1,1,0,1,A
4708,03-Jun-17,10:24:10,1,1,0,1,A
4709,03-Jun-17,10:24:10,1,1,0,1,A
4710,03-Jun-17,10:24:10,1,1,0,1,A
4711,03-Jun-17,10:24:10,1,1,0,1,A
5002,03-Jun-17,10:25:08,1,1,0,1,A
5003,03-Jun-17,10:25:09,1,1,0,1,A
5004,03-Jun-17,10:25:09,1,1,0,1,A
5005,03-Jun-17,10:25:09,1,1,0,1,A
5006,03-Jun-17,10:25:09,1,1,0,1,A
5007,03-Jun-17,10:25:10,1,1,0,1,A
5008,03-Jun-17,10:25:10,1,1,0,1,A
5009,03-Jun-17,10:25:10,1,1,0,1,A
5010,03-Jun-17,10:25:10,1,1,0,1,A
5011,03-Jun-17,10:25:10,1,1,0,1,A
5302,03-Jun-17,10:26:08,1,1,0,1,A
5303,03-Jun-17,10:26:09,1,1,0,1,A
5304,03-Jun-17,10:26:09,1,1,0,1,A
5305,03-Jun-17,10:26:09,1,1,0,1,A
5306,03-Jun-17,10:26:09,1,1,0,1,A
5307,03-Jun-17,10:26:10,1,1,0,1,A
5308,03-Jun-17,10:26:10,1,1,0,1,A
5309,03-Jun-17,10:26:10,1,1,0,1,A
5310,03-Jun-17,10:26:10,1,1,0,1,A
5311,03-Jun-17,10:26:10,1,1,0,1,A
5602,03-Jun-17,10:27:09,1,1,0,1,A
5603,03-Jun-17,10:27:09,1,1,0,1,A
5604,03-Jun-17,10:27:09,1,1,0,1,A
5605,03-Jun-17,10:27:09,1,1,0,1,A
5606,03-Jun-17,10:27:09,1,1,0,1,A
5607,03-Jun-17,10:27:09,1,1,0,1,A
5608,03-Jun-17,10:27:09,1,1,0,1,A
5609,03-Jun-17,10:27:10,1,1,0,1,A
5610,03-Jun-17,10:27:10,1,1,0,1,A
5611,03-Jun-17,10:27:10,1,1,0,1,A
5902,03-Jun-17,10:28:08,1,1,0,1,A
5903,03-Jun-17,10:28:08,1,1,0,1,A
5904,03-Jun-17,10:28:09,1,1,0,1,A
5905,03-Jun-17,10:28:09,1,1,0,1,A
5906,03-Jun-17,10:28:09,1,1,0,1,A
5907,03-Jun-17,10:28:09,1,1,0,1,A
5908,03-Jun-17,10:28:09,1,1,0,1,A
5909,03-Jun-17,10:28:10,1,1,0,1,A
5910,03-Jun-17,10:28:10,1,1,0,1,A
5911,03-Jun-17,10:28:10,1,1,0,1,A
6202,03-Jun-17,10:29:08,1,1,0,1,A
6203,03-Jun-17,10:29:08,1,1,0,1,A
6204,03-Jun-17,10:29:09,1,1,0,1,A
6205,03-Jun-17,10:29:09,1,1,0,1,A
6206,03-Jun-17,10:29:09,1,1,0,1,A
6207,03-Jun-17,10:29:09,1,1,0,1,A
6208,03-Jun-17,10:29:10,1,1,0,1,A
6209,03-Jun-17,10:29:10,1,1,0,1,A
6210,03-Jun-17,10:29:10,1,1,0,1,A
6211,03-Jun-17,10:29:10,1,1,0,1,A
6502,03-Jun-17,10:30:08,1,1,0,1,A
6503,03-Jun-17,10:30:09,1,1,0,1,A
6504,03-Jun-17,10:30:09,1,1,0,1,A
6505,03-Jun-17,10:30:09,1,1,0,1,A
6506,03-Jun-17,10:30:09,1,1,0,1,A
6507,03-Jun-17,10:30:09,1,1,0,1,A
6508,03-Jun-17,10:30:10,1,1,0,1,A
6509,03-Jun-17,10:30:10,1,1,0,1,A
6510,03-Jun-17,10:30:10,1,1,0,1,A
6511,03-Jun-17,10:30:10,1,1,0,1,A
6802,03-Jun-17,10:31:09,1,1,0,1,A
6803,03-Jun-17,10:31:09,1,1,0,1,A
6804,03-Jun-17,10:31:09,1,1,0,1,A
6805,03-Jun-17,10:31:09,1,1,0,1,A
6806,03-Jun-17,10:31:09,1,1,0,1,A
6807,03-Jun-17,10:31:09,1,1,0,1,A
6808,03-Jun-17,10:31:09,1,1,0,1,A
6809,03-Jun-17,10:31:10,1,1,0,1,A
6810,03-Jun-17,10:31:10,1,1,0,1,A
6811,03-Jun-17,10:31:10,1,1,0,1,A
7102,03-Jun-17,10:32:08,1,1,0,1,A
7103,03-Jun-17,10:32:09,1,1,0,1,A
7104,03-Jun-17,10:32:09,1,1,0,1,A
7105,03-Jun-17,10:32:09,1,1,0,1,A
7106,03-Jun-17,10:32:09,1,1,0,1,A
7107,03-Jun-17,10:32:09,1,1,0,1,A
7108,03-Jun-17,10:32:10,1,1,0,1,A
7109,03-Jun-17,10:32:10,1,1,0,1,A
7110,03-Jun-17,10:32:11,1,1,0,1,A
7111,03-Jun-17,10:32:11,1,1,0,1,A
7402,03-Jun-17,10:33:08,1,1,0,1,A
7403,03-Jun-17,10:33:08,1,1,0,1,A
7404,03-Jun-17,10:33:09,1,1,0,1,A
7405,03-Jun-17,10:33:09,1,1,0,1,A
7406,03-Jun-17,10:33:09,1,1,0,1,A
7407,03-Jun-17,10:33:09,1,1,0,1,A
7408,03-Jun-17,10:33:09,1,1,0,1,A
7409,03-Jun-17,10:33:10,1,1,0,1,A
7410,03-Jun-17,10:33:10,1,1,0,1,A
7411,03-Jun-17,10:33:10,1,1,0,1,A
7702,03-Jun-17,10:34:08,1,1,0,1,A
7703,03-Jun-17,10:34:09,1,1,0,1,A
7704,03-Jun-17,10:34:09,1,1,0,1,A
7705,03-Jun-17,10:34:09,1,1,0,1,A
7706,03-Jun-17,10:34:09,1,1,0,1,A
7707,03-Jun-17,10:34:09,1,1,0,1,A
7708,03-Jun-17,10:34:10,1,1,0,1,A
7709,03-Jun-17,10:34:10,1,1,0,1,A
7710,03-Jun-17,10:34:10,1,1,0,1,A
7711,03-Jun-17,10:34:10,1,1,0,1,A
8002,03-Jun-17,10:35:08,1,1,0,1,A
8003,03-Jun-17,10:35:09,1,1,0,1,A
8004,03-Jun-17,10:35:09,1,1,0,1,A
8005,03-Jun-17,10:35:09,1,1,0,1,A
8006,03-Jun-17,10:35:09,1,1,0,1,A
8007,03-Jun-17,10:35:10,1,1,0,1,A
8008,03-Jun-17,10:35:10,1,1,0,1,A
8009,03-Jun-17,10:35:11,1,1,0,1,A
8010,03-Jun-17,10:35:11,1,1,0,1,A
8011,03-Jun-17,10:35:11,1,1,0,1,A
8302,03-Jun-17,10:36:09,1,1,0,1,A
8303,03-Jun-17,10:36:09,1,1,0,1,A
8304,03-Jun-17,10:36:09,1,1,0,1,A
8305,03-Jun-17,10:36:09,1,1,0,1,A
8306,03-Jun-17,10:36:09,1,1,0,1,A
8307,03-Jun-17,10:36:09,1,1,0,1,A
8308,03-Jun-17,10:36:09,1,1,0,1,A
8309,03-Jun-17,10:36:10,1,1,0,1,A
8310,03-Jun-17,10:36:10,1,1,0,1,A
8311,03-Jun-17,10:36:10,1,1,0,1,A
8602,03-Jun-17,10:37:08,1,1,0,1,A
8603,03-Jun-17,10:37:09,1,1,0,1,A
8604,03-Jun-17,10:37:09,1,1,0,1,A
8605,03-Jun-17,10:37:09,1,1,0,1,A
8606,03-Jun-17,10:37:09,1,1,0,1,A
8607,03-Jun-17,10:37:09,1,1,0,1,A
8608,03-Jun-17,10:37:10,1,1,0,1,A
8609,03-Jun-17,10:37:10,1,1,0,1,A
8610,03-Jun-17,10:37:10,1,1,0,1,A
8611,03-Jun-17,10:37:10,1,1,0,1,A
8902,03-Jun-17,10:38:08,1,1,0,1,A
8903,03-Jun-17,10:38:08,1,1,0,1,A
8904,03-Jun-17,10:38:09,1,1,0,1,A
8905,03-Jun-17,10:38:09,1,1,0,1,A
8906,03-Jun-17,10:38:09,1,1,0,1,A
8907,03-Jun-17,10:38:09,1,1,0,1,A
8908,03-Jun-17,10:38:10,1,1,0,1,A
8909,03-Jun-17,10:38:10,1,1,0,1,A
8910,03-Jun-17,10:38:10,1,1,0,1,A
8911,03-Jun-17,10:38:10,1,1,0,1,A
9202,03-Jun-17,10:39:09,1,1,0,1,A
9203,03-Jun-17,10:39:09,1,1,0,1,A
9204,03-Jun-17,10:39:09,1,1,0,1,A
9205,03-Jun-17,10:39:09,1,1,0,1,A
9206,03-Jun-17,10:39:09,1,1,0,1,A
9207,03-Jun-17,10:39:10,1,1,0,1,A
9208,03-Jun-17,10:39:10,1,1,0,1,A
9209,03-Jun-17,10:39:10,1,1,0,1,A
9210,03-Jun-17,10:39:10,1,1,0,1,A
9211,03-Jun-17,10:39:10,1,1,0,1,A
