,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
3428,24-Jun-17,17:00:59,1,1,0,RedAmber,C
3429,24-Jun-17,17:00:59,1,1,0,RedAmber,C
3430,24-Jun-17,17:00:59,1,1,0,RedAmber,C
3431,24-Jun-17,17:00:59,1,1,0,RedAmber,C
3432,24-Jun-17,17:00:59,1,1,0,RedAmber,C
3433,24-Jun-17,17:01:00,1,1,0,RedAmber,C
3434,24-Jun-17,17:01:00,1,1,0,RedAmber,C
3435,24-Jun-17,17:01:00,1,1,0,RedAmber,C
3436,24-Jun-17,17:01:00,1,1,0,RedAmber,C
3727,24-Jun-17,17:01:58,1,1,0,RedAmber,C
3728,24-Jun-17,17:01:59,1,1,0,RedAmber,C
3729,24-Jun-17,17:01:59,1,1,0,RedAmber,C
3730,24-Jun-17,17:01:59,1,1,0,RedAmber,C
3731,24-Jun-17,17:01:59,1,1,0,RedAmber,C
3732,24-Jun-17,17:02:00,1,1,0,RedAmber,C
3733,24-Jun-17,17:02:00,1,1,0,RedAmber,C
3734,24-Jun-17,17:02:00,1,1,0,RedAmber,C
3735,24-Jun-17,17:02:00,1,1,0,RedAmber,C
3736,24-Jun-17,17:02:00,1,1,0,RedAmber,C
4027,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4028,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4029,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4030,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4031,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4032,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4033,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4034,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4035,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4036,24-Jun-17,17:18:00,1,1,0,RedAmber,C
4327,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4328,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4329,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4330,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4331,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4332,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4333,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4334,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4335,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4336,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4627,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4628,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4629,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4630,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4631,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4632,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4633,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4634,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4635,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4636,24-Jun-17,17:18:01,1,1,0,RedAmber,C
4927,24-Jun-17,17:18:02,1,1,0,RedAmber,C
4928,24-Jun-17,17:18:02,1,1,0,RedAmber,C
4929,24-Jun-17,17:18:02,1,1,0,RedAmber,C
4930,24-Jun-17,17:18:02,1,1,0,RedAmber,C
