,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
92,24-Jun-17,16:49:51,0,0,1,Green,B
93,24-Jun-17,16:49:51,0,0,1,Green,B
94,24-Jun-17,16:49:52,0,0,1,Green,B
95,24-Jun-17,16:49:52,0,0,1,Green,B
96,24-Jun-17,16:49:52,0,0,1,Green,B
97,24-Jun-17,16:49:52,0,0,1,Green,B
98,24-Jun-17,16:49:53,0,0,1,Green,B
99,24-Jun-17,16:49:53,0,0,1,Green,B
100,24-Jun-17,16:49:53,0,0,1,Green,B
101,24-Jun-17,16:49:53,0,0,1,Green,B
102,24-Jun-17,16:49:53,0,0,1,Green,B
103,24-Jun-17,16:49:54,0,0,1,Green,B
104,24-Jun-17,16:49:54,0,0,1,Green,B
105,24-Jun-17,16:49:54,0,0,1,Green,B
106,24-Jun-17,16:49:54,0,0,1,Green,B
107,24-Jun-17,16:49:54,0,0,1,Green,B
108,24-Jun-17,16:49:54,0,0,1,Green,B
109,24-Jun-17,16:49:55,0,0,1,Green,B
110,24-Jun-17,16:49:55,0,0,1,Green,B
111,24-Jun-17,16:49:55,0,0,1,Green,B
112,24-Jun-17,16:49:55,0,0,1,Green,B
113,24-Jun-17,16:49:55,0,0,1,Green,B
114,24-Jun-17,16:49:56,0,0,1,Green,B
115,24-Jun-17,16:49:56,0,0,1,Green,B
116,24-Jun-17,16:49:56,0,0,1,Green,B
117,24-Jun-17,16:49:56,0,0,1,Green,B
118,24-Jun-17,16:49:57,0,0,1,Green,B
119,24-Jun-17,16:49:57,0,0,1,Green,B
120,24-Jun-17,16:49:57,0,0,1,Green,B
121,24-Jun-17,16:49:57,0,0,1,Green,B
122,24-Jun-17,16:49:57,0,0,1,Green,B
123,24-Jun-17,16:49:57,0,0,1,Green,B
124,24-Jun-17,16:49:58,0,0,1,Green,B
125,24-Jun-17,16:49:58,0,0,1,Green,B
126,24-Jun-17,16:49:58,0,0,1,Green,B
127,24-Jun-17,16:49:58,0,0,1,Green,B
128,24-Jun-17,16:49:58,0,0,1,Green,B
129,24-Jun-17,16:49:59,0,0,1,Green,B
130,24-Jun-17,16:49:59,0,0,1,Green,B
131,24-Jun-17,16:49:59,0,0,1,Green,B
132,24-Jun-17,16:49:59,0,0,1,Green,B
133,24-Jun-17,16:50:00,0,0,1,Green,B
134,24-Jun-17,16:50:00,0,0,1,Green,B
135,24-Jun-17,16:50:00,0,0,1,Green,B
136,24-Jun-17,16:50:00,0,0,1,Green,B
137,24-Jun-17,16:50:01,0,0,1,Green,B
138,24-Jun-17,16:50:01,0,0,1,Green,B
139,24-Jun-17,16:50:01,0,0,1,Green,B
140,24-Jun-17,16:50:01,0,0,1,Green,B
141,24-Jun-17,16:50:01,0,0,1,Green,B
142,24-Jun-17,16:50:01,0,0,1,Green,B
143,24-Jun-17,16:50:01,0,0,1,Green,B
144,24-Jun-17,16:50:02,0,0,1,Green,B
145,24-Jun-17,16:50:02,0,0,1,Green,B
146,24-Jun-17,16:50:02,0,0,1,Green,B
147,24-Jun-17,16:50:02,0,0,1,Green,B
148,24-Jun-17,16:50:02,0,0,1,Green,B
149,24-Jun-17,16:50:03,0,0,1,Green,B
150,24-Jun-17,16:50:03,0,0,1,Green,B
151,24-Jun-17,16:50:03,0,0,1,Green,B
152,24-Jun-17,16:50:03,0,0,1,Green,B
153,24-Jun-17,16:50:04,0,0,1,Green,B
154,24-Jun-17,16:50:04,0,0,1,Green,B
155,24-Jun-17,16:50:04,0,0,1,Green,B
156,24-Jun-17,16:50:04,0,0,1,Green,B
157,24-Jun-17,16:50:04,0,0,1,Green,B
158,24-Jun-17,16:50:04,0,0,1,Green,B
159,24-Jun-17,16:50:05,0,0,1,Green,B
160,24-Jun-17,16:50:05,0,0,1,Green,B
161,24-Jun-17,16:50:05,0,0,1,Green,B
162,24-Jun-17,16:50:05,0,0,1,Green,B
163,24-Jun-17,16:50:05,0,0,1,Green,B
164,24-Jun-17,16:50:06,0,0,1,Green,B
165,24-Jun-17,16:50:06,0,0,1,Green,B
166,24-Jun-17,16:50:06,0,0,1,Green,B
167,24-Jun-17,16:50:06,0,0,1,Green,B
168,24-Jun-17,16:50:07,0,0,1,Green,B
169,24-Jun-17,16:50:07,0,0,1,Green,B
170,24-Jun-17,16:50:07,0,0,1,Green,B
171,24-Jun-17,16:50:07,0,0,1,Green,B
172,24-Jun-17,16:50:07,0,0,1,Green,B
173,24-Jun-17,16:50:08,0,0,1,Green,B
174,24-Jun-17,16:50:08,0,0,1,Green,B
175,24-Jun-17,16:50:08,0,0,1,Green,B
176,24-Jun-17,16:50:08,0,0,1,Green,B
177,24-Jun-17,16:50:08,0,0,1,Green,B
178,24-Jun-17,16:50:08,0,0,1,Green,B
179,24-Jun-17,16:50:09,0,0,1,Green,B
180,24-Jun-17,16:50:09,0,0,1,Green,B
181,24-Jun-17,16:50:09,0,0,1,Green,B
182,24-Jun-17,16:50:09,0,0,1,Green,B
183,24-Jun-17,16:50:09,0,0,1,Green,B
184,24-Jun-17,16:50:10,0,0,1,Green,B
185,24-Jun-17,16:50:10,0,0,1,Green,B
186,24-Jun-17,16:50:10,0,0,1,Green,B
187,24-Jun-17,16:50:10,0,0,1,Green,B
188,24-Jun-17,16:50:11,0,0,1,Green,B
189,24-Jun-17,16:50:11,0,0,1,Green,B
190,24-Jun-17,16:50:11,0,0,1,Green,B
191,24-Jun-17,16:50:11,0,0,1,Green,B
192,24-Jun-17,16:50:11,0,0,1,Green,B
193,24-Jun-17,16:50:12,0,0,1,Green,B
194,24-Jun-17,16:50:12,0,0,1,Green,B
195,24-Jun-17,16:50:12,0,0,1,Green,B
196,24-Jun-17,16:50:12,0,0,1,Green,B
197,24-Jun-17,16:50:12,0,0,1,Green,B
198,24-Jun-17,16:50:12,0,0,1,Green,B
199,24-Jun-17,16:50:13,0,0,1,Green,B
200,24-Jun-17,16:50:13,0,0,1,Green,B
201,24-Jun-17,16:50:13,0,0,1,Green,B
202,24-Jun-17,16:50:13,0,0,1,Green,B
203,24-Jun-17,16:50:13,0,0,1,Green,B
204,24-Jun-17,16:50:14,0,0,1,Green,B
205,24-Jun-17,16:50:14,0,0,1,Green,B
206,24-Jun-17,16:50:14,0,0,1,Green,B
207,24-Jun-17,16:50:14,0,0,1,Green,B
