,Date,Time,Aspect 0 of Phase F  State,Aspect 1 of Phase F  State,Aspect 2 of Phase F  State,Result,Phase
131,24-Jun-17,16:49:59,1,1,0,RedAmber,F
132,24-Jun-17,16:49:59,1,1,0,RedAmber,F
133,24-Jun-17,16:50:00,1,1,0,RedAmber,F
134,24-Jun-17,16:50:00,1,1,0,RedAmber,F
135,24-Jun-17,16:50:00,1,1,0,RedAmber,F
136,24-Jun-17,16:50:00,1,1,0,RedAmber,F
137,24-Jun-17,16:50:01,1,1,0,RedAmber,F
138,24-Jun-17,16:50:01,1,1,0,RedAmber,F
139,24-Jun-17,16:50:01,1,1,0,RedAmber,F
140,24-Jun-17,16:50:01,1,1,0,RedAmber,F
141,24-Jun-17,16:50:01,1,1,0,RedAmber,F
142,24-Jun-17,16:50:01,1,1,0,RedAmber,F
143,24-Jun-17,16:50:01,1,1,0,RedAmber,F
144,24-Jun-17,16:50:02,1,1,0,RedAmber,F
145,24-Jun-17,16:50:02,1,1,0,RedAmber,F
146,24-Jun-17,16:50:02,1,1,0,RedAmber,F
147,24-Jun-17,16:50:02,1,1,0,RedAmber,F
148,24-Jun-17,16:50:02,1,1,0,RedAmber,F
149,24-Jun-17,16:50:03,1,1,0,RedAmber,F
150,24-Jun-17,16:50:03,1,1,0,RedAmber,F
151,24-Jun-17,16:50:03,1,1,0,RedAmber,F
152,24-Jun-17,16:50:03,1,1,0,RedAmber,F
153,24-Jun-17,16:50:04,1,1,0,RedAmber,F
154,24-Jun-17,16:50:04,1,1,0,RedAmber,F
155,24-Jun-17,16:50:04,1,1,0,RedAmber,F
156,24-Jun-17,16:50:04,1,1,0,RedAmber,F
157,24-Jun-17,16:50:04,1,1,0,RedAmber,F
158,24-Jun-17,16:50:04,1,1,0,RedAmber,F
159,24-Jun-17,16:50:05,1,1,0,RedAmber,F
160,24-Jun-17,16:50:05,1,1,0,RedAmber,F
161,24-Jun-17,16:50:05,1,1,0,RedAmber,F
162,24-Jun-17,16:50:05,1,1,0,RedAmber,F
163,24-Jun-17,16:50:05,1,1,0,RedAmber,F
164,24-Jun-17,16:50:06,1,1,0,RedAmber,F
165,24-Jun-17,16:50:06,1,1,0,RedAmber,F
166,24-Jun-17,16:50:06,1,1,0,RedAmber,F
167,24-Jun-17,16:50:06,1,1,0,RedAmber,F
168,24-Jun-17,16:50:07,1,1,0,RedAmber,F
169,24-Jun-17,16:50:07,1,1,0,RedAmber,F
170,24-Jun-17,16:50:07,1,1,0,RedAmber,F
171,24-Jun-17,16:50:07,1,1,0,RedAmber,F
172,24-Jun-17,16:50:07,1,1,0,RedAmber,F
173,24-Jun-17,16:50:08,1,1,0,RedAmber,F
174,24-Jun-17,16:50:08,1,1,0,RedAmber,F
175,24-Jun-17,16:50:08,1,1,0,RedAmber,F
176,24-Jun-17,16:50:08,1,1,0,RedAmber,F
177,24-Jun-17,16:50:08,1,1,0,RedAmber,F
178,24-Jun-17,16:50:08,1,1,0,RedAmber,F
179,24-Jun-17,16:50:09,1,1,0,RedAmber,F
180,24-Jun-17,16:50:09,1,1,0,RedAmber,F
181,24-Jun-17,16:50:09,1,1,0,RedAmber,F
182,24-Jun-17,16:50:09,1,1,0,RedAmber,F
183,24-Jun-17,16:50:09,1,1,0,RedAmber,F
184,24-Jun-17,16:50:10,1,1,0,RedAmber,F
185,24-Jun-17,16:50:10,1,1,0,RedAmber,F
186,24-Jun-17,16:50:10,1,1,0,RedAmber,F
187,24-Jun-17,16:50:10,1,1,0,RedAmber,F
188,24-Jun-17,16:50:11,1,1,0,RedAmber,F
189,24-Jun-17,16:50:11,1,1,0,RedAmber,F
190,24-Jun-17,16:50:11,1,1,0,RedAmber,F
191,24-Jun-17,16:50:11,1,1,0,RedAmber,F
192,24-Jun-17,16:50:11,1,1,0,RedAmber,F
193,24-Jun-17,16:50:12,1,1,0,RedAmber,F
194,24-Jun-17,16:50:12,1,1,0,RedAmber,F
195,24-Jun-17,16:50:12,1,1,0,RedAmber,F
196,24-Jun-17,16:50:12,1,1,0,RedAmber,F
197,24-Jun-17,16:50:12,1,1,0,RedAmber,F
198,24-Jun-17,16:50:12,1,1,0,RedAmber,F
199,24-Jun-17,16:50:13,1,1,0,RedAmber,F
200,24-Jun-17,16:50:13,1,1,0,RedAmber,F
201,24-Jun-17,16:50:13,1,1,0,RedAmber,F
202,24-Jun-17,16:50:13,1,1,0,RedAmber,F
203,24-Jun-17,16:50:13,1,1,0,RedAmber,F
204,24-Jun-17,16:50:14,1,1,0,RedAmber,F
205,24-Jun-17,16:50:14,1,1,0,RedAmber,F
206,24-Jun-17,16:50:14,1,1,0,RedAmber,F
207,24-Jun-17,16:50:14,1,1,0,RedAmber,F
208,24-Jun-17,16:50:15,1,1,0,RedAmber,F
209,24-Jun-17,16:50:15,1,1,0,RedAmber,F
210,24-Jun-17,16:50:15,1,1,0,RedAmber,F
211,24-Jun-17,16:50:15,1,1,0,RedAmber,F
212,24-Jun-17,16:50:16,1,1,0,RedAmber,F
213,24-Jun-17,16:50:16,1,1,0,RedAmber,F
214,24-Jun-17,16:50:16,1,1,0,RedAmber,F
215,24-Jun-17,16:50:16,1,1,0,RedAmber,F
216,24-Jun-17,16:50:16,1,1,0,RedAmber,F
217,24-Jun-17,16:50:16,1,1,0,RedAmber,F
218,24-Jun-17,16:50:16,1,1,0,RedAmber,F
219,24-Jun-17,16:50:17,1,1,0,RedAmber,F
220,24-Jun-17,16:50:17,1,1,0,RedAmber,F
221,24-Jun-17,16:50:17,1,1,0,RedAmber,F
222,24-Jun-17,16:50:17,1,1,0,RedAmber,F
223,24-Jun-17,16:50:17,1,1,0,RedAmber,F
224,24-Jun-17,16:50:18,1,1,0,RedAmber,F
225,24-Jun-17,16:50:18,1,1,0,RedAmber,F
226,24-Jun-17,16:50:18,1,1,0,RedAmber,F
227,24-Jun-17,16:50:18,1,1,0,RedAmber,F
228,24-Jun-17,16:50:19,1,1,0,RedAmber,F
229,24-Jun-17,16:50:19,1,1,0,RedAmber,F
230,24-Jun-17,16:50:19,1,1,0,RedAmber,F
231,24-Jun-17,16:50:19,1,1,0,RedAmber,F
232,24-Jun-17,16:50:20,1,1,0,RedAmber,F
233,24-Jun-17,16:50:20,1,1,0,RedAmber,F
234,24-Jun-17,16:50:20,1,1,0,RedAmber,F
235,24-Jun-17,16:50:20,1,1,0,RedAmber,F
236,24-Jun-17,16:50:20,1,1,0,RedAmber,F
237,24-Jun-17,16:50:20,1,1,0,RedAmber,F
238,24-Jun-17,16:50:20,1,1,0,RedAmber,F
239,24-Jun-17,16:50:21,1,1,0,RedAmber,F
240,24-Jun-17,16:50:21,1,1,0,RedAmber,F
241,24-Jun-17,16:50:21,1,1,0,RedAmber,F
242,24-Jun-17,16:50:21,1,1,0,RedAmber,F
243,24-Jun-17,16:50:22,1,1,0,RedAmber,F
244,24-Jun-17,16:50:22,1,1,0,RedAmber,F
245,24-Jun-17,16:50:22,1,1,0,RedAmber,F
246,24-Jun-17,16:50:22,1,1,0,RedAmber,F
247,24-Jun-17,16:50:22,1,1,0,RedAmber,F
248,24-Jun-17,16:50:23,1,1,0,RedAmber,F
249,24-Jun-17,16:50:23,1,1,0,RedAmber,F
250,24-Jun-17,16:50:23,1,1,0,RedAmber,F
251,24-Jun-17,16:50:23,1,1,0,RedAmber,F
252,24-Jun-17,16:50:23,1,1,0,RedAmber,F
253,24-Jun-17,16:50:23,1,1,0,RedAmber,F
254,24-Jun-17,16:50:24,1,1,0,RedAmber,F
255,24-Jun-17,16:50:24,1,1,0,RedAmber,F
256,24-Jun-17,16:50:24,1,1,0,RedAmber,F
257,24-Jun-17,16:50:24,1,1,0,RedAmber,F
258,24-Jun-17,16:50:24,1,1,0,RedAmber,F
259,24-Jun-17,16:50:25,1,1,0,RedAmber,F
260,24-Jun-17,16:50:25,1,1,0,RedAmber,F
261,24-Jun-17,16:50:25,1,1,0,RedAmber,F
262,24-Jun-17,16:50:25,1,1,0,RedAmber,F
263,24-Jun-17,16:50:26,1,1,0,RedAmber,F
264,24-Jun-17,16:50:26,1,1,0,RedAmber,F
265,24-Jun-17,16:50:26,1,1,0,RedAmber,F
266,24-Jun-17,16:50:26,1,1,0,RedAmber,F
267,24-Jun-17,16:50:26,1,1,0,RedAmber,F
268,24-Jun-17,16:50:27,1,1,0,RedAmber,F
269,24-Jun-17,16:50:27,1,1,0,RedAmber,F
270,24-Jun-17,16:50:27,1,1,0,RedAmber,F
271,24-Jun-17,16:50:27,1,1,0,RedAmber,F
272,24-Jun-17,16:50:27,1,1,0,RedAmber,F
273,24-Jun-17,16:50:27,1,1,0,RedAmber,F
274,24-Jun-17,16:50:28,1,1,0,RedAmber,F
275,24-Jun-17,16:50:28,1,1,0,RedAmber,F
276,24-Jun-17,16:50:28,1,1,0,RedAmber,F
277,24-Jun-17,16:50:28,1,1,0,RedAmber,F
278,24-Jun-17,16:50:28,1,1,0,RedAmber,F
279,24-Jun-17,16:50:29,1,1,0,RedAmber,F
280,24-Jun-17,16:50:29,1,1,0,RedAmber,F
281,24-Jun-17,16:50:29,1,1,0,RedAmber,F
282,24-Jun-17,16:50:29,1,1,0,RedAmber,F
283,24-Jun-17,16:50:30,1,1,0,RedAmber,F
284,24-Jun-17,16:50:30,1,1,0,RedAmber,F
285,24-Jun-17,16:50:30,1,1,0,RedAmber,F
286,24-Jun-17,16:50:30,1,1,0,RedAmber,F
287,24-Jun-17,16:50:30,1,1,0,RedAmber,F
288,24-Jun-17,16:50:31,1,1,0,RedAmber,F
289,24-Jun-17,16:50:31,1,1,0,RedAmber,F
290,24-Jun-17,16:50:31,1,1,0,RedAmber,F
291,24-Jun-17,16:50:31,1,1,0,RedAmber,F
292,24-Jun-17,16:50:31,1,1,0,RedAmber,F
293,24-Jun-17,16:50:31,1,1,0,RedAmber,F
294,24-Jun-17,16:50:32,1,1,0,RedAmber,F
295,24-Jun-17,16:50:32,1,1,0,RedAmber,F
296,24-Jun-17,16:50:32,1,1,0,RedAmber,F
297,24-Jun-17,16:50:32,1,1,0,RedAmber,F
298,24-Jun-17,16:50:32,1,1,0,RedAmber,F
299,24-Jun-17,16:50:33,1,1,0,RedAmber,F
300,24-Jun-17,16:50:33,1,1,0,RedAmber,F
301,24-Jun-17,16:50:33,1,1,0,RedAmber,F
302,24-Jun-17,16:50:33,1,1,0,RedAmber,F
303,24-Jun-17,16:50:34,1,1,0,RedAmber,F
304,24-Jun-17,16:50:34,1,1,0,RedAmber,F
305,24-Jun-17,16:50:34,1,1,0,RedAmber,F
306,24-Jun-17,16:50:34,1,1,0,RedAmber,F
307,24-Jun-17,16:50:34,1,1,0,RedAmber,F
308,24-Jun-17,16:50:35,1,1,0,RedAmber,F
309,24-Jun-17,16:50:35,1,1,0,RedAmber,F
310,24-Jun-17,16:50:35,1,1,0,RedAmber,F
311,24-Jun-17,16:50:35,1,1,0,RedAmber,F
312,24-Jun-17,16:50:35,1,1,0,RedAmber,F
313,24-Jun-17,16:50:35,1,1,0,RedAmber,F
314,24-Jun-17,16:50:36,1,1,0,RedAmber,F
315,24-Jun-17,16:50:36,1,1,0,RedAmber,F
316,24-Jun-17,16:50:36,1,1,0,RedAmber,F
317,24-Jun-17,16:50:36,1,1,0,RedAmber,F
318,24-Jun-17,16:50:36,1,1,0,RedAmber,F
319,24-Jun-17,16:50:37,1,1,0,RedAmber,F
320,24-Jun-17,16:50:37,1,1,0,RedAmber,F
321,24-Jun-17,16:50:37,1,1,0,RedAmber,F
322,24-Jun-17,16:50:37,1,1,0,RedAmber,F
323,24-Jun-17,16:50:38,1,1,0,RedAmber,F
324,24-Jun-17,16:50:38,1,1,0,RedAmber,F
325,24-Jun-17,16:50:38,1,1,0,RedAmber,F
326,24-Jun-17,16:50:38,1,1,0,RedAmber,F
327,24-Jun-17,16:50:38,1,1,0,RedAmber,F
328,24-Jun-17,16:50:39,1,1,0,RedAmber,F
329,24-Jun-17,16:50:39,1,1,0,RedAmber,F
330,24-Jun-17,16:50:39,1,1,0,RedAmber,F
331,24-Jun-17,16:50:39,1,1,0,RedAmber,F
332,24-Jun-17,16:50:39,1,1,0,RedAmber,F
333,24-Jun-17,16:50:40,1,1,0,RedAmber,F
