,Date,Time,Aspect 0 of Phase G  State,Aspect 1 of Phase G  State,Aspect 2 of Phase G  State,Result,Phase
214,03-Jun-17,10:09:11,1,1,0,1,G
215,03-Jun-17,10:09:11,1,1,0,1,G
216,03-Jun-17,10:09:11,1,1,0,1,G
217,03-Jun-17,10:09:11,1,1,0,1,G
218,03-Jun-17,10:09:12,1,1,0,1,G
219,03-Jun-17,10:09:12,1,1,0,1,G
220,03-Jun-17,10:09:12,1,1,0,1,G
221,03-Jun-17,10:09:12,1,1,0,1,G
222,03-Jun-17,10:09:12,1,1,0,1,G
223,03-Jun-17,10:09:13,1,1,0,1,G
224,03-Jun-17,10:09:13,1,1,0,1,G
225,03-Jun-17,10:09:13,1,1,0,1,G
226,03-Jun-17,10:09:13,1,1,0,1,G
227,03-Jun-17,10:09:13,1,1,0,1,G
228,03-Jun-17,10:09:13,1,1,0,1,G
229,03-Jun-17,10:09:14,1,1,0,1,G
230,03-Jun-17,10:09:14,1,1,0,1,G
231,03-Jun-17,10:09:14,1,1,0,1,G
232,03-Jun-17,10:09:14,1,1,0,1,G
233,03-Jun-17,10:09:15,1,1,0,1,G
234,03-Jun-17,10:09:15,1,1,0,1,G
235,03-Jun-17,10:09:15,1,1,0,1,G
236,03-Jun-17,10:09:15,1,1,0,1,G
237,03-Jun-17,10:09:15,1,1,0,1,G
238,03-Jun-17,10:09:16,1,1,0,1,G
239,03-Jun-17,10:09:16,1,1,0,1,G
240,03-Jun-17,10:09:16,1,1,0,1,G
241,03-Jun-17,10:09:16,1,1,0,1,G
242,03-Jun-17,10:09:17,1,1,0,1,G
243,03-Jun-17,10:09:17,1,1,0,1,G
244,03-Jun-17,10:09:17,1,1,0,1,G
245,03-Jun-17,10:09:17,1,1,0,1,G
246,03-Jun-17,10:09:17,1,1,0,1,G
247,03-Jun-17,10:09:17,1,1,0,1,G
248,03-Jun-17,10:09:17,1,1,0,1,G
249,03-Jun-17,10:09:18,1,1,0,1,G
250,03-Jun-17,10:09:18,1,1,0,1,G
251,03-Jun-17,10:09:18,1,1,0,1,G
252,03-Jun-17,10:09:18,1,1,0,1,G
253,03-Jun-17,10:09:19,1,1,0,1,G
254,03-Jun-17,10:09:19,1,1,0,1,G
255,03-Jun-17,10:09:19,1,1,0,1,G
256,03-Jun-17,10:09:19,1,1,0,1,G
257,03-Jun-17,10:09:19,1,1,0,1,G
258,03-Jun-17,10:09:20,1,1,0,1,G
259,03-Jun-17,10:09:20,1,1,0,1,G
260,03-Jun-17,10:09:20,1,1,0,1,G
261,03-Jun-17,10:09:20,1,1,0,1,G
262,03-Jun-17,10:09:21,1,1,0,1,G
263,03-Jun-17,10:09:21,1,1,0,1,G
264,03-Jun-17,10:09:21,1,1,0,1,G
265,03-Jun-17,10:09:21,1,1,0,1,G
266,03-Jun-17,10:09:21,1,1,0,1,G
267,03-Jun-17,10:09:21,1,1,0,1,G
268,03-Jun-17,10:09:21,1,1,0,1,G
269,03-Jun-17,10:09:22,1,1,0,1,G
270,03-Jun-17,10:09:22,1,1,0,1,G
271,03-Jun-17,10:09:22,1,1,0,1,G
272,03-Jun-17,10:09:22,1,1,0,1,G
273,03-Jun-17,10:09:22,1,1,0,1,G
274,03-Jun-17,10:09:23,1,1,0,1,G
275,03-Jun-17,10:09:23,1,1,0,1,G
276,03-Jun-17,10:09:23,1,1,0,1,G
277,03-Jun-17,10:09:23,1,1,0,1,G
278,03-Jun-17,10:09:24,1,1,0,1,G
279,03-Jun-17,10:09:24,1,1,0,1,G
280,03-Jun-17,10:09:24,1,1,0,1,G
281,03-Jun-17,10:09:24,1,1,0,1,G
282,03-Jun-17,10:09:25,1,1,0,1,G
283,03-Jun-17,10:09:25,1,1,0,1,G
284,03-Jun-17,10:09:25,1,1,0,1,G
285,03-Jun-17,10:09:25,1,1,0,1,G
286,03-Jun-17,10:09:25,1,1,0,1,G
287,03-Jun-17,10:09:25,1,1,0,1,G
288,03-Jun-17,10:09:25,1,1,0,1,G
289,03-Jun-17,10:09:26,1,1,0,1,G
290,03-Jun-17,10:09:26,1,1,0,1,G
291,03-Jun-17,10:09:26,1,1,0,1,G
292,03-Jun-17,10:09:26,1,1,0,1,G
293,03-Jun-17,10:09:27,1,1,0,1,G
294,03-Jun-17,10:09:27,1,1,0,1,G
295,03-Jun-17,10:09:27,1,1,0,1,G
296,03-Jun-17,10:09:27,1,1,0,1,G
297,03-Jun-17,10:09:28,1,1,0,1,G
298,03-Jun-17,10:09:28,1,1,0,1,G
299,03-Jun-17,10:09:28,1,1,0,1,G
300,03-Jun-17,10:09:28,1,1,0,1,G
301,03-Jun-17,10:09:28,1,1,0,1,G
302,03-Jun-17,10:09:28,1,1,0,1,G
303,03-Jun-17,10:09:28,1,1,0,1,G
304,03-Jun-17,10:09:29,1,1,0,1,G
305,03-Jun-17,10:09:29,1,1,0,1,G
306,03-Jun-17,10:09:29,1,1,0,1,G
307,03-Jun-17,10:09:29,1,1,0,1,G
308,03-Jun-17,10:09:30,1,1,0,1,G
309,03-Jun-17,10:09:30,1,1,0,1,G
310,03-Jun-17,10:09:30,1,1,0,1,G
311,03-Jun-17,10:09:30,1,1,0,1,G
312,03-Jun-17,10:09:30,1,1,0,1,G
313,03-Jun-17,10:09:31,1,1,0,1,G
314,03-Jun-17,10:09:31,1,1,0,1,G
315,03-Jun-17,10:09:31,1,1,0,1,G
316,03-Jun-17,10:09:31,1,1,0,1,G
317,03-Jun-17,10:09:31,1,1,0,1,G
318,03-Jun-17,10:09:31,1,1,0,1,G
319,03-Jun-17,10:09:32,1,1,0,1,G
320,03-Jun-17,10:09:32,1,1,0,1,G
321,03-Jun-17,10:09:32,1,1,0,1,G
322,03-Jun-17,10:09:32,1,1,0,1,G
323,03-Jun-17,10:09:32,1,1,0,1,G
324,03-Jun-17,10:09:33,1,1,0,1,G
325,03-Jun-17,10:09:33,1,1,0,1,G
326,03-Jun-17,10:09:33,1,1,0,1,G
327,03-Jun-17,10:09:33,1,1,0,1,G
328,03-Jun-17,10:09:34,1,1,0,1,G
329,03-Jun-17,10:09:34,1,1,0,1,G
330,03-Jun-17,10:09:34,1,1,0,1,G
331,03-Jun-17,10:09:34,1,1,0,1,G
332,03-Jun-17,10:09:34,1,1,0,1,G
333,03-Jun-17,10:09:34,1,1,0,1,G
334,03-Jun-17,10:09:35,1,1,0,1,G
335,03-Jun-17,10:09:35,1,1,0,1,G
336,03-Jun-17,10:09:35,1,1,0,1,G
337,03-Jun-17,10:09:35,1,1,0,1,G
338,03-Jun-17,10:09:36,1,1,0,1,G
339,03-Jun-17,10:09:36,1,1,0,1,G
340,03-Jun-17,10:09:36,1,1,0,1,G
341,03-Jun-17,10:09:36,1,1,0,1,G
342,03-Jun-17,10:09:36,1,1,0,1,G
343,03-Jun-17,10:09:37,1,1,0,1,G
344,03-Jun-17,10:09:37,1,1,0,1,G
345,03-Jun-17,10:09:37,1,1,0,1,G
346,03-Jun-17,10:09:37,1,1,0,1,G
347,03-Jun-17,10:09:37,1,1,0,1,G
348,03-Jun-17,10:09:37,1,1,0,1,G
349,03-Jun-17,10:09:38,1,1,0,1,G
350,03-Jun-17,10:09:38,1,1,0,1,G
351,03-Jun-17,10:09:38,1,1,0,1,G
352,03-Jun-17,10:09:38,1,1,0,1,G
353,03-Jun-17,10:09:39,1,1,0,1,G
354,03-Jun-17,10:09:39,1,1,0,1,G
355,03-Jun-17,10:09:39,1,1,0,1,G
356,03-Jun-17,10:09:39,1,1,0,1,G
357,03-Jun-17,10:09:39,1,1,0,1,G
358,03-Jun-17,10:09:40,1,1,0,1,G
359,03-Jun-17,10:09:40,1,1,0,1,G
360,03-Jun-17,10:09:40,1,1,0,1,G
361,03-Jun-17,10:09:40,1,1,0,1,G
362,03-Jun-17,10:09:40,1,1,0,1,G
363,03-Jun-17,10:09:40,1,1,0,1,G
364,03-Jun-17,10:09:41,1,1,0,1,G
365,03-Jun-17,10:09:41,1,1,0,1,G
366,03-Jun-17,10:09:41,1,1,0,1,G
367,03-Jun-17,10:09:41,1,1,0,1,G
368,03-Jun-17,10:09:42,1,1,0,1,G
369,03-Jun-17,10:09:42,1,1,0,1,G
370,03-Jun-17,10:09:42,1,1,0,1,G
371,03-Jun-17,10:09:42,1,1,0,1,G
372,03-Jun-17,10:09:43,1,1,0,1,G
373,03-Jun-17,10:09:43,1,1,0,1,G
