,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
1077,24-Jun-17,16:53:08,0,0,1,Green,D
1078,24-Jun-17,16:53:09,0,0,1,Green,D
1079,24-Jun-17,16:53:09,0,0,1,Green,D
1080,24-Jun-17,16:53:09,0,0,1,Green,D
1081,24-Jun-17,16:53:09,0,0,1,Green,D
1342,24-Jun-17,16:54:01,0,0,1,Green,D
1343,24-Jun-17,16:54:02,0,0,1,Green,D
1344,24-Jun-17,16:54:02,0,0,1,Green,D
1345,24-Jun-17,16:54:02,0,0,1,Green,D
1346,24-Jun-17,16:54:02,0,0,1,Green,D
1347,24-Jun-17,16:54:03,0,0,1,Green,D
1348,24-Jun-17,16:54:03,0,0,1,Green,D
1349,24-Jun-17,16:54:03,0,0,1,Green,D
1350,24-Jun-17,16:54:03,0,0,1,Green,D
1351,24-Jun-17,16:54:03,0,0,1,Green,D
1352,24-Jun-17,16:54:03,0,0,1,Green,D
1353,24-Jun-17,16:54:03,0,0,1,Green,D
1354,24-Jun-17,16:54:04,0,0,1,Green,D
1355,24-Jun-17,16:54:04,0,0,1,Green,D
1356,24-Jun-17,16:54:04,0,0,1,Green,D
1357,24-Jun-17,16:54:04,0,0,1,Green,D
1358,24-Jun-17,16:54:05,0,0,1,Green,D
1359,24-Jun-17,16:54:05,0,0,1,Green,D
1360,24-Jun-17,16:54:05,0,0,1,Green,D
1361,24-Jun-17,16:54:05,0,0,1,Green,D
1362,24-Jun-17,16:54:05,0,0,1,Green,D
1363,24-Jun-17,16:54:06,0,0,1,Green,D
1364,24-Jun-17,16:54:06,0,0,1,Green,D
1365,24-Jun-17,16:54:06,0,0,1,Green,D
1366,24-Jun-17,16:54:06,0,0,1,Green,D
1367,24-Jun-17,16:54:07,0,0,1,Green,D
1368,24-Jun-17,16:54:07,0,0,1,Green,D
1369,24-Jun-17,16:54:07,0,0,1,Green,D
1370,24-Jun-17,16:54:07,0,0,1,Green,D
1371,24-Jun-17,16:54:07,0,0,1,Green,D
1372,24-Jun-17,16:54:07,0,0,1,Green,D
1373,24-Jun-17,16:54:07,0,0,1,Green,D
1374,24-Jun-17,16:54:08,0,0,1,Green,D
1375,24-Jun-17,16:54:08,0,0,1,Green,D
1376,24-Jun-17,16:54:08,0,0,1,Green,D
1377,24-Jun-17,16:54:08,0,0,1,Green,D
1378,24-Jun-17,16:54:09,0,0,1,Green,D
1379,24-Jun-17,16:54:09,0,0,1,Green,D
1380,24-Jun-17,16:54:09,0,0,1,Green,D
1381,24-Jun-17,16:54:09,0,0,1,Green,D
1642,24-Jun-17,16:55:02,0,0,1,Green,D
1643,24-Jun-17,16:55:02,0,0,1,Green,D
1644,24-Jun-17,16:55:02,0,0,1,Green,D
1645,24-Jun-17,16:55:02,0,0,1,Green,D
1646,24-Jun-17,16:55:02,0,0,1,Green,D
1647,24-Jun-17,16:55:02,0,0,1,Green,D
1648,24-Jun-17,16:55:02,0,0,1,Green,D
1649,24-Jun-17,16:55:03,0,0,1,Green,D
1650,24-Jun-17,16:55:03,0,0,1,Green,D
