,Date,Time,Aspect 0 of Phase A  State,Aspect 1 of Phase A  State,Aspect 2 of Phase A  State,Result,Phase
2516,24-Jun-17,16:57:56,0,1,0,Amber,A
2517,24-Jun-17,16:57:56,0,1,0,Amber,A
2518,24-Jun-17,16:57:56,0,1,0,Amber,A
2519,24-Jun-17,16:57:57,0,1,0,Amber,A
2520,24-Jun-17,16:57:57,0,1,0,Amber,A
2521,24-Jun-17,16:57:57,0,1,0,Amber,A
2522,24-Jun-17,16:57:57,0,1,0,Amber,A
2523,24-Jun-17,16:57:57,0,1,0,Amber,A
2524,24-Jun-17,16:57:58,0,1,0,Amber,A
2525,24-Jun-17,16:57:58,0,1,0,Amber,A
2526,24-Jun-17,16:57:58,0,1,0,Amber,A
2812,24-Jun-17,16:58:55,0,1,0,Amber,A
2813,24-Jun-17,16:58:56,0,1,0,Amber,A
2814,24-Jun-17,16:58:56,0,1,0,Amber,A
2815,24-Jun-17,16:58:56,0,1,0,Amber,A
2816,24-Jun-17,16:58:56,0,1,0,Amber,A
2817,24-Jun-17,16:58:56,0,1,0,Amber,A
2818,24-Jun-17,16:58:57,0,1,0,Amber,A
2819,24-Jun-17,16:58:57,0,1,0,Amber,A
2820,24-Jun-17,16:58:57,0,1,0,Amber,A
2821,24-Jun-17,16:58:57,0,1,0,Amber,A
2822,24-Jun-17,16:58:58,0,1,0,Amber,A
2823,24-Jun-17,16:58:58,0,1,0,Amber,A
2824,24-Jun-17,16:58:58,0,1,0,Amber,A
2825,24-Jun-17,16:58:58,0,1,0,Amber,A
2826,24-Jun-17,16:58:58,0,1,0,Amber,A
3112,24-Jun-17,16:59:55,0,1,0,Amber,A
3113,24-Jun-17,16:59:56,0,1,0,Amber,A
3114,24-Jun-17,16:59:56,0,1,0,Amber,A
3115,24-Jun-17,16:59:56,0,1,0,Amber,A
3116,24-Jun-17,16:59:56,0,1,0,Amber,A
3117,24-Jun-17,16:59:56,0,1,0,Amber,A
3118,24-Jun-17,16:59:57,0,1,0,Amber,A
3119,24-Jun-17,16:59:57,0,1,0,Amber,A
3120,24-Jun-17,16:59:57,0,1,0,Amber,A
3121,24-Jun-17,16:59:57,0,1,0,Amber,A
3122,24-Jun-17,16:59:58,0,1,0,Amber,A
3123,24-Jun-17,16:59:58,0,1,0,Amber,A
3124,24-Jun-17,16:59:58,0,1,0,Amber,A
3125,24-Jun-17,16:59:58,0,1,0,Amber,A
3126,24-Jun-17,16:59:58,0,1,0,Amber,A
3412,24-Jun-17,17:00:55,0,1,0,Amber,A
3413,24-Jun-17,17:00:56,0,1,0,Amber,A
3414,24-Jun-17,17:00:56,0,1,0,Amber,A
3415,24-Jun-17,17:00:56,0,1,0,Amber,A
3416,24-Jun-17,17:00:56,0,1,0,Amber,A
3417,24-Jun-17,17:00:57,0,1,0,Amber,A
3418,24-Jun-17,17:00:57,0,1,0,Amber,A
3419,24-Jun-17,17:00:57,0,1,0,Amber,A
3420,24-Jun-17,17:00:57,0,1,0,Amber,A
3421,24-Jun-17,17:00:57,0,1,0,Amber,A
3422,24-Jun-17,17:00:57,0,1,0,Amber,A
3423,24-Jun-17,17:00:57,0,1,0,Amber,A
3424,24-Jun-17,17:00:58,0,1,0,Amber,A
3425,24-Jun-17,17:00:58,0,1,0,Amber,A
3426,24-Jun-17,17:00:58,0,1,0,Amber,A
3712,24-Jun-17,17:01:55,0,1,0,Amber,A
3713,24-Jun-17,17:01:56,0,1,0,Amber,A
3714,24-Jun-17,17:01:56,0,1,0,Amber,A
3715,24-Jun-17,17:01:56,0,1,0,Amber,A
3716,24-Jun-17,17:01:56,0,1,0,Amber,A
3717,24-Jun-17,17:01:57,0,1,0,Amber,A
3718,24-Jun-17,17:01:57,0,1,0,Amber,A
3719,24-Jun-17,17:01:57,0,1,0,Amber,A
3720,24-Jun-17,17:01:57,0,1,0,Amber,A
3721,24-Jun-17,17:01:57,0,1,0,Amber,A
3722,24-Jun-17,17:01:57,0,1,0,Amber,A
3723,24-Jun-17,17:01:58,0,1,0,Amber,A
3724,24-Jun-17,17:01:58,0,1,0,Amber,A
3725,24-Jun-17,17:01:58,0,1,0,Amber,A
3726,24-Jun-17,17:01:58,0,1,0,Amber,A
4012,24-Jun-17,17:17:59,0,1,0,Amber,A
4013,24-Jun-17,17:17:59,0,1,0,Amber,A
4014,24-Jun-17,17:17:59,0,1,0,Amber,A
4015,24-Jun-17,17:17:59,0,1,0,Amber,A
4016,24-Jun-17,17:17:59,0,1,0,Amber,A
4017,24-Jun-17,17:17:59,0,1,0,Amber,A
4018,24-Jun-17,17:17:59,0,1,0,Amber,A
4019,24-Jun-17,17:17:59,0,1,0,Amber,A
4020,24-Jun-17,17:17:59,0,1,0,Amber,A
4021,24-Jun-17,17:18:00,0,1,0,Amber,A
4022,24-Jun-17,17:18:00,0,1,0,Amber,A
4023,24-Jun-17,17:18:00,0,1,0,Amber,A
4024,24-Jun-17,17:18:00,0,1,0,Amber,A
4025,24-Jun-17,17:18:00,0,1,0,Amber,A
4026,24-Jun-17,17:18:00,0,1,0,Amber,A
4312,24-Jun-17,17:18:01,0,1,0,Amber,A
4313,24-Jun-17,17:18:01,0,1,0,Amber,A
4314,24-Jun-17,17:18:01,0,1,0,Amber,A
4315,24-Jun-17,17:18:01,0,1,0,Amber,A
4316,24-Jun-17,17:18:01,0,1,0,Amber,A
4317,24-Jun-17,17:18:01,0,1,0,Amber,A
4318,24-Jun-17,17:18:01,0,1,0,Amber,A
4319,24-Jun-17,17:18:01,0,1,0,Amber,A
4320,24-Jun-17,17:18:01,0,1,0,Amber,A
4321,24-Jun-17,17:18:01,0,1,0,Amber,A
4322,24-Jun-17,17:18:01,0,1,0,Amber,A
4323,24-Jun-17,17:18:01,0,1,0,Amber,A
4324,24-Jun-17,17:18:01,0,1,0,Amber,A
4325,24-Jun-17,17:18:01,0,1,0,Amber,A
4326,24-Jun-17,17:18:01,0,1,0,Amber,A
4612,24-Jun-17,17:18:01,0,1,0,Amber,A
4613,24-Jun-17,17:18:01,0,1,0,Amber,A
4614,24-Jun-17,17:18:01,0,1,0,Amber,A
4615,24-Jun-17,17:18:01,0,1,0,Amber,A
4616,24-Jun-17,17:18:01,0,1,0,Amber,A
4617,24-Jun-17,17:18:01,0,1,0,Amber,A
4618,24-Jun-17,17:18:01,0,1,0,Amber,A
4619,24-Jun-17,17:18:01,0,1,0,Amber,A
4620,24-Jun-17,17:18:01,0,1,0,Amber,A
4621,24-Jun-17,17:18:01,0,1,0,Amber,A
4622,24-Jun-17,17:18:01,0,1,0,Amber,A
4623,24-Jun-17,17:18:01,0,1,0,Amber,A
4624,24-Jun-17,17:18:01,0,1,0,Amber,A
4625,24-Jun-17,17:18:01,0,1,0,Amber,A
4626,24-Jun-17,17:18:01,0,1,0,Amber,A
4912,24-Jun-17,17:18:02,0,1,0,Amber,A
4913,24-Jun-17,17:18:02,0,1,0,Amber,A
4914,24-Jun-17,17:18:02,0,1,0,Amber,A
4915,24-Jun-17,17:18:02,0,1,0,Amber,A
4916,24-Jun-17,17:18:02,0,1,0,Amber,A
4917,24-Jun-17,17:18:02,0,1,0,Amber,A
4918,24-Jun-17,17:18:02,0,1,0,Amber,A
4919,24-Jun-17,17:18:02,0,1,0,Amber,A
4920,24-Jun-17,17:18:02,0,1,0,Amber,A
4921,24-Jun-17,17:18:02,0,1,0,Amber,A
4922,24-Jun-17,17:18:02,0,1,0,Amber,A
4923,24-Jun-17,17:18:02,0,1,0,Amber,A
4924,24-Jun-17,17:18:02,0,1,0,Amber,A
4925,24-Jun-17,17:18:02,0,1,0,Amber,A
4926,24-Jun-17,17:18:02,0,1,0,Amber,A
5212,24-Jun-17,17:18:02,0,1,0,Amber,A
5213,24-Jun-17,17:18:02,0,1,0,Amber,A
5214,24-Jun-17,17:18:02,0,1,0,Amber,A
5215,24-Jun-17,17:18:02,0,1,0,Amber,A
5216,24-Jun-17,17:18:02,0,1,0,Amber,A
5217,24-Jun-17,17:18:02,0,1,0,Amber,A
5218,24-Jun-17,17:18:02,0,1,0,Amber,A
5219,24-Jun-17,17:18:02,0,1,0,Amber,A
5220,24-Jun-17,17:18:02,0,1,0,Amber,A
5221,24-Jun-17,17:18:02,0,1,0,Amber,A
5222,24-Jun-17,17:18:02,0,1,0,Amber,A
5223,24-Jun-17,17:18:02,0,1,0,Amber,A
5224,24-Jun-17,17:18:02,0,1,0,Amber,A
5225,24-Jun-17,17:18:02,0,1,0,Amber,A
5226,24-Jun-17,17:18:02,0,1,0,Amber,A
5512,24-Jun-17,17:18:02,0,1,0,Amber,A
5513,24-Jun-17,17:18:02,0,1,0,Amber,A
5514,24-Jun-17,17:18:02,0,1,0,Amber,A
5515,24-Jun-17,17:18:02,0,1,0,Amber,A
5516,24-Jun-17,17:18:02,0,1,0,Amber,A
5517,24-Jun-17,17:18:02,0,1,0,Amber,A
5518,24-Jun-17,17:18:02,0,1,0,Amber,A
5519,24-Jun-17,17:18:02,0,1,0,Amber,A
5520,24-Jun-17,17:18:02,0,1,0,Amber,A
5521,24-Jun-17,17:18:02,0,1,0,Amber,A
5522,24-Jun-17,17:18:02,0,1,0,Amber,A
5523,24-Jun-17,17:18:02,0,1,0,Amber,A
5524,24-Jun-17,17:18:02,0,1,0,Amber,A
5525,24-Jun-17,17:18:02,0,1,0,Amber,A
5526,24-Jun-17,17:18:02,0,1,0,Amber,A
5812,24-Jun-17,17:18:02,0,1,0,Amber,A
5813,24-Jun-17,17:18:02,0,1,0,Amber,A
5814,24-Jun-17,17:18:02,0,1,0,Amber,A
5815,24-Jun-17,17:18:02,0,1,0,Amber,A
5816,24-Jun-17,17:18:02,0,1,0,Amber,A
5817,24-Jun-17,17:18:02,0,1,0,Amber,A
5818,24-Jun-17,17:18:02,0,1,0,Amber,A
5819,24-Jun-17,17:18:02,0,1,0,Amber,A
5820,24-Jun-17,17:18:02,0,1,0,Amber,A
5821,24-Jun-17,17:18:02,0,1,0,Amber,A
5822,24-Jun-17,17:18:02,0,1,0,Amber,A
5823,24-Jun-17,17:18:02,0,1,0,Amber,A
5824,24-Jun-17,17:18:02,0,1,0,Amber,A
5825,24-Jun-17,17:18:02,0,1,0,Amber,A
5826,24-Jun-17,17:18:02,0,1,0,Amber,A
6112,24-Jun-17,17:18:03,0,1,0,Amber,A
6113,24-Jun-17,17:18:03,0,1,0,Amber,A
6114,24-Jun-17,17:18:03,0,1,0,Amber,A
6115,24-Jun-17,17:18:03,0,1,0,Amber,A
6116,24-Jun-17,17:18:03,0,1,0,Amber,A
6117,24-Jun-17,17:18:03,0,1,0,Amber,A
6118,24-Jun-17,17:18:03,0,1,0,Amber,A
6119,24-Jun-17,17:18:03,0,1,0,Amber,A
6120,24-Jun-17,17:18:03,0,1,0,Amber,A
6121,24-Jun-17,17:18:03,0,1,0,Amber,A
6122,24-Jun-17,17:18:03,0,1,0,Amber,A
6123,24-Jun-17,17:18:03,0,1,0,Amber,A
6124,24-Jun-17,17:18:03,0,1,0,Amber,A
6125,24-Jun-17,17:18:03,0,1,0,Amber,A
6126,24-Jun-17,17:18:03,0,1,0,Amber,A
6412,24-Jun-17,17:18:03,0,1,0,Amber,A
6413,24-Jun-17,17:18:03,0,1,0,Amber,A
6414,24-Jun-17,17:18:03,0,1,0,Amber,A
6415,24-Jun-17,17:18:03,0,1,0,Amber,A
6416,24-Jun-17,17:18:03,0,1,0,Amber,A
6417,24-Jun-17,17:18:03,0,1,0,Amber,A
6418,24-Jun-17,17:18:03,0,1,0,Amber,A
6419,24-Jun-17,17:18:03,0,1,0,Amber,A
6420,24-Jun-17,17:18:03,0,1,0,Amber,A
6421,24-Jun-17,17:18:03,0,1,0,Amber,A
6422,24-Jun-17,17:18:03,0,1,0,Amber,A
6423,24-Jun-17,17:18:03,0,1,0,Amber,A
6424,24-Jun-17,17:18:03,0,1,0,Amber,A
6425,24-Jun-17,17:18:03,0,1,0,Amber,A
6426,24-Jun-17,17:18:03,0,1,0,Amber,A
6712,24-Jun-17,17:18:03,0,1,0,Amber,A
6713,24-Jun-17,17:18:03,0,1,0,Amber,A
6714,24-Jun-17,17:18:03,0,1,0,Amber,A
6715,24-Jun-17,17:18:03,0,1,0,Amber,A
6716,24-Jun-17,17:18:03,0,1,0,Amber,A
6717,24-Jun-17,17:18:03,0,1,0,Amber,A
6718,24-Jun-17,17:18:03,0,1,0,Amber,A
6719,24-Jun-17,17:18:03,0,1,0,Amber,A
6720,24-Jun-17,17:18:03,0,1,0,Amber,A
6721,24-Jun-17,17:18:03,0,1,0,Amber,A
6722,24-Jun-17,17:18:03,0,1,0,Amber,A
6723,24-Jun-17,17:18:03,0,1,0,Amber,A
6724,24-Jun-17,17:18:03,0,1,0,Amber,A
6725,24-Jun-17,17:18:03,0,1,0,Amber,A
6726,24-Jun-17,17:18:03,0,1,0,Amber,A
7012,24-Jun-17,17:18:03,0,1,0,Amber,A
7013,24-Jun-17,17:18:03,0,1,0,Amber,A
7014,24-Jun-17,17:18:03,0,1,0,Amber,A
7015,24-Jun-17,17:18:03,0,1,0,Amber,A
7016,24-Jun-17,17:18:03,0,1,0,Amber,A
7017,24-Jun-17,17:18:03,0,1,0,Amber,A
7018,24-Jun-17,17:18:03,0,1,0,Amber,A
7019,24-Jun-17,17:18:03,0,1,0,Amber,A
7020,24-Jun-17,17:18:03,0,1,0,Amber,A
7021,24-Jun-17,17:18:03,0,1,0,Amber,A
7022,24-Jun-17,17:18:03,0,1,0,Amber,A
7023,24-Jun-17,17:18:03,0,1,0,Amber,A
7024,24-Jun-17,17:18:03,0,1,0,Amber,A
7025,24-Jun-17,17:18:03,0,1,0,Amber,A
7026,24-Jun-17,17:18:03,0,1,0,Amber,A
7312,24-Jun-17,17:18:03,0,1,0,Amber,A
7313,24-Jun-17,17:18:03,0,1,0,Amber,A
7314,24-Jun-17,17:18:03,0,1,0,Amber,A
7315,24-Jun-17,17:18:03,0,1,0,Amber,A
7316,24-Jun-17,17:18:03,0,1,0,Amber,A
7317,24-Jun-17,17:18:03,0,1,0,Amber,A
7318,24-Jun-17,17:18:03,0,1,0,Amber,A
7319,24-Jun-17,17:18:03,0,1,0,Amber,A
7320,24-Jun-17,17:18:03,0,1,0,Amber,A
7321,24-Jun-17,17:18:03,0,1,0,Amber,A
7322,24-Jun-17,17:18:03,0,1,0,Amber,A
7323,24-Jun-17,17:18:03,0,1,0,Amber,A
7324,24-Jun-17,17:18:03,0,1,0,Amber,A
7325,24-Jun-17,17:18:03,0,1,0,Amber,A
7326,24-Jun-17,17:18:03,0,1,0,Amber,A
7612,24-Jun-17,17:18:03,0,1,0,Amber,A
7613,24-Jun-17,17:18:03,0,1,0,Amber,A
7614,24-Jun-17,17:18:03,0,1,0,Amber,A
7615,24-Jun-17,17:18:03,0,1,0,Amber,A
7616,24-Jun-17,17:18:03,0,1,0,Amber,A
7617,24-Jun-17,17:18:03,0,1,0,Amber,A
7618,24-Jun-17,17:18:03,0,1,0,Amber,A
7619,24-Jun-17,17:18:03,0,1,0,Amber,A
7620,24-Jun-17,17:18:03,0,1,0,Amber,A
7621,24-Jun-17,17:18:03,0,1,0,Amber,A
7622,24-Jun-17,17:18:03,0,1,0,Amber,A
7623,24-Jun-17,17:18:03,0,1,0,Amber,A
7624,24-Jun-17,17:18:03,0,1,0,Amber,A
7625,24-Jun-17,17:18:03,0,1,0,Amber,A
7626,24-Jun-17,17:18:03,0,1,0,Amber,A
7912,24-Jun-17,17:18:03,0,1,0,Amber,A
7913,24-Jun-17,17:18:03,0,1,0,Amber,A
7914,24-Jun-17,17:18:03,0,1,0,Amber,A
7915,24-Jun-17,17:18:03,0,1,0,Amber,A
7916,24-Jun-17,17:18:03,0,1,0,Amber,A
7917,24-Jun-17,17:18:03,0,1,0,Amber,A
7918,24-Jun-17,17:18:03,0,1,0,Amber,A
7919,24-Jun-17,17:18:03,0,1,0,Amber,A
7920,24-Jun-17,17:18:03,0,1,0,Amber,A
7921,24-Jun-17,17:18:03,0,1,0,Amber,A
7922,24-Jun-17,17:18:03,0,1,0,Amber,A
7923,24-Jun-17,17:18:03,0,1,0,Amber,A
7924,24-Jun-17,17:18:03,0,1,0,Amber,A
7925,24-Jun-17,17:18:03,0,1,0,Amber,A
7926,24-Jun-17,17:18:03,0,1,0,Amber,A
8212,24-Jun-17,17:18:04,0,1,0,Amber,A
8213,24-Jun-17,17:18:04,0,1,0,Amber,A
8214,24-Jun-17,17:18:04,0,1,0,Amber,A
8215,24-Jun-17,17:18:04,0,1,0,Amber,A
8216,24-Jun-17,17:18:04,0,1,0,Amber,A
8217,24-Jun-17,17:18:04,0,1,0,Amber,A
8218,24-Jun-17,17:18:04,0,1,0,Amber,A
8219,24-Jun-17,17:18:04,0,1,0,Amber,A
8220,24-Jun-17,17:18:04,0,1,0,Amber,A
8221,24-Jun-17,17:18:04,0,1,0,Amber,A
8222,24-Jun-17,17:18:04,0,1,0,Amber,A
8223,24-Jun-17,17:18:04,0,1,0,Amber,A
8224,24-Jun-17,17:18:04,0,1,0,Amber,A
8225,24-Jun-17,17:18:04,0,1,0,Amber,A
8226,24-Jun-17,17:18:04,0,1,0,Amber,A
8512,24-Jun-17,17:18:04,0,1,0,Amber,A
8513,24-Jun-17,17:18:04,0,1,0,Amber,A
8514,24-Jun-17,17:18:04,0,1,0,Amber,A
8515,24-Jun-17,17:18:04,0,1,0,Amber,A
8516,24-Jun-17,17:18:04,0,1,0,Amber,A
8517,24-Jun-17,17:18:04,0,1,0,Amber,A
8518,24-Jun-17,17:18:04,0,1,0,Amber,A
8519,24-Jun-17,17:18:04,0,1,0,Amber,A
8520,24-Jun-17,17:18:04,0,1,0,Amber,A
8521,24-Jun-17,17:18:04,0,1,0,Amber,A
8522,24-Jun-17,17:18:04,0,1,0,Amber,A
8523,24-Jun-17,17:18:04,0,1,0,Amber,A
8524,24-Jun-17,17:18:04,0,1,0,Amber,A
8525,24-Jun-17,17:18:04,0,1,0,Amber,A
8526,24-Jun-17,17:18:04,0,1,0,Amber,A
8812,24-Jun-17,17:18:55,0,1,0,Amber,A
8813,24-Jun-17,17:18:56,0,1,0,Amber,A
8814,24-Jun-17,17:18:56,0,1,0,Amber,A
8815,24-Jun-17,17:18:56,0,1,0,Amber,A
8816,24-Jun-17,17:18:56,0,1,0,Amber,A
8817,24-Jun-17,17:18:57,0,1,0,Amber,A
8818,24-Jun-17,17:18:57,0,1,0,Amber,A
8819,24-Jun-17,17:18:57,0,1,0,Amber,A
8820,24-Jun-17,17:18:57,0,1,0,Amber,A
8821,24-Jun-17,17:18:57,0,1,0,Amber,A
8822,24-Jun-17,17:18:57,0,1,0,Amber,A
8823,24-Jun-17,17:18:57,0,1,0,Amber,A
8824,24-Jun-17,17:18:58,0,1,0,Amber,A
8825,24-Jun-17,17:18:58,0,1,0,Amber,A
8826,24-Jun-17,17:18:58,0,1,0,Amber,A
9112,24-Jun-17,17:19:55,0,1,0,Amber,A
9113,24-Jun-17,17:19:56,0,1,0,Amber,A
9114,24-Jun-17,17:19:56,0,1,0,Amber,A
9115,24-Jun-17,17:19:56,0,1,0,Amber,A
9116,24-Jun-17,17:19:56,0,1,0,Amber,A
9117,24-Jun-17,17:19:56,0,1,0,Amber,A
9118,24-Jun-17,17:19:57,0,1,0,Amber,A
9119,24-Jun-17,17:19:57,0,1,0,Amber,A
9120,24-Jun-17,17:19:57,0,1,0,Amber,A
9121,24-Jun-17,17:19:57,0,1,0,Amber,A
9122,24-Jun-17,17:19:58,0,1,0,Amber,A
9123,24-Jun-17,17:19:58,0,1,0,Amber,A
9124,24-Jun-17,17:19:58,0,1,0,Amber,A
9125,24-Jun-17,17:19:58,0,1,0,Amber,A
9126,24-Jun-17,17:19:58,0,1,0,Amber,A
9412,24-Jun-17,17:20:55,0,1,0,Amber,A
9413,24-Jun-17,17:20:56,0,1,0,Amber,A
9414,24-Jun-17,17:20:56,0,1,0,Amber,A
9415,24-Jun-17,17:20:56,0,1,0,Amber,A
9416,24-Jun-17,17:20:56,0,1,0,Amber,A
9417,24-Jun-17,17:20:56,0,1,0,Amber,A
9418,24-Jun-17,17:20:56,0,1,0,Amber,A
9419,24-Jun-17,17:20:57,0,1,0,Amber,A
9420,24-Jun-17,17:20:57,0,1,0,Amber,A
9421,24-Jun-17,17:20:57,0,1,0,Amber,A
9422,24-Jun-17,17:20:57,0,1,0,Amber,A
9423,24-Jun-17,17:20:57,0,1,0,Amber,A
9424,24-Jun-17,17:20:58,0,1,0,Amber,A
9425,24-Jun-17,17:20:58,0,1,0,Amber,A
9426,24-Jun-17,17:20:58,0,1,0,Amber,A
9712,24-Jun-17,17:21:55,0,1,0,Amber,A
9713,24-Jun-17,17:21:55,0,1,0,Amber,A
9714,24-Jun-17,17:21:56,0,1,0,Amber,A
9715,24-Jun-17,17:21:56,0,1,0,Amber,A
9716,24-Jun-17,17:21:56,0,1,0,Amber,A
9717,24-Jun-17,17:21:56,0,1,0,Amber,A
9718,24-Jun-17,17:21:56,0,1,0,Amber,A
9719,24-Jun-17,17:21:57,0,1,0,Amber,A
9720,24-Jun-17,17:21:57,0,1,0,Amber,A
9721,24-Jun-17,17:21:57,0,1,0,Amber,A
9722,24-Jun-17,17:21:57,0,1,0,Amber,A
9723,24-Jun-17,17:21:58,0,1,0,Amber,A
9724,24-Jun-17,17:21:58,0,1,0,Amber,A
9725,24-Jun-17,17:21:58,0,1,0,Amber,A
