,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
3503,24-Jun-17,17:01:13,1,1,0,RedAmber,B
3504,24-Jun-17,17:01:14,1,1,0,RedAmber,B
3505,24-Jun-17,17:01:14,1,1,0,RedAmber,B
3506,24-Jun-17,17:01:14,1,1,0,RedAmber,B
3507,24-Jun-17,17:01:14,1,1,0,RedAmber,B
3508,24-Jun-17,17:01:15,1,1,0,RedAmber,B
3509,24-Jun-17,17:01:15,1,1,0,RedAmber,B
3510,24-Jun-17,17:01:15,1,1,0,RedAmber,B
3511,24-Jun-17,17:01:15,1,1,0,RedAmber,B
3802,24-Jun-17,17:02:13,1,1,0,RedAmber,B
3803,24-Jun-17,17:02:14,1,1,0,RedAmber,B
3804,24-Jun-17,17:02:14,1,1,0,RedAmber,B
3805,24-Jun-17,17:02:14,1,1,0,RedAmber,B
3806,24-Jun-17,17:02:14,1,1,0,RedAmber,B
3807,24-Jun-17,17:02:15,1,1,0,RedAmber,B
3808,24-Jun-17,17:02:15,1,1,0,RedAmber,B
3809,24-Jun-17,17:02:15,1,1,0,RedAmber,B
3810,24-Jun-17,17:02:15,1,1,0,RedAmber,B
3811,24-Jun-17,17:02:15,1,1,0,RedAmber,B
4102,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4103,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4104,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4105,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4106,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4107,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4108,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4109,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4110,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4111,24-Jun-17,17:18:00,1,1,0,RedAmber,B
4402,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4403,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4404,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4405,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4406,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4407,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4408,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4409,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4410,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4411,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4702,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4703,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4704,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4705,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4706,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4707,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4708,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4709,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4710,24-Jun-17,17:18:01,1,1,0,RedAmber,B
4711,24-Jun-17,17:18:01,1,1,0,RedAmber,B
5002,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5003,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5004,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5005,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5006,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5007,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5008,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5009,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5010,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5011,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5302,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5303,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5304,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5305,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5306,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5307,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5308,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5309,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5310,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5311,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5602,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5603,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5604,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5605,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5606,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5607,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5608,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5609,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5610,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5611,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5902,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5903,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5904,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5905,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5906,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5907,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5908,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5909,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5910,24-Jun-17,17:18:02,1,1,0,RedAmber,B
5911,24-Jun-17,17:18:02,1,1,0,RedAmber,B
6202,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6203,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6204,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6205,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6206,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6207,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6208,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6209,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6210,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6211,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6502,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6503,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6504,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6505,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6506,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6507,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6508,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6509,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6510,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6511,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6802,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6803,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6804,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6805,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6806,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6807,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6808,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6809,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6810,24-Jun-17,17:18:03,1,1,0,RedAmber,B
6811,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7102,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7103,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7104,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7105,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7106,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7107,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7108,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7109,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7110,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7111,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7402,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7403,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7404,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7405,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7406,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7407,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7408,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7409,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7410,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7411,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7702,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7703,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7704,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7705,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7706,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7707,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7708,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7709,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7710,24-Jun-17,17:18:03,1,1,0,RedAmber,B
7711,24-Jun-17,17:18:03,1,1,0,RedAmber,B
8002,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8003,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8004,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8005,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8006,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8007,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8008,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8009,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8010,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8011,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8302,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8303,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8304,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8305,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8306,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8307,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8308,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8309,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8310,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8311,24-Jun-17,17:18:04,1,1,0,RedAmber,B
8602,24-Jun-17,17:18:13,1,1,0,RedAmber,B
8603,24-Jun-17,17:18:13,1,1,0,RedAmber,B
8604,24-Jun-17,17:18:14,1,1,0,RedAmber,B
8605,24-Jun-17,17:18:14,1,1,0,RedAmber,B
8606,24-Jun-17,17:18:14,1,1,0,RedAmber,B
8607,24-Jun-17,17:18:14,1,1,0,RedAmber,B
8608,24-Jun-17,17:18:15,1,1,0,RedAmber,B
8609,24-Jun-17,17:18:15,1,1,0,RedAmber,B
8610,24-Jun-17,17:18:15,1,1,0,RedAmber,B
8611,24-Jun-17,17:18:15,1,1,0,RedAmber,B
8902,24-Jun-17,17:19:13,1,1,0,RedAmber,B
8903,24-Jun-17,17:19:14,1,1,0,RedAmber,B
8904,24-Jun-17,17:19:14,1,1,0,RedAmber,B
8905,24-Jun-17,17:19:14,1,1,0,RedAmber,B
8906,24-Jun-17,17:19:14,1,1,0,RedAmber,B
8907,24-Jun-17,17:19:14,1,1,0,RedAmber,B
8908,24-Jun-17,17:19:14,1,1,0,RedAmber,B
8909,24-Jun-17,17:19:15,1,1,0,RedAmber,B
8910,24-Jun-17,17:19:15,1,1,0,RedAmber,B
8911,24-Jun-17,17:19:15,1,1,0,RedAmber,B
9202,24-Jun-17,17:20:13,1,1,0,RedAmber,B
9203,24-Jun-17,17:20:13,1,1,0,RedAmber,B
9204,24-Jun-17,17:20:14,1,1,0,RedAmber,B
9205,24-Jun-17,17:20:14,1,1,0,RedAmber,B
9206,24-Jun-17,17:20:14,1,1,0,RedAmber,B
9207,24-Jun-17,17:20:14,1,1,0,RedAmber,B
9208,24-Jun-17,17:20:15,1,1,0,RedAmber,B
9209,24-Jun-17,17:20:15,1,1,0,RedAmber,B
9210,24-Jun-17,17:20:15,1,1,0,RedAmber,B
9211,24-Jun-17,17:20:15,1,1,0,RedAmber,B
9502,24-Jun-17,17:21:13,1,1,0,RedAmber,B
9503,24-Jun-17,17:21:14,1,1,0,RedAmber,B
9504,24-Jun-17,17:21:14,1,1,0,RedAmber,B
9505,24-Jun-17,17:21:14,1,1,0,RedAmber,B
9506,24-Jun-17,17:21:14,1,1,0,RedAmber,B
9507,24-Jun-17,17:21:14,1,1,0,RedAmber,B
9508,24-Jun-17,17:21:15,1,1,0,RedAmber,B
9509,24-Jun-17,17:21:15,1,1,0,RedAmber,B
9510,24-Jun-17,17:21:15,1,1,0,RedAmber,B
9511,24-Jun-17,17:21:15,1,1,0,RedAmber,B
9802,24-Jun-17,17:22:13,1,1,0,RedAmber,B
9803,24-Jun-17,17:22:13,1,1,0,RedAmber,B
9804,24-Jun-17,17:22:14,1,1,0,RedAmber,B
9805,24-Jun-17,17:22:14,1,1,0,RedAmber,B
9806,24-Jun-17,17:22:14,1,1,0,RedAmber,B
9807,24-Jun-17,17:22:14,1,1,0,RedAmber,B
9808,24-Jun-17,17:22:15,1,1,0,RedAmber,B
9809,24-Jun-17,17:22:15,1,1,0,RedAmber,B
9810,24-Jun-17,17:22:15,1,1,0,RedAmber,B
9811,24-Jun-17,17:22:15,1,1,0,RedAmber,B
10102,24-Jun-17,17:23:13,1,1,0,RedAmber,B
10103,24-Jun-17,17:23:14,1,1,0,RedAmber,B
10104,24-Jun-17,17:23:14,1,1,0,RedAmber,B
10105,24-Jun-17,17:23:14,1,1,0,RedAmber,B
10106,24-Jun-17,17:23:14,1,1,0,RedAmber,B
10107,24-Jun-17,17:23:14,1,1,0,RedAmber,B
10108,24-Jun-17,17:23:15,1,1,0,RedAmber,B
10109,24-Jun-17,17:23:15,1,1,0,RedAmber,B
10110,24-Jun-17,17:23:15,1,1,0,RedAmber,B
10111,24-Jun-17,17:23:15,1,1,0,RedAmber,B
10402,24-Jun-17,17:24:13,1,1,0,RedAmber,B
10403,24-Jun-17,17:24:14,1,1,0,RedAmber,B
10404,24-Jun-17,17:24:14,1,1,0,RedAmber,B
10405,24-Jun-17,17:24:14,1,1,0,RedAmber,B
10406,24-Jun-17,17:24:14,1,1,0,RedAmber,B
10407,24-Jun-17,17:24:15,1,1,0,RedAmber,B
10408,24-Jun-17,17:24:15,1,1,0,RedAmber,B
10409,24-Jun-17,17:24:15,1,1,0,RedAmber,B
10410,24-Jun-17,17:24:15,1,1,0,RedAmber,B
10411,24-Jun-17,17:24:15,1,1,0,RedAmber,B
10702,24-Jun-17,17:25:13,1,1,0,RedAmber,B
10703,24-Jun-17,17:25:14,1,1,0,RedAmber,B
10704,24-Jun-17,17:25:14,1,1,0,RedAmber,B
10705,24-Jun-17,17:25:14,1,1,0,RedAmber,B
10706,24-Jun-17,17:25:14,1,1,0,RedAmber,B
10707,24-Jun-17,17:25:14,1,1,0,RedAmber,B
10708,24-Jun-17,17:25:14,1,1,0,RedAmber,B
10709,24-Jun-17,17:25:15,1,1,0,RedAmber,B
10710,24-Jun-17,17:25:15,1,1,0,RedAmber,B
10711,24-Jun-17,17:25:15,1,1,0,RedAmber,B
11002,24-Jun-17,17:26:13,1,1,0,RedAmber,B
11003,24-Jun-17,17:26:14,1,1,0,RedAmber,B
11004,24-Jun-17,17:26:14,1,1,0,RedAmber,B
11005,24-Jun-17,17:26:14,1,1,0,RedAmber,B
11006,24-Jun-17,17:26:14,1,1,0,RedAmber,B
11007,24-Jun-17,17:26:15,1,1,0,RedAmber,B
11008,24-Jun-17,17:26:15,1,1,0,RedAmber,B
11009,24-Jun-17,17:26:15,1,1,0,RedAmber,B
11010,24-Jun-17,17:26:15,1,1,0,RedAmber,B
11011,24-Jun-17,17:26:15,1,1,0,RedAmber,B
11302,24-Jun-17,17:27:13,1,1,0,RedAmber,B
11303,24-Jun-17,17:27:14,1,1,0,RedAmber,B
11304,24-Jun-17,17:27:14,1,1,0,RedAmber,B
11305,24-Jun-17,17:27:14,1,1,0,RedAmber,B
11306,24-Jun-17,17:27:14,1,1,0,RedAmber,B
11307,24-Jun-17,17:27:15,1,1,0,RedAmber,B
11308,24-Jun-17,17:27:15,1,1,0,RedAmber,B
11309,24-Jun-17,17:27:15,1,1,0,RedAmber,B
11310,24-Jun-17,17:27:15,1,1,0,RedAmber,B
11311,24-Jun-17,17:27:15,1,1,0,RedAmber,B
11602,24-Jun-17,17:28:13,1,1,0,RedAmber,B
11603,24-Jun-17,17:28:14,1,1,0,RedAmber,B
11604,24-Jun-17,17:28:14,1,1,0,RedAmber,B
11605,24-Jun-17,17:28:14,1,1,0,RedAmber,B
11606,24-Jun-17,17:28:14,1,1,0,RedAmber,B
11607,24-Jun-17,17:28:14,1,1,0,RedAmber,B
11608,24-Jun-17,17:28:14,1,1,0,RedAmber,B
11609,24-Jun-17,17:28:15,1,1,0,RedAmber,B
11610,24-Jun-17,17:28:15,1,1,0,RedAmber,B
11611,24-Jun-17,17:28:15,1,1,0,RedAmber,B
11902,24-Jun-17,17:53:42,1,1,0,RedAmber,B
11903,24-Jun-17,17:53:42,1,1,0,RedAmber,B
11904,24-Jun-17,17:53:42,1,1,0,RedAmber,B
11905,24-Jun-17,17:53:42,1,1,0,RedAmber,B
11906,24-Jun-17,17:53:42,1,1,0,RedAmber,B
11907,24-Jun-17,17:53:42,1,1,0,RedAmber,B
11908,24-Jun-17,17:53:42,1,1,0,RedAmber,B
11909,24-Jun-17,17:53:42,1,1,0,RedAmber,B
11910,24-Jun-17,17:53:42,1,1,0,RedAmber,B
11911,24-Jun-17,17:53:42,1,1,0,RedAmber,B
12202,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12203,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12204,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12205,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12206,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12207,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12208,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12209,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12210,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12211,24-Jun-17,17:53:43,1,1,0,RedAmber,B
12502,24-Jun-17,17:53:44,1,1,0,RedAmber,B
12503,24-Jun-17,17:53:44,1,1,0,RedAmber,B
12504,24-Jun-17,17:53:44,1,1,0,RedAmber,B
12505,24-Jun-17,17:53:44,1,1,0,RedAmber,B
12506,24-Jun-17,17:53:44,1,1,0,RedAmber,B
12507,24-Jun-17,17:53:44,1,1,0,RedAmber,B
12508,24-Jun-17,17:53:44,1,1,0,RedAmber,B
12509,24-Jun-17,17:53:44,1,1,0,RedAmber,B
12510,24-Jun-17,17:53:44,1,1,0,RedAmber,B
