,Date,Time,Aspect 0 of Phase F  State,Aspect 1 of Phase F  State,Aspect 2 of Phase F  State,Result,Phase
548,24-Jun-17,16:51:23,1,0,0,Red,F
549,24-Jun-17,16:51:23,1,0,0,Red,F
550,24-Jun-17,16:51:23,1,0,0,Red,F
551,24-Jun-17,16:51:23,1,0,0,Red,F
552,24-Jun-17,16:51:24,1,0,0,Red,F
553,24-Jun-17,16:51:24,1,0,0,Red,F
554,24-Jun-17,16:51:24,1,0,0,Red,F
555,24-Jun-17,16:51:24,1,0,0,Red,F
556,24-Jun-17,16:51:24,1,0,0,Red,F
557,24-Jun-17,16:51:24,1,0,0,Red,F
558,24-Jun-17,16:51:25,1,0,0,Red,F
559,24-Jun-17,16:51:25,1,0,0,Red,F
560,24-Jun-17,16:51:25,1,0,0,Red,F
561,24-Jun-17,16:51:25,1,0,0,Red,F
562,24-Jun-17,16:51:25,1,0,0,Red,F
563,24-Jun-17,16:51:26,1,0,0,Red,F
564,24-Jun-17,16:51:26,1,0,0,Red,F
565,24-Jun-17,16:51:26,1,0,0,Red,F
566,24-Jun-17,16:51:26,1,0,0,Red,F
567,24-Jun-17,16:51:27,1,0,0,Red,F
568,24-Jun-17,16:51:27,1,0,0,Red,F
569,24-Jun-17,16:51:27,1,0,0,Red,F
570,24-Jun-17,16:51:27,1,0,0,Red,F
571,24-Jun-17,16:51:28,1,0,0,Red,F
572,24-Jun-17,16:51:28,1,0,0,Red,F
573,24-Jun-17,16:51:28,1,0,0,Red,F
574,24-Jun-17,16:51:28,1,0,0,Red,F
575,24-Jun-17,16:51:28,1,0,0,Red,F
576,24-Jun-17,16:51:28,1,0,0,Red,F
577,24-Jun-17,16:51:28,1,0,0,Red,F
578,24-Jun-17,16:51:29,1,0,0,Red,F
579,24-Jun-17,16:51:29,1,0,0,Red,F
580,24-Jun-17,16:51:29,1,0,0,Red,F
581,24-Jun-17,16:51:29,1,0,0,Red,F
582,24-Jun-17,16:51:30,1,0,0,Red,F
583,24-Jun-17,16:51:30,1,0,0,Red,F
584,24-Jun-17,16:51:30,1,0,0,Red,F
585,24-Jun-17,16:51:30,1,0,0,Red,F
586,24-Jun-17,16:51:30,1,0,0,Red,F
587,24-Jun-17,16:51:31,1,0,0,Red,F
588,24-Jun-17,16:51:31,1,0,0,Red,F
589,24-Jun-17,16:51:31,1,0,0,Red,F
590,24-Jun-17,16:51:31,1,0,0,Red,F
591,24-Jun-17,16:51:31,1,0,0,Red,F
592,24-Jun-17,16:51:31,1,0,0,Red,F
593,24-Jun-17,16:51:32,1,0,0,Red,F
594,24-Jun-17,16:51:32,1,0,0,Red,F
595,24-Jun-17,16:51:32,1,0,0,Red,F
596,24-Jun-17,16:51:32,1,0,0,Red,F
597,24-Jun-17,16:51:32,1,0,0,Red,F
598,24-Jun-17,16:51:33,1,0,0,Red,F
599,24-Jun-17,16:51:33,1,0,0,Red,F
600,24-Jun-17,16:51:33,1,0,0,Red,F
601,24-Jun-17,16:51:33,1,0,0,Red,F
602,24-Jun-17,16:51:34,1,0,0,Red,F
603,24-Jun-17,16:51:34,1,0,0,Red,F
604,24-Jun-17,16:51:34,1,0,0,Red,F
605,24-Jun-17,16:51:34,1,0,0,Red,F
606,24-Jun-17,16:51:34,1,0,0,Red,F
607,24-Jun-17,16:51:35,1,0,0,Red,F
608,24-Jun-17,16:51:35,1,0,0,Red,F
609,24-Jun-17,16:51:35,1,0,0,Red,F
610,24-Jun-17,16:51:35,1,0,0,Red,F
611,24-Jun-17,16:51:36,1,0,0,Red,F
612,24-Jun-17,16:51:36,1,0,0,Red,F
613,24-Jun-17,16:51:36,1,0,0,Red,F
614,24-Jun-17,16:51:36,1,0,0,Red,F
615,24-Jun-17,16:51:36,1,0,0,Red,F
616,24-Jun-17,16:51:36,1,0,0,Red,F
617,24-Jun-17,16:51:36,1,0,0,Red,F
618,24-Jun-17,16:51:37,1,0,0,Red,F
619,24-Jun-17,16:51:37,1,0,0,Red,F
620,24-Jun-17,16:51:37,1,0,0,Red,F
621,24-Jun-17,16:51:37,1,0,0,Red,F
622,24-Jun-17,16:51:37,1,0,0,Red,F
623,24-Jun-17,16:51:38,1,0,0,Red,F
624,24-Jun-17,16:51:38,1,0,0,Red,F
625,24-Jun-17,16:51:38,1,0,0,Red,F
626,24-Jun-17,16:51:38,1,0,0,Red,F
627,24-Jun-17,16:51:39,1,0,0,Red,F
628,24-Jun-17,16:51:39,1,0,0,Red,F
629,24-Jun-17,16:51:39,1,0,0,Red,F
630,24-Jun-17,16:51:39,1,0,0,Red,F
631,24-Jun-17,16:51:40,1,0,0,Red,F
632,24-Jun-17,16:51:40,1,0,0,Red,F
633,24-Jun-17,16:51:40,1,0,0,Red,F
634,24-Jun-17,16:51:40,1,0,0,Red,F
635,24-Jun-17,16:51:40,1,0,0,Red,F
636,24-Jun-17,16:51:40,1,0,0,Red,F
637,24-Jun-17,16:51:40,1,0,0,Red,F
638,24-Jun-17,16:51:41,1,0,0,Red,F
639,24-Jun-17,16:51:41,1,0,0,Red,F
640,24-Jun-17,16:51:41,1,0,0,Red,F
641,24-Jun-17,16:51:41,1,0,0,Red,F
642,24-Jun-17,16:51:42,1,0,0,Red,F
643,24-Jun-17,16:51:42,1,0,0,Red,F
644,24-Jun-17,16:51:42,1,0,0,Red,F
645,24-Jun-17,16:51:42,1,0,0,Red,F
646,24-Jun-17,16:51:42,1,0,0,Red,F
647,24-Jun-17,16:51:43,1,0,0,Red,F
648,24-Jun-17,16:51:43,1,0,0,Red,F
649,24-Jun-17,16:51:43,1,0,0,Red,F
650,24-Jun-17,16:51:43,1,0,0,Red,F
651,24-Jun-17,16:51:44,1,0,0,Red,F
652,24-Jun-17,16:51:44,1,0,0,Red,F
653,24-Jun-17,16:51:44,1,0,0,Red,F
654,24-Jun-17,16:51:44,1,0,0,Red,F
655,24-Jun-17,16:51:44,1,0,0,Red,F
656,24-Jun-17,16:51:44,1,0,0,Red,F
657,24-Jun-17,16:51:44,1,0,0,Red,F
658,24-Jun-17,16:51:45,1,0,0,Red,F
659,24-Jun-17,16:51:45,1,0,0,Red,F
660,24-Jun-17,16:51:45,1,0,0,Red,F
661,24-Jun-17,16:51:45,1,0,0,Red,F
662,24-Jun-17,16:51:46,1,0,0,Red,F
663,24-Jun-17,16:51:46,1,0,0,Red,F
664,24-Jun-17,16:51:46,1,0,0,Red,F
665,24-Jun-17,16:51:46,1,0,0,Red,F
666,24-Jun-17,16:51:46,1,0,0,Red,F
667,24-Jun-17,16:51:47,1,0,0,Red,F
668,24-Jun-17,16:51:47,1,0,0,Red,F
669,24-Jun-17,16:51:47,1,0,0,Red,F
670,24-Jun-17,16:51:47,1,0,0,Red,F
671,24-Jun-17,16:51:47,1,0,0,Red,F
672,24-Jun-17,16:51:47,1,0,0,Red,F
673,24-Jun-17,16:51:48,1,0,0,Red,F
674,24-Jun-17,16:51:48,1,0,0,Red,F
675,24-Jun-17,16:51:48,1,0,0,Red,F
676,24-Jun-17,16:51:48,1,0,0,Red,F
677,24-Jun-17,16:51:48,1,0,0,Red,F
678,24-Jun-17,16:51:49,1,0,0,Red,F
679,24-Jun-17,16:51:49,1,0,0,Red,F
680,24-Jun-17,16:51:49,1,0,0,Red,F
681,24-Jun-17,16:51:49,1,0,0,Red,F
682,24-Jun-17,16:51:50,1,0,0,Red,F
683,24-Jun-17,16:51:50,1,0,0,Red,F
684,24-Jun-17,16:51:50,1,0,0,Red,F
685,24-Jun-17,16:51:50,1,0,0,Red,F
686,24-Jun-17,16:51:50,1,0,0,Red,F
687,24-Jun-17,16:51:51,1,0,0,Red,F
688,24-Jun-17,16:51:51,1,0,0,Red,F
689,24-Jun-17,16:51:51,1,0,0,Red,F
690,24-Jun-17,16:51:51,1,0,0,Red,F
691,24-Jun-17,16:51:51,1,0,0,Red,F
692,24-Jun-17,16:51:51,1,0,0,Red,F
693,24-Jun-17,16:51:52,1,0,0,Red,F
694,24-Jun-17,16:51:52,1,0,0,Red,F
695,24-Jun-17,16:51:52,1,0,0,Red,F
696,24-Jun-17,16:51:52,1,0,0,Red,F
697,24-Jun-17,16:51:52,1,0,0,Red,F
698,24-Jun-17,16:51:53,1,0,0,Red,F
699,24-Jun-17,16:51:53,1,0,0,Red,F
