,Date,Time,Result,Phase
144,24-Jun-17,16:59:11,Amber,C
145,24-Jun-17,16:59:11,Amber,C
146,24-Jun-17,16:59:12,Amber,C
147,24-Jun-17,16:59:12,Amber,C
148,24-Jun-17,16:59:12,Amber,C
149,24-Jun-17,16:59:12,Amber,C
150,24-Jun-17,17:00:10,Amber,C
151,24-Jun-17,17:00:10,Amber,C
152,24-Jun-17,17:00:10,Amber,C
153,24-Jun-17,17:00:10,Amber,C
154,24-Jun-17,17:00:10,Amber,C
155,24-Jun-17,17:00:10,Amber,C
156,24-Jun-17,17:00:10,Amber,C
157,24-Jun-17,17:00:11,Amber,C
158,24-Jun-17,17:00:11,Amber,C
159,24-Jun-17,17:00:11,Amber,C
160,24-Jun-17,17:00:11,Amber,C
161,24-Jun-17,17:00:12,Amber,C
162,24-Jun-17,17:00:12,Amber,C
163,24-Jun-17,17:00:12,Amber,C
164,24-Jun-17,17:00:12,Amber,C
165,24-Jun-17,17:01:09,Amber,C
166,24-Jun-17,17:01:09,Amber,C
167,24-Jun-17,17:01:10,Amber,C
168,24-Jun-17,17:01:10,Amber,C
169,24-Jun-17,17:01:10,Amber,C
170,24-Jun-17,17:01:10,Amber,C
171,24-Jun-17,17:01:11,Amber,C
172,24-Jun-17,17:01:11,Amber,C
173,24-Jun-17,17:01:11,Amber,C
174,24-Jun-17,17:01:11,Amber,C
175,24-Jun-17,17:01:11,Amber,C
176,24-Jun-17,17:01:12,Amber,C
177,24-Jun-17,17:01:12,Amber,C
178,24-Jun-17,17:01:12,Amber,C
179,24-Jun-17,17:01:12,Amber,C
180,24-Jun-17,17:02:09,Amber,C
181,24-Jun-17,17:02:10,Amber,C
182,24-Jun-17,17:02:10,Amber,C
183,24-Jun-17,17:02:10,Amber,C
184,24-Jun-17,17:02:10,Amber,C
185,24-Jun-17,17:02:10,Amber,C
186,24-Jun-17,17:02:11,Amber,C
187,24-Jun-17,17:02:11,Amber,C
188,24-Jun-17,17:02:11,Amber,C
189,24-Jun-17,17:02:11,Amber,C
190,24-Jun-17,17:02:12,Amber,C
191,24-Jun-17,17:02:12,Amber,C
192,24-Jun-17,17:02:12,Amber,C
193,24-Jun-17,17:02:12,Amber,C
194,24-Jun-17,17:02:12,Amber,C
195,24-Jun-17,17:18:00,Amber,C
196,24-Jun-17,17:18:00,Amber,C
197,24-Jun-17,17:18:00,Amber,C
198,24-Jun-17,17:18:00,Amber,C
199,24-Jun-17,17:18:00,Amber,C
200,24-Jun-17,17:18:00,Amber,C
201,24-Jun-17,17:18:00,Amber,C
202,24-Jun-17,17:18:00,Amber,C
203,24-Jun-17,17:18:00,Amber,C
204,24-Jun-17,17:18:00,Amber,C
205,24-Jun-17,17:18:00,Amber,C
206,24-Jun-17,17:18:00,Amber,C
207,24-Jun-17,17:18:00,Amber,C
208,24-Jun-17,17:18:00,Amber,C
