,Date,Time,Result,Phase
132,24-Jun-17,16:50:05,RedAmber,H
133,24-Jun-17,16:50:05,RedAmber,H
134,24-Jun-17,16:50:05,RedAmber,H
135,24-Jun-17,16:50:05,RedAmber,H
136,24-Jun-17,16:50:05,RedAmber,H
137,24-Jun-17,16:50:06,RedAmber,H
138,24-Jun-17,16:50:06,RedAmber,H
139,24-Jun-17,16:50:06,RedAmber,H
140,24-Jun-17,16:50:06,RedAmber,H
141,24-Jun-17,16:50:07,RedAmber,H
142,24-Jun-17,16:50:07,RedAmber,H
143,24-Jun-17,16:50:07,RedAmber,H
144,24-Jun-17,16:50:07,RedAmber,H
145,24-Jun-17,16:50:07,RedAmber,H
146,24-Jun-17,16:50:08,RedAmber,H
147,24-Jun-17,16:50:08,RedAmber,H
148,24-Jun-17,16:50:08,RedAmber,H
149,24-Jun-17,16:50:08,RedAmber,H
150,24-Jun-17,16:50:08,RedAmber,H
151,24-Jun-17,16:50:08,RedAmber,H
152,24-Jun-17,16:50:09,RedAmber,H
153,24-Jun-17,16:50:09,RedAmber,H
154,24-Jun-17,16:50:09,RedAmber,H
155,24-Jun-17,16:50:09,RedAmber,H
156,24-Jun-17,16:50:09,RedAmber,H
157,24-Jun-17,16:50:10,RedAmber,H
158,24-Jun-17,16:50:10,RedAmber,H
159,24-Jun-17,16:50:10,RedAmber,H
160,24-Jun-17,16:50:10,RedAmber,H
161,24-Jun-17,16:50:11,RedAmber,H
162,24-Jun-17,16:50:11,RedAmber,H
163,24-Jun-17,16:50:11,RedAmber,H
164,24-Jun-17,16:50:11,RedAmber,H
165,24-Jun-17,16:50:11,RedAmber,H
166,24-Jun-17,16:50:12,RedAmber,H
167,24-Jun-17,16:50:12,RedAmber,H
168,24-Jun-17,16:50:12,RedAmber,H
169,24-Jun-17,16:50:12,RedAmber,H
170,24-Jun-17,16:50:12,RedAmber,H
171,24-Jun-17,16:50:12,RedAmber,H
172,24-Jun-17,16:50:13,RedAmber,H
173,24-Jun-17,16:50:13,RedAmber,H
174,24-Jun-17,16:50:13,RedAmber,H
175,24-Jun-17,16:50:13,RedAmber,H
176,24-Jun-17,16:50:13,RedAmber,H
177,24-Jun-17,16:50:14,RedAmber,H
178,24-Jun-17,16:50:14,RedAmber,H
179,24-Jun-17,16:50:14,RedAmber,H
180,24-Jun-17,16:50:14,RedAmber,H
181,24-Jun-17,16:50:15,RedAmber,H
182,24-Jun-17,16:50:15,RedAmber,H
183,24-Jun-17,16:50:15,RedAmber,H
184,24-Jun-17,16:50:15,RedAmber,H
185,24-Jun-17,16:50:16,RedAmber,H
186,24-Jun-17,16:50:16,RedAmber,H
187,24-Jun-17,16:50:16,RedAmber,H
188,24-Jun-17,16:50:16,RedAmber,H
189,24-Jun-17,16:50:16,RedAmber,H
190,24-Jun-17,16:50:16,RedAmber,H
191,24-Jun-17,16:50:16,RedAmber,H
192,24-Jun-17,16:50:17,RedAmber,H
193,24-Jun-17,16:50:17,RedAmber,H
194,24-Jun-17,16:50:17,RedAmber,H
195,24-Jun-17,16:50:17,RedAmber,H
196,24-Jun-17,16:50:17,RedAmber,H
